Date,ICAFX
2022-02-28,48.0
2022-03-01,47.290000915527344
2022-03-02,48.08000183105469
2022-03-03,47.790000915527344
2022-03-04,47.45000076293945
2022-03-07,46.04999923706055
2022-03-08,45.77000045776367
2022-03-09,46.86000061035156
2022-03-10,46.779998779296875
2022-03-11,46.189998626708984
2022-03-14,45.88999938964844
2022-03-15,46.720001220703125
2022-03-16,47.52000045776367
2022-03-17,48.09000015258789
2022-03-18,48.59000015258789
2022-03-21,48.54999923706055
2022-03-22,49.04999923706055
2022-03-23,48.52000045776367
2022-03-24,49.130001068115234
2022-03-25,49.380001068115234
2022-03-28,49.529998779296875
2022-03-29,50.09000015258789
2022-03-30,49.90999984741211
2022-03-31,49.16999816894531
2022-04-01,49.45000076293945
2022-04-04,49.810001373291016
2022-04-05,49.22999954223633
2022-04-06,48.779998779296875
2022-04-07,48.95000076293945
2022-04-08,48.93000030517578
2022-04-11,48.20000076293945
2022-04-12,48.04999923706055
2022-04-13,48.58000183105469
2022-04-14,48.040000915527344
2022-04-18,48.040000915527344
2022-04-19,48.72999954223633
2022-04-20,48.45000076293945
2022-04-21,47.63999938964844
2022-04-22,46.459999084472656
2022-04-25,46.54999923706055
2022-04-26,45.29999923706055
2022-04-27,45.459999084472656
2022-04-28,46.4900016784668
2022-04-29,44.95000076293945
2022-05-02,45.209999084472656
2022-05-03,45.45000076293945
2022-05-04,46.65999984741211
2022-05-05,45.209999084472656
2022-05-06,44.95000076293945
2022-05-09,43.47999954223633
2022-05-10,43.599998474121094
2022-05-11,43.150001525878906
2022-05-12,43.130001068115234
2022-05-13,44.189998626708984
2022-05-16,44.18000030517578
2022-05-17,45.06999969482422
2022-05-18,43.56999969482422
2022-05-19,43.349998474121094
2022-05-20,43.40999984741211
2022-05-23,44.040000915527344
2022-05-24,43.790000915527344
2022-05-25,44.16999816894531
2022-05-26,44.88999938964844
2022-05-27,45.83000183105469
2022-05-31,45.61000061035156
2022-06-01,45.36000061035156
2022-06-02,46.09000015258789
2022-06-03,45.4900016784668
2022-06-06,45.63999938964844
2022-06-07,46.060001373291016
2022-06-08,45.560001373291016
2022-06-09,44.470001220703125
2022-06-10,43.29999923706055
2022-06-13,41.63999938964844
2022-06-14,41.40999984741211
2022-06-15,41.22999954223633
2022-06-16,39.869998931884766
2022-06-17,39.880001068115234
2022-06-21,40.65999984741211
2022-06-22,40.5
2022-06-23,40.72999954223633
2022-06-24,41.900001525878906
2022-06-27,41.86000061035156
2022-06-28,41.25
2022-06-29,41.18000030517578
2022-06-30,40.86000061035156
2022-07-01,41.189998626708984
2022-07-05,40.959999084472656
2022-07-06,41.02000045776367
2022-07-07,41.56999969482422
2022-07-08,41.5099983215332
2022-07-11,41.0099983215332
2022-07-12,40.65999984741211
2022-07-13,40.400001525878906
2022-07-14,40.130001068115234
2022-07-15,40.90999984741211
2022-07-18,40.709999084472656
2022-07-19,41.849998474121094
2022-07-20,41.97999954223633
2022-07-21,42.33000183105469
2022-07-22,41.90999984741211
2022-07-25,42.02000045776367
2022-07-26,41.619998931884766
2022-07-27,42.63999938964844
2022-07-28,42.95000076293945
2022-07-29,43.40999984741211
2022-08-01,43.29999923706055
2022-08-02,43.099998474121094
2022-08-03,43.689998626708984
2022-08-04,43.70000076293945
2022-08-05,43.72999954223633
2022-08-08,43.7400016784668
