Date,CWGFX
2022-02-28,58.31999969482422
2022-03-01,57.20000076293945
2022-03-02,58.029998779296875
2022-03-03,57.380001068115234
2022-03-04,56.439998626708984
2022-03-07,54.709999084472656
2022-03-08,54.459999084472656
2022-03-09,56.04999923706055
2022-03-10,55.83000183105469
2022-03-11,55.09000015258789
2022-03-14,54.529998779296875
2022-03-15,55.099998474121094
2022-03-16,56.7400016784668
2022-03-17,57.599998474121094
2022-03-18,58.220001220703125
2022-03-21,58.0099983215332
2022-03-22,58.619998931884766
2022-03-23,57.97999954223633
2022-03-24,58.540000915527344
2022-03-25,58.529998779296875
2022-03-28,58.61000061035156
2022-03-29,59.4900016784668
2022-03-30,59.34000015258789
2022-03-31,58.5
2022-04-01,58.90999984741211
2022-04-04,59.43000030517578
2022-04-05,58.58000183105469
2022-04-06,57.970001220703125
2022-04-07,58.040000915527344
2022-04-08,58.099998474121094
2022-04-11,57.310001373291016
2022-04-12,57.040000915527344
2022-04-13,57.75
2022-04-14,57.209999084472656
2022-04-18,57.0099983215332
2022-04-19,57.470001220703125
2022-04-20,57.470001220703125
2022-04-21,56.66999816894531
2022-04-22,55.380001068115234
2022-04-25,55.220001220703125
2022-04-26,53.720001220703125
2022-04-27,53.97999954223633
2022-04-28,54.95000076293945
2022-04-29,53.790000915527344
2022-05-02,53.93000030517578
2022-05-03,54.27000045776367
2022-05-04,55.400001525878906
2022-05-05,53.849998474121094
2022-05-06,53.290000915527344
2022-05-09,51.560001373291016
2022-05-10,51.79999923706055
2022-05-11,51.529998779296875
2022-05-12,51.41999816894531
2022-05-13,52.81999969482422
2022-05-16,52.83000183105469
2022-05-17,53.93000030517578
2022-05-18,52.45000076293945
2022-05-19,52.459999084472656
2022-05-20,52.720001220703125
2022-05-23,53.47999954223633
2022-05-24,53.2400016784668
2022-05-25,53.54999923706055
2022-05-26,54.310001373291016
2022-05-27,55.38999938964844
2022-05-31,55.2599983215332
2022-06-01,54.75
2022-06-02,55.68000030517578
2022-06-03,54.95000076293945
2022-06-06,55.119998931884766
2022-06-07,55.52000045776367
2022-06-08,54.95000076293945
2022-06-09,53.7400016784668
2022-06-10,52.38999938964844
2022-06-13,50.099998474121094
2022-06-14,49.75
2022-06-15,50.529998779296875
2022-06-16,48.970001220703125
2022-06-17,48.810001373291016
2022-06-21,49.7400016784668
2022-06-22,49.33000183105469
2022-06-23,49.33000183105469
2022-06-24,50.650001525878906
2022-06-27,50.70000076293945
2022-06-28,50.22999954223633
2022-06-29,50.02000045776367
2022-06-30,49.5099983215332
2022-07-01,49.68000030517578
2022-07-05,49.06999969482422
2022-07-06,48.95000076293945
2022-07-07,49.880001068115234
2022-07-08,49.939998626708984
2022-07-11,49.130001068115234
2022-07-12,48.779998779296875
2022-07-13,48.630001068115234
2022-07-14,48.18000030517578
2022-07-15,48.9900016784668
2022-07-18,48.95000076293945
2022-07-19,50.18000030517578
2022-07-20,50.13999938964844
2022-07-21,50.5099983215332
2022-07-22,50.189998626708984
2022-07-25,50.439998626708984
2022-07-26,50.04999923706055
2022-07-27,51.08000183105469
2022-07-28,51.560001373291016
2022-07-29,52.0
2022-08-01,51.900001525878906
2022-08-02,51.439998626708984
2022-08-03,51.90999984741211
2022-08-04,52.040000915527344
2022-08-05,52.04999923706055
2022-08-08,52.2400016784668
2022-08-09,51.95000076293945
2022-08-10,52.900001525878906
2022-08-11,53.040000915527344
2022-08-12,53.75
2022-08-15,53.66999816894531
2022-08-16,53.720001220703125
2022-08-17,53.34000015258789
2022-08-18,53.290000915527344
2022-08-19,52.689998626708984
2022-08-22,51.72999954223633
2022-08-23,51.84000015258789
2022-08-24,51.90999984741211
2022-08-25,52.650001525878906
2022-08-26,51.279998779296875
2022-08-29,51.0099983215332
2022-08-30,50.5099983215332
2022-08-31,50.220001220703125
2022-09-01,49.939998626708984
2022-09-02,49.720001220703125
2022-09-06,49.540000915527344
2022-09-07,50.040000915527344
2022-09-08,50.36000061035156
2022-09-09,51.310001373291016
2022-09-12,51.689998626708984
2022-09-13,49.900001525878906
2022-09-14,50.02000045776367
2022-09-15,49.56999969482422
2022-09-16,49.22999954223633
2022-09-19,49.5099983215332
2022-09-20,48.91999816894531
2022-09-21,48.08000183105469
2022-09-22,47.790000915527344
2022-09-23,46.66999816894531
2022-09-26,46.06999969482422
2022-09-27,45.97999954223633
2022-09-28,46.810001373291016
2022-09-29,46.06999969482422
2022-09-30,45.75
2022-10-03,46.90999984741211
2022-10-04,48.5
2022-10-05,48.380001068115234
2022-10-06,47.79999923706055
2022-10-07,46.849998474121094
2022-10-10,46.470001220703125
2022-10-11,45.97999954223633
2022-10-12,45.84000015258789
2022-10-13,46.65999984741211
2022-10-14,45.79999923706055
2022-10-17,46.810001373291016
2022-10-18,47.20000076293945
2022-10-19,46.869998931884766
2022-10-20,46.66999816894531
2022-10-21,47.66999816894531
2022-10-24,47.77000045776367
2022-10-25,48.459999084472656
2022-10-26,48.599998474121094
2022-10-27,48.310001373291016
2022-10-28,48.91999816894531
2022-10-31,48.65999984741211
2022-11-01,48.90999984741211
2022-11-02,48.029998779296875
2022-11-03,47.70000076293945
2022-11-04,48.939998626708984
2022-11-07,49.380001068115234
2022-11-08,49.77000045776367
2022-11-09,48.97999954223633
2022-11-10,51.15999984741211
2022-11-11,51.93000030517578
2022-11-14,51.63999938964844
2022-11-15,52.130001068115234
2022-11-16,51.810001373291016
2022-11-17,51.689998626708984
2022-11-18,51.84000015258789
2022-11-21,51.5
2022-11-22,52.13999938964844
2022-11-23,52.4900016784668
