Date,VIMAX
2022-02-28,287.7799987792969
2022-03-01,282.6700134277344
2022-03-02,288.4700012207031
2022-03-03,286.17999267578125
2022-03-04,283.6000061035156
2022-03-07,274.0899963378906
2022-03-08,272.9700012207031
2022-03-09,280.0400085449219
2022-03-10,279.1199951171875
2022-03-11,274.8500061035156
2022-03-14,272.260009765625
2022-03-15,276.989990234375
2022-03-16,284.1600036621094
2022-03-17,288.760009765625
2022-03-18,292.489990234375
2022-03-21,291.29998779296875
2022-03-22,293.2699890136719
2022-03-23,289.510009765625
2022-03-24,293.3299865722656
2022-03-25,294.260009765625
2022-03-28,295.739990234375
2022-03-29,301.3999938964844
2022-03-30,298.4200134277344
2022-03-31,294.5899963378906
2022-04-01,296.1099853515625
2022-04-04,297.67999267578125
2022-04-05,293.57000732421875
2022-04-06,290.9700012207031
2022-04-07,291.3500061035156
2022-04-08,291.3599853515625
2022-04-11,288.3399963378906
2022-04-12,287.2900085449219
2022-04-13,291.5400085449219
2022-04-14,288.489990234375
2022-04-18,287.25
2022-04-19,293.05999755859375
2022-04-20,294.1000061035156
2022-04-21,288.45001220703125
2022-04-22,280.8500061035156
2022-04-25,282.07000732421875
2022-04-26,274.7200012207031
2022-04-27,274.9100036621094
2022-04-28,279.92999267578125
2022-04-29,270.8800048828125
2022-05-02,272.1600036621094
2022-05-03,273.9100036621094
2022-05-04,281.260009765625
2022-05-05,271.489990234375
2022-05-06,267.760009765625
2022-05-09,257.0400085449219
2022-05-10,256.8900146484375
2022-05-11,252.9199981689453
2022-05-12,254.6999969482422
2022-05-13,262.510009765625
2022-05-16,260.2900085449219
2022-05-17,265.7200012207031
2022-05-18,255.38999938964844
2022-05-19,256.760009765625
2022-05-20,257.17999267578125
2022-05-23,260.1300048828125
2022-05-24,256.70001220703125
2022-05-25,260.2900085449219
2022-05-26,266.2699890136719
2022-05-27,273.57000732421875
2022-05-31,270.0199890136719
2022-06-01,267.2699890136719
2022-06-02,273.3500061035156
2022-06-03,269.8399963378906
2022-06-06,270.69000244140625
2022-06-07,274.1199951171875
2022-06-08,270.1400146484375
2022-06-09,263.6099853515625
2022-06-10,255.75999450683594
2022-06-13,243.91000366210938
2022-06-14,242.8800048828125
2022-06-15,245.75
2022-06-16,235.75
2022-06-17,237.16000366210938
2022-06-21,241.7100067138672
2022-06-22,240.9600067138672
