Date,PRWCX
2022-02-28,35.22999954223633
2022-03-01,34.900001525878906
2022-03-02,35.209999084472656
2022-03-03,35.060001373291016
2022-03-04,34.84000015258789
2022-03-07,34.08000183105469
2022-03-08,33.81999969482422
2022-03-09,34.459999084472656
2022-03-10,34.38999938964844
2022-03-11,34.119998931884766
2022-03-14,33.95000076293945
2022-03-15,34.40999984741211
2022-03-16,35.04999923706055
2022-03-17,35.34000015258789
2022-03-18,35.70000076293945
2022-03-21,35.61000061035156
2022-03-22,35.79999923706055
2022-03-23,35.45000076293945
2022-03-24,35.72999954223633
2022-03-25,35.779998779296875
2022-03-28,35.9900016784668
2022-03-29,36.33000183105469
2022-03-30,36.2400016784668
2022-03-31,35.869998931884766
2022-04-01,35.939998626708984
2022-04-04,36.04999923706055
2022-04-05,35.779998779296875
2022-04-06,35.58000183105469
2022-04-07,35.7400016784668
2022-04-08,35.599998474121094
2022-04-11,35.150001525878906
2022-04-12,35.0
2022-04-13,35.27000045776367
2022-04-14,34.95000076293945
2022-04-18,34.88999938964844
2022-04-19,35.209999084472656
2022-04-20,35.34000015258789
2022-04-21,34.959999084472656
2022-04-22,34.310001373291016
2022-04-25,34.38999938964844
2022-04-26,33.650001525878906
2022-04-27,33.779998779296875
2022-04-28,34.31999969482422
2022-04-29,33.470001220703125
2022-05-02,33.5
2022-05-03,33.599998474121094
2022-05-04,34.20000076293945
2022-05-05,33.439998626708984
2022-05-06,33.27000045776367
2022-05-09,32.47999954223633
2022-05-10,32.599998474121094
2022-05-11,32.2599983215332
2022-05-12,32.20000076293945
2022-05-13,32.7599983215332
2022-05-16,32.63999938964844
2022-05-17,33.04999923706055
2022-05-18,32.2599983215332
2022-05-19,32.290000915527344
2022-05-20,32.43000030517578
2022-05-23,32.709999084472656
2022-05-24,32.52000045776367
2022-05-25,32.599998474121094
2022-05-26,33.11000061035156
2022-05-27,33.779998779296875
2022-05-31,33.65999984741211
2022-06-01,33.47999954223633
2022-06-02,34.0099983215332
2022-06-03,33.599998474121094
2022-06-06,33.65999984741211
2022-06-07,33.880001068115234
2022-06-08,33.630001068115234
2022-06-09,33.08000183105469
2022-06-10,32.33000183105469
2022-06-13,31.40999984741211
2022-06-14,31.290000915527344
2022-06-15,31.700000762939453
2022-06-16,30.959999084472656
2022-06-17,31.010000228881836
2022-06-21,31.440000534057617
2022-06-22,31.469999313354492
2022-06-23,31.829999923706055
2022-06-24,32.45000076293945
2022-06-27,32.36000061035156
2022-06-28,31.850000381469727
