Date,VMCPX
2022-02-28,313.5299987792969
2022-03-01,307.9700012207031
2022-03-02,314.2900085449219
2022-03-03,311.7900085449219
2022-03-04,308.9800109863281
2022-03-07,298.6199951171875
2022-03-08,297.3999938964844
2022-03-09,305.1099853515625
2022-03-10,304.1000061035156
2022-03-11,299.45001220703125
2022-03-14,296.6300048828125
2022-03-15,301.7799987792969
2022-03-16,309.5899963378906
2022-03-17,314.6099853515625
2022-03-18,318.6700134277344
2022-03-21,317.3800048828125
2022-03-22,319.510009765625
2022-03-23,315.4100036621094
2022-03-24,319.57000732421875
2022-03-25,320.5899963378906
2022-03-28,322.20001220703125
2022-03-29,328.3699951171875
2022-03-30,325.1199951171875
2022-03-31,320.94000244140625
2022-04-01,322.6000061035156
2022-04-04,324.30999755859375
2022-04-05,319.8299865722656
2022-04-06,317.010009765625
2022-04-07,317.4200134277344
2022-04-08,317.42999267578125
2022-04-11,314.1400146484375
2022-04-12,312.989990234375
2022-04-13,317.6300048828125
2022-04-14,314.29998779296875
2022-04-18,312.95001220703125
2022-04-19,319.2900085449219
2022-04-20,320.4100036621094
2022-04-21,314.260009765625
2022-04-22,305.9700012207031
2022-04-25,307.30999755859375
2022-04-26,299.29998779296875
2022-04-27,299.510009765625
2022-04-28,304.9800109863281
2022-04-29,295.1099853515625
2022-05-02,296.510009765625
2022-05-03,298.4200134277344
2022-05-04,306.42999267578125
2022-05-05,295.7799987792969
2022-05-06,291.7300109863281
2022-05-09,280.0400085449219
2022-05-10,279.8699951171875
2022-05-11,275.54998779296875
2022-05-12,277.489990234375
2022-05-13,286.0
2022-05-16,283.5899963378906
2022-05-17,289.5
2022-05-18,278.239990234375
2022-05-19,279.739990234375
2022-05-20,280.19000244140625
2022-05-23,283.4200134277344
2022-05-24,279.6700134277344
2022-05-25,283.5799865722656
2022-05-26,290.1000061035156
2022-05-27,298.05999755859375
2022-05-31,294.19000244140625
2022-06-01,291.19000244140625
2022-06-02,297.82000732421875
2022-06-03,293.989990234375
2022-06-06,294.9200134277344
2022-06-07,298.6600036621094
2022-06-08,294.32000732421875
2022-06-09,287.2099914550781
2022-06-10,278.6600036621094
2022-06-13,265.75
2022-06-14,264.6199951171875
2022-06-15,267.739990234375
2022-06-16,256.8500061035156
2022-06-17,258.3800048828125
2022-06-21,263.3500061035156
2022-06-22,262.510009765625
2022-06-23,265.7300109863281
2022-06-24,274.1499938964844
2022-06-27,274.1600036621094
2022-06-28,269.5299987792969
2022-06-29,267.8800048828125
2022-06-30,265.7200012207031
2022-07-01,269.3500061035156
2022-07-05,269.55999755859375
2022-07-06,269.42999267578125
2022-07-07,274.1499938964844
2022-07-08,273.2699890136719
2022-07-11,270.1600036621094
2022-07-12,268.1700134277344
2022-07-13,266.7300109863281
2022-07-14,264.260009765625
2022-07-15,269.6199951171875
2022-07-18,268.75
2022-07-19,276.80999755859375
2022-07-20,279.5899963378906
2022-07-21,281.8599853515625
2022-07-22,278.8800048828125
2022-07-25,279.6199951171875
2022-07-26,276.79998779296875
2022-07-27,283.5199890136719
2022-07-28,288.32000732421875
2022-07-29,291.260009765625
2022-08-01,290.3900146484375
2022-08-02,289.54998779296875
2022-08-03,292.55999755859375
2022-08-04,291.8900146484375
2022-08-05,293.3999938964844
2022-08-08,294.8399963378906
2022-08-09,292.70001220703125
2022-08-10,300.3500061035156
2022-08-11,300.9700012207031
2022-08-12,306.1400146484375
2022-08-15,306.4100036621094
2022-08-16,306.80999755859375
2022-08-17,303.239990234375
2022-08-18,304.010009765625
2022-08-19,299.42999267578125
2022-08-22,293.17999267578125
2022-08-23,292.989990234375
2022-08-24,294.79998779296875
2022-08-25,299.4200134277344
2022-08-26,289.55999755859375
2022-08-29,287.5899963378906
2022-08-30,284.42999267578125
2022-08-31,282.6099853515625
2022-09-01,281.239990234375
2022-09-02,279.4200134277344
2022-09-06,278.55999755859375
2022-09-07,285.010009765625
2022-09-08,287.739990234375
2022-09-09,292.55999755859375
2022-09-12,295.1199951171875
2022-09-13,283.7200012207031
2022-09-14,283.7099914550781
2022-09-15,280.7099914550781
2022-09-16,277.0199890136719
2022-09-19,279.1499938964844
2022-09-20,274.3800048828125
2022-09-21,270.1499938964844
2022-09-22,263.94000244140625
2022-09-23,259.3800048828125
2022-09-26,255.22999572753906
2022-09-27,254.77000427246094
2022-09-28,261.0899963378906
2022-09-29,255.6699981689453
2022-09-30,253.67999267578125
2022-10-03,261.1600036621094
2022-10-04,270.67999267578125
2022-10-05,269.17999267578125
2022-10-06,266.489990234375
2022-10-07,259.2799987792969
2022-10-10,256.9599914550781
2022-10-11,255.30999755859375
2022-10-12,253.77999877929688
2022-10-13,259.010009765625
2022-10-14,251.55999755859375
2022-10-17,258.54998779296875
2022-10-18,262.42999267578125
2022-10-19,258.6000061035156
2022-10-20,256.0400085449219
2022-10-21,261.2699890136719
2022-10-24,263.5899963378906
2022-10-25,270.0
2022-10-26,270.17999267578125
2022-10-27,270.739990234375
2022-10-28,276.3999938964844
2022-10-31,275.29998779296875
2022-11-01,276.19000244140625
2022-11-02,268.5
2022-11-03,268.05999755859375
2022-11-04,271.0
2022-11-07,272.6400146484375
2022-11-08,274.3599853515625
2022-11-09,268.8999938964844
2022-11-10,285.1000061035156
2022-11-11,287.7200012207031
2022-11-14,284.1000061035156
2022-11-15,287.510009765625
2022-11-16,283.80999755859375
2022-11-17,281.2200012207031
2022-11-18,283.2799987792969
2022-11-21,282.5199890136719
2022-11-22,286.1000061035156
2022-11-23,287.7200012207031
2022-11-25,288.3999938964844
