Date,FBGRX
2022-02-28,156.47999572753906
2022-03-01,153.1999969482422
2022-03-02,155.74000549316406
2022-03-03,152.13999938964844
2022-03-04,148.30999755859375
2022-03-07,141.64999389648438
2022-03-08,142.4499969482422
2022-03-09,148.17999267578125
2022-03-10,147.3000030517578
2022-03-11,143.9600067138672
2022-03-14,140.5399932861328
2022-03-15,145.19000244140625
2022-03-16,151.41000366210938
2022-03-17,153.99000549316406
2022-03-18,157.91000366210938
2022-03-21,156.85000610351562
2022-03-22,159.86000061035156
2022-03-23,157.75
2022-03-24,161.3699951171875
2022-03-25,160.6300048828125
2022-03-28,162.57000732421875
2022-03-29,166.14999389648438
2022-03-30,163.4199981689453
2022-03-31,160.35000610351562
2022-04-01,160.67999267578125
2022-04-04,164.50999450683594
2022-04-05,160.1199951171875
2022-04-06,155.64999389648438
2022-04-07,155.4600067138672
2022-04-08,153.39999389648438
2022-04-11,150.17999267578125
2022-04-12,149.85000610351562
2022-04-13,153.49000549316406
2022-04-14,150.36000061035156
2022-04-18,150.19000244140625
2022-04-19,153.80999755859375
2022-04-20,150.9499969482422
2022-04-21,146.85000610351562
2022-04-22,142.77000427246094
2022-04-25,144.55999755859375
2022-04-26,138.69000244140625
2022-04-27,138.52000427246094
2022-04-28,143.85000610351562
2022-04-29,137.64999389648438
2022-05-02,140.1300048828125
2022-05-03,140.02999877929688
2022-05-04,143.6199951171875
2022-05-05,135.6699981689453
2022-05-06,133.52999877929688
2022-05-09,126.1500015258789
2022-05-10,127.38999938964844
2022-05-11,123.13999938964844
2022-05-12,123.2300033569336
2022-05-13,128.75999450683594
2022-05-16,126.8499984741211
2022-05-17,130.36000061035156
2022-05-18,123.80999755859375
2022-05-19,124.08000183105469
2022-05-20,123.47000122070312
2022-05-23,125.44000244140625
2022-05-24,120.9800033569336
2022-05-25,123.5
2022-05-26,127.62000274658203
2022-05-27,131.8699951171875
2022-05-31,131.02999877929688
2022-06-01,130.1699981689453
2022-06-02,134.4499969482422
2022-06-03,131.05999755859375
2022-06-06,131.92999267578125
2022-06-07,133.27000427246094
2022-06-08,132.63999938964844
2022-06-09,128.83999633789062
2022-06-10,123.81999969482422
2022-06-13,117.30999755859375
2022-06-14,117.58000183105469
2022-06-15,120.5199966430664
2022-06-16,114.81999969482422
2022-06-17,116.22000122070312
2022-06-21,119.08999633789062
2022-06-22,118.51000213623047
2022-06-23,120.13999938964844
2022-06-24,124.43000030517578
2022-06-27,123.45999908447266
2022-06-28,119.3499984741211
2022-06-29,118.83999633789062
2022-06-30,116.58000183105469
2022-07-01,117.29000091552734
2022-07-05,119.91000366210938
2022-07-06,119.97000122070312
2022-07-07,123.4000015258789
2022-07-08,123.36000061035156
2022-07-11,120.19999694824219
2022-07-12,119.0199966430664
2022-07-13,119.05000305175781
2022-07-14,118.81999969482422
2022-07-15,121.37999725341797
2022-07-18,121.05000305175781
2022-07-19,125.08999633789062
2022-07-20,127.81999969482422
2022-07-21,129.6300048828125
2022-07-22,126.58000183105469
2022-07-25,125.9800033569336
2022-07-26,122.83000183105469
2022-07-27,128.22000122070312
2022-07-28,129.75999450683594
2022-07-29,132.9499969482422
2022-08-01,132.8800048828125
2022-08-02,133.17999267578125
2022-08-03,136.58999633789062
2022-08-04,136.82000732421875
2022-08-05,136.38999938964844
2022-08-08,136.1699981689453
2022-08-09,133.80999755859375
2022-08-10,138.35000610351562
2022-08-11,137.9600067138672
2022-08-12,141.0800018310547
2022-08-15,141.6300048828125
2022-08-16,141.6300048828125
2022-08-17,139.77999877929688
2022-08-18,140.39999389648438
2022-08-19,137.10000610351562
2022-08-22,133.58999633789062
2022-08-23,133.94000244140625
2022-08-24,134.8000030517578
2022-08-25,137.41000366210938
2022-08-26,131.52999877929688
2022-08-29,130.17999267578125
2022-08-30,128.57000732421875
2022-08-31,127.5999984741211
2022-09-01,126.8499984741211
2022-09-02,125.75
2022-09-06,124.75
2022-09-07,127.52999877929688
2022-09-08,128.85000610351562
