Date,NEWCX
2022-02-28,73.37000274658203
2022-03-01,72.30000305175781
2022-03-02,72.8499984741211
2022-03-03,71.73999786376953
2022-03-04,69.88999938964844
2022-03-07,67.2300033569336
2022-03-08,67.27999877929688
2022-03-09,69.47000122070312
2022-03-10,69.06999969482422
2022-03-11,67.95999908447266
2022-03-14,66.88999938964844
2022-03-15,67.08000183105469
2022-03-16,70.2300033569336
2022-03-17,71.6500015258789
2022-03-18,72.58999633789062
2022-03-21,71.98999786376953
2022-03-22,72.91999816894531
2022-03-23,72.43000030517578
2022-03-24,73.22000122070312
2022-03-25,72.66999816894531
2022-03-28,72.9800033569336
2022-03-29,74.38999938964844
2022-03-30,74.37999725341797
2022-03-31,73.4000015258789
2022-04-01,74.22000122070312
2022-04-04,75.23999786376953
2022-04-05,73.91000366210938
2022-04-06,72.66000366210938
2022-04-07,72.45999908447266
2022-04-08,72.2300033569336
2022-04-11,70.95999908447266
2022-04-12,70.7300033569336
2022-04-13,71.48999786376953
2022-04-14,70.9800033569336
2022-04-18,70.79000091552734
2022-04-19,71.01000213623047
2022-04-20,70.86000061035156
2022-04-21,69.70999908447266
2022-04-22,68.30999755859375
2022-04-25,67.9800033569336
2022-04-26,66.23999786376953
2022-04-27,66.77999877929688
2022-04-28,67.98999786376953
2022-04-29,67.0
2022-05-02,67.06999969482422
2022-05-03,67.33999633789062
2022-05-04,68.23999786376953
2022-05-05,66.05999755859375
2022-05-06,64.91000366210938
2022-05-09,62.599998474121094
2022-05-10,63.029998779296875
2022-05-11,62.63999938964844
2022-05-12,62.529998779296875
2022-05-13,64.23999786376953
2022-05-16,64.1500015258789
2022-05-17,65.66000366210938
2022-05-18,64.08000183105469
2022-05-19,64.41000366210938
2022-05-20,65.06999969482422
2022-05-23,65.73999786376953
2022-05-24,64.83000183105469
2022-05-25,64.97000122070312
2022-05-26,65.93000030517578
2022-05-27,67.29000091552734
2022-05-31,67.4800033569336
2022-06-01,66.7699966430664
2022-06-02,68.19999694824219
2022-06-03,67.3499984741211
2022-06-06,67.69000244140625
2022-06-07,67.98999786376953
2022-06-08,67.5
2022-06-09,65.97000122070312
2022-06-10,64.55000305175781
2022-06-13,62.16999816894531
2022-06-14,62.119998931884766
2022-06-15,63.09000015258789
2022-06-16,61.13999938964844
2022-06-17,61.47999954223633
2022-06-21,62.599998474121094
2022-06-22,61.93000030517578
2022-06-23,62.11000061035156
2022-06-24,63.86000061035156
2022-06-27,63.790000915527344
2022-06-28,63.04999923706055
2022-06-29,62.79999923706055
2022-06-30,62.349998474121094
2022-07-01,62.439998626708984
2022-07-05,62.22999954223633
2022-07-06,62.09000015258789
2022-07-07,63.150001525878906
2022-07-08,63.09000015258789
2022-07-11,61.90999984741211
2022-07-12,61.4900016784668
2022-07-13,61.459999084472656
2022-07-14,61.11000061035156
2022-07-15,61.75
2022-07-18,61.75
2022-07-19,63.0
2022-07-20,63.060001373291016
2022-07-21,63.61000061035156
2022-07-22,62.97999954223633
2022-07-25,63.099998474121094
2022-07-26,62.599998474121094
2022-07-27,63.880001068115234
2022-07-28,64.52999877929688
2022-07-29,64.95999908447266
2022-08-01,64.86000061035156
2022-08-02,64.3499984741211
2022-08-03,64.83000183105469
2022-08-04,65.37999725341797
2022-08-05,65.41000366210938
2022-08-08,65.58999633789062
2022-08-09,65.12000274658203
2022-08-10,66.13999938964844
2022-08-11,66.31999969482422
2022-08-12,67.13999938964844
2022-08-15,67.0999984741211
2022-08-16,66.87999725341797
2022-08-17,66.4800033569336
2022-08-18,66.52999877929688
2022-08-19,65.54000091552734
2022-08-22,64.43000030517578
2022-08-23,64.75
2022-08-24,64.87000274658203
2022-08-25,65.76000213623047
2022-08-26,64.4000015258789
2022-08-29,64.0
2022-08-30,63.47999954223633
2022-08-31,63.18000030517578
2022-09-01,62.77000045776367
2022-09-02,62.459999084472656
2022-09-06,62.189998626708984
2022-09-07,62.7599983215332
2022-09-08,63.029998779296875
2022-09-09,64.23999786376953
2022-09-12,64.93000030517578
2022-09-13,62.84000015258789
2022-09-14,63.040000915527344
2022-09-15,62.349998474121094
2022-09-16,61.70000076293945
2022-09-19,62.150001525878906
2022-09-20,61.689998626708984
2022-09-21,60.77000045776367
2022-09-22,60.189998626708984
2022-09-23,58.95000076293945
2022-09-26,58.27000045776367
2022-09-27,58.2599983215332
2022-09-28,59.029998779296875
2022-09-29,57.95000076293945
2022-09-30,57.88999938964844
2022-10-03,59.119998931884766
2022-10-04,60.880001068115234
2022-10-05,60.939998626708984
2022-10-06,60.400001525878906
2022-10-07,59.189998626708984
2022-10-10,58.560001373291016
2022-10-11,57.83000183105469
2022-10-12,57.810001373291016
2022-10-13,58.40999984741211
2022-10-14,57.5
2022-10-17,58.79999923706055
2022-10-18,59.15999984741211
2022-10-19,58.47999954223633
2022-10-20,58.2599983215332
2022-10-21,59.22999954223633
2022-10-24,58.529998779296875
2022-10-25,59.2400016784668
2022-10-26,59.43000030517578
2022-10-27,59.0
2022-10-28,59.459999084472656
2022-10-31,59.27000045776367
2022-11-01,59.939998626708984
2022-11-02,59.279998779296875
2022-11-03,58.939998626708984
2022-11-04,60.720001220703125
2022-11-07,61.099998474121094
2022-11-08,61.470001220703125
2022-11-09,60.56999969482422
2022-11-10,62.56999969482422
2022-11-11,63.869998931884766
2022-11-14,63.630001068115234
2022-11-15,64.44000244140625
2022-11-16,63.7400016784668
2022-11-17,63.45000076293945
2022-11-18,63.4900016784668
2022-11-21,63.06999969482422
2022-11-22,63.52000045776367
2022-11-23,63.810001373291016
