Date,VSIAX
2022-02-28,74.66999816894531
2022-03-01,73.0199966430664
2022-03-02,75.08000183105469
2022-03-03,74.7300033569336
2022-03-04,73.66999816894531
2022-03-07,71.30999755859375
2022-03-08,71.5
2022-03-09,73.19999694824219
2022-03-10,73.4000015258789
2022-03-11,72.80999755859375
2022-03-14,72.3499984741211
2022-03-15,73.16999816894531
2022-03-16,74.88999938964844
2022-03-17,75.66999816894531
2022-03-18,76.0199966430664
2022-03-21,75.87999725341797
2022-03-22,76.08000183105469
2022-03-23,75.0199966430664
2022-03-24,75.69000244140625
2022-03-25,76.4800033569336
2022-03-28,76.2699966430664
2022-03-29,77.69000244140625
2022-03-30,76.62999725341797
2022-03-31,75.62000274658203
2022-04-01,76.05999755859375
2022-04-04,75.80000305175781
2022-04-05,74.4800033569336
2022-04-06,73.81999969482422
2022-04-07,73.62000274658203
2022-04-08,73.7699966430664
2022-04-11,73.5199966430664
2022-04-12,73.62000274658203
2022-04-13,74.83999633789062
2022-04-14,74.58999633789062
2022-04-18,74.51000213623047
2022-04-19,75.9800033569336
2022-04-20,76.62000274658203
2022-04-21,75.19999694824219
2022-04-22,73.25
2022-04-25,73.38999938964844
2022-04-26,71.47000122070312
2022-04-27,71.4800033569336
2022-04-28,72.81999969482422
2022-04-29,70.80999755859375
2022-05-02,71.0999984741211
2022-05-03,72.18000030517578
2022-05-04,74.13999938964844
2022-05-05,71.7699966430664
2022-05-06,70.98999786376953
2022-05-09,68.63999938964844
2022-05-10,68.11000061035156
2022-05-11,67.08999633789062
2022-05-12,67.55000305175781
2022-05-13,69.19000244140625
2022-05-16,69.16000366210938
2022-05-17,71.23999786376953
2022-05-18,68.70999908447266
2022-05-19,68.4000015258789
2022-05-20,68.11000061035156
2022-05-23,69.08000183105469
2022-05-24,68.43000030517578
2022-05-25,69.80999755859375
2022-05-26,71.3499984741211
2022-05-27,72.83000183105469
2022-05-31,72.12000274658203
2022-06-01,71.72000122070312
2022-06-02,72.95999908447266
2022-06-03,72.3499984741211
2022-06-06,72.87000274658203
2022-06-07,73.70999908447266
2022-06-08,72.38999938964844
2022-06-09,70.83000183105469
2022-06-10,68.93000030517578
2022-06-13,65.70999908447266
2022-06-14,65.47000122070312
2022-06-15,66.12999725341797
2022-06-16,63.0099983215332
2022-06-17,63.380001068115234
2022-06-21,64.31999969482422
2022-06-22,63.720001220703125
2022-06-23,63.79999923706055
2022-06-24,66.0199966430664
2022-06-27,66.31999969482422
2022-06-28,65.58000183105469
2022-06-29,64.8499984741211
2022-06-30,64.37999725341797
