Date,VMCIX
2022-02-28,63.56999969482422
2022-03-01,62.439998626708984
2022-03-02,63.72999954223633
2022-03-03,63.220001220703125
2022-03-04,62.650001525878906
2022-03-07,60.54999923706055
2022-03-08,60.29999923706055
2022-03-09,61.86000061035156
2022-03-10,61.65999984741211
2022-03-11,60.720001220703125
2022-03-14,60.13999938964844
2022-03-15,61.189998626708984
2022-03-16,62.77000045776367
2022-03-17,63.790000915527344
2022-03-18,64.61000061035156
2022-03-21,64.3499984741211
2022-03-22,64.79000091552734
2022-03-23,63.95000076293945
2022-03-24,64.80000305175781
2022-03-25,65.0
2022-03-28,65.33000183105469
2022-03-29,66.58000183105469
2022-03-30,65.91999816894531
2022-03-31,65.08000183105469
2022-04-01,65.41000366210938
2022-04-04,65.76000213623047
2022-04-05,64.8499984741211
2022-04-06,64.27999877929688
2022-04-07,64.36000061035156
2022-04-08,64.36000061035156
2022-04-11,63.70000076293945
2022-04-12,63.459999084472656
2022-04-13,64.4000015258789
2022-04-14,63.72999954223633
2022-04-18,63.45000076293945
2022-04-19,64.73999786376953
2022-04-20,64.97000122070312
2022-04-21,63.720001220703125
2022-04-22,62.040000915527344
2022-04-25,62.310001373291016
2022-04-26,60.689998626708984
2022-04-27,60.72999954223633
2022-04-28,61.84000015258789
2022-04-29,59.84000015258789
2022-05-02,60.119998931884766
2022-05-03,60.5099983215332
2022-05-04,62.130001068115234
2022-05-05,59.970001220703125
2022-05-06,59.150001525878906
2022-05-09,56.779998779296875
2022-05-10,56.75
2022-05-11,55.869998931884766
2022-05-12,56.27000045776367
2022-05-13,57.9900016784668
2022-05-16,57.5
2022-05-17,58.70000076293945
2022-05-18,56.41999816894531
2022-05-19,56.720001220703125
2022-05-20,56.810001373291016
2022-05-23,57.470001220703125
2022-05-24,56.709999084472656
2022-05-25,57.5
2022-05-26,58.81999969482422
2022-05-27,60.43000030517578
2022-05-31,59.650001525878906
2022-06-01,59.040000915527344
2022-06-02,60.38999938964844
2022-06-03,59.61000061035156
2022-06-06,59.79999923706055
2022-06-07,60.560001373291016
2022-06-08,59.68000030517578
2022-06-09,58.22999954223633
2022-06-10,56.5
2022-06-13,53.880001068115234
2022-06-14,53.650001525878906
2022-06-15,54.290000915527344
2022-06-16,52.08000183105469
2022-06-17,52.38999938964844
2022-06-21,53.400001525878906
2022-06-22,53.22999954223633
2022-06-23,53.880001068115234
2022-06-24,55.59000015258789
2022-06-27,55.59000015258789
2022-06-28,54.650001525878906
2022-06-29,54.31999969482422
2022-06-30,53.880001068115234
2022-07-01,54.619998931884766
2022-07-05,54.65999984741211
2022-07-06,54.630001068115234
2022-07-07,55.59000015258789
2022-07-08,55.40999984741211
2022-07-11,54.779998779296875
2022-07-12,54.369998931884766
2022-07-13,54.08000183105469
2022-07-14,53.58000183105469
2022-07-15,54.66999816894531
2022-07-18,54.4900016784668
2022-07-19,56.130001068115234
2022-07-20,56.689998626708984
2022-07-21,57.150001525878906
2022-07-22,56.54999923706055
2022-07-25,56.70000076293945
2022-07-26,56.130001068115234
2022-07-27,57.4900016784668
2022-07-28,58.459999084472656
2022-07-29,59.060001373291016
2022-08-01,58.880001068115234
2022-08-02,58.709999084472656
2022-08-03,59.31999969482422
