Date,RGAAX
2022-02-28,58.36000061035156
2022-03-01,57.34000015258789
2022-03-02,58.189998626708984
2022-03-03,57.04999923706055
2022-03-04,56.119998931884766
2022-03-07,53.91999816894531
2022-03-08,53.900001525878906
2022-03-09,55.86000061035156
2022-03-10,55.560001373291016
2022-03-11,54.36000061035156
2022-03-14,53.459999084472656
2022-03-15,54.81999969482422
2022-03-16,56.880001068115234
2022-03-17,57.93000030517578
2022-03-18,59.11000061035156
2022-03-21,58.7400016784668
2022-03-22,59.88999938964844
2022-03-23,59.06999969482422
2022-03-24,59.880001068115234
2022-03-25,59.7400016784668
2022-03-28,60.540000915527344
2022-03-29,61.619998931884766
2022-03-30,61.0099983215332
2022-03-31,60.04999923706055
2022-04-01,60.38999938964844
2022-04-04,61.400001525878906
2022-04-05,60.13999938964844
2022-04-06,58.90999984741211
2022-04-07,59.060001373291016
2022-04-08,58.619998931884766
2022-04-11,57.5099983215332
2022-04-12,57.310001373291016
2022-04-13,58.43000030517578
2022-04-14,57.470001220703125
2022-04-18,57.36000061035156
2022-04-19,58.5
2022-04-20,57.560001373291016
2022-04-21,56.439998626708984
2022-04-22,55.06999969482422
2022-04-25,55.38999938964844
2022-04-26,53.15999984741211
2022-04-27,53.2599983215332
2022-04-28,54.66999816894531
2022-04-29,52.79999923706055
2022-05-02,53.47999954223633
2022-05-03,53.599998474121094
2022-05-04,55.15999984741211
2022-05-05,52.66999816894531
2022-05-06,51.91999816894531
2022-05-09,49.34000015258789
2022-05-10,49.68000030517578
2022-05-11,48.529998779296875
2022-05-12,48.68000030517578
2022-05-13,50.5
2022-05-16,49.880001068115234
2022-05-17,51.060001373291016
2022-05-18,48.95000076293945
2022-05-19,49.09000015258789
2022-05-20,48.88999938964844
2022-05-23,49.5
2022-05-24,48.380001068115234
2022-05-25,49.119998931884766
2022-05-26,50.43000030517578
2022-05-27,51.95000076293945
2022-05-31,51.65999984741211
2022-06-01,51.189998626708984
2022-06-02,52.47999954223633
2022-06-03,51.33000183105469
2022-06-06,51.56999969482422
2022-06-07,52.0099983215332
2022-06-08,51.630001068115234
2022-06-09,50.34000015258789
2022-06-10,48.75
2022-06-13,46.5
2022-06-14,46.40999984741211
2022-06-15,47.349998474121094
2022-06-16,45.40999984741211
2022-06-17,45.7599983215332
2022-06-21,46.880001068115234
2022-06-22,46.77000045776367
2022-06-23,47.220001220703125
2022-06-24,48.77000045776367
2022-06-27,48.59000015258789
2022-06-28,47.540000915527344
2022-06-29,47.36000061035156
2022-06-30,46.7599983215332
2022-07-01,47.16999816894531
2022-07-05,47.560001373291016
2022-07-06,47.540000915527344
2022-07-07,48.540000915527344
2022-07-08,48.540000915527344
2022-07-11,47.58000183105469
2022-07-12,47.06999969482422
2022-07-13,46.939998626708984
2022-07-14,46.650001525878906
2022-07-15,47.619998931884766
2022-07-18,47.47999954223633
2022-07-19,48.849998474121094
2022-07-20,49.40999984741211
