Date,CWIAX
2022-02-28,58.2400016784668
2022-03-01,57.119998931884766
2022-03-02,57.95000076293945
2022-03-03,57.29999923706055
2022-03-04,56.36000061035156
2022-03-07,54.630001068115234
2022-03-08,54.380001068115234
2022-03-09,55.970001220703125
2022-03-10,55.75
2022-03-11,55.0099983215332
2022-03-14,54.45000076293945
2022-03-15,55.02000045776367
2022-03-16,56.650001525878906
2022-03-17,57.52000045776367
2022-03-18,58.130001068115234
2022-03-21,57.91999816894531
2022-03-22,58.529998779296875
2022-03-23,57.88999938964844
2022-03-24,58.45000076293945
2022-03-25,58.439998626708984
2022-03-28,58.52000045776367
2022-03-29,59.400001525878906
2022-03-30,59.2400016784668
2022-03-31,58.40999984741211
2022-04-01,58.81999969482422
2022-04-04,59.34000015258789
2022-04-05,58.4900016784668
2022-04-06,57.88999938964844
2022-04-07,57.95000076293945
2022-04-08,58.02000045776367
2022-04-11,57.220001220703125
2022-04-12,56.95000076293945
2022-04-13,57.65999984741211
2022-04-14,57.130001068115234
2022-04-18,56.91999816894531
2022-04-19,57.380001068115234
2022-04-20,57.380001068115234
2022-04-21,56.58000183105469
2022-04-22,55.29999923706055
2022-04-25,55.130001068115234
2022-04-26,53.63999938964844
2022-04-27,53.900001525878906
2022-04-28,54.869998931884766
2022-04-29,53.709999084472656
2022-05-02,53.849998474121094
2022-05-03,54.189998626708984
2022-05-04,55.31999969482422
2022-05-05,53.77000045776367
2022-05-06,53.209999084472656
2022-05-09,51.4900016784668
2022-05-10,51.720001220703125
2022-05-11,51.459999084472656
2022-05-12,51.349998474121094
2022-05-13,52.7400016784668
2022-05-16,52.75
2022-05-17,53.849998474121094
2022-05-18,52.369998931884766
2022-05-19,52.380001068115234
2022-05-20,52.63999938964844
2022-05-23,53.400001525878906
2022-05-24,53.15999984741211
2022-05-25,53.470001220703125
2022-05-26,54.22999954223633
2022-05-27,55.310001373291016
2022-05-31,55.18000030517578
2022-06-01,54.66999816894531
2022-06-02,55.599998474121094
2022-06-03,54.869998931884766
2022-06-06,55.040000915527344
2022-06-07,55.43000030517578
2022-06-08,54.86000061035156
2022-06-09,53.65999984741211
2022-06-10,52.310001373291016
2022-06-13,50.02000045776367
2022-06-14,49.66999816894531
2022-06-15,50.45000076293945
2022-06-16,48.900001525878906
2022-06-17,48.72999954223633
2022-06-21,49.65999984741211
2022-06-22,49.25
2022-06-23,49.2599983215332
2022-06-24,50.56999969482422
2022-06-27,50.619998931884766
2022-06-28,50.15999984741211
2022-06-29,49.939998626708984
2022-06-30,49.43000030517578
2022-07-01,49.599998474121094
2022-07-05,48.9900016784668
2022-07-06,48.869998931884766
2022-07-07,49.79999923706055
2022-07-08,49.869998931884766
2022-07-11,49.04999923706055
2022-07-12,48.70000076293945
2022-07-13,48.560001373291016
2022-07-14,48.11000061035156
2022-07-15,48.90999984741211
2022-07-18,48.880001068115234
2022-07-19,50.099998474121094
2022-07-20,50.060001373291016
2022-07-21,50.43000030517578
2022-07-22,50.11000061035156
2022-07-25,50.369998931884766
2022-07-26,49.970001220703125
2022-07-27,51.0
2022-07-28,51.47999954223633
2022-07-29,51.91999816894531
2022-08-01,51.81999969482422
2022-08-02,51.36000061035156
2022-08-03,51.83000183105469
2022-08-04,51.959999084472656
2022-08-05,51.970001220703125
2022-08-08,52.15999984741211
2022-08-09,51.880001068115234
2022-08-10,52.81999969482422
2022-08-11,52.959999084472656
2022-08-12,53.66999816894531
2022-08-15,53.59000015258789
2022-08-16,53.63999938964844
2022-08-17,53.2599983215332
2022-08-18,53.209999084472656
2022-08-19,52.61000061035156
2022-08-22,51.650001525878906
2022-08-23,51.7599983215332
2022-08-24,51.83000183105469
2022-08-25,52.56999969482422
2022-08-26,51.209999084472656
2022-08-29,50.939998626708984
2022-08-30,50.439998626708984
2022-08-31,50.13999938964844
2022-09-01,49.869998931884766
2022-09-02,49.650001525878906
2022-09-06,49.470001220703125
2022-09-07,49.970001220703125
2022-09-08,50.290000915527344
2022-09-09,51.2400016784668
2022-09-12,51.61000061035156
2022-09-13,49.81999969482422
2022-09-14,49.939998626708984
2022-09-15,49.5
2022-09-16,49.150001525878906
2022-09-19,49.43000030517578
2022-09-20,48.84000015258789
2022-09-21,48.0
2022-09-22,47.720001220703125
2022-09-23,46.59000015258789
2022-09-26,46.0
2022-09-27,45.90999984741211
2022-09-28,46.72999954223633
2022-09-29,46.0
2022-09-30,45.68000030517578
2022-10-03,46.83000183105469
2022-10-04,48.41999816894531
2022-10-05,48.29999923706055
2022-10-06,47.720001220703125
2022-10-07,46.77000045776367
2022-10-10,46.38999938964844
2022-10-11,45.900001525878906
2022-10-12,45.77000045776367
2022-10-13,46.59000015258789
2022-10-14,45.720001220703125
2022-10-17,46.7400016784668
2022-10-18,47.130001068115234
2022-10-19,46.79999923706055
2022-10-20,46.59000015258789
2022-10-21,47.59000015258789
2022-10-24,47.70000076293945
2022-10-25,48.380001068115234
2022-10-26,48.52000045776367
2022-10-27,48.22999954223633
2022-10-28,48.84000015258789
2022-10-31,48.58000183105469
2022-11-01,48.83000183105469
2022-11-02,47.959999084472656
2022-11-03,47.619998931884766
2022-11-04,48.86000061035156
2022-11-07,49.29999923706055
2022-11-08,49.70000076293945
2022-11-09,48.900001525878906
2022-11-10,51.08000183105469
2022-11-11,51.84000015258789
2022-11-14,51.560001373291016
2022-11-15,52.04999923706055
2022-11-16,51.72999954223633
2022-11-17,51.599998474121094
2022-11-18,51.7599983215332
2022-11-21,51.41999816894531
2022-11-22,52.060001373291016
2022-11-23,52.400001525878906
