Date,RPEBX
2022-02-28,56.68000030517578
2022-03-01,55.59000015258789
2022-03-02,56.36000061035156
2022-03-03,55.45000076293945
2022-03-04,54.31999969482422
2022-03-07,52.45000076293945
2022-03-08,52.470001220703125
2022-03-09,54.540000915527344
2022-03-10,54.029998779296875
2022-03-11,53.08000183105469
2022-03-14,52.63999938964844
2022-03-15,53.529998779296875
2022-03-16,55.52000045776367
2022-03-17,56.43000030517578
2022-03-18,57.369998931884766
2022-03-21,57.02000045776367
2022-03-22,57.97999954223633
2022-03-23,57.16999816894531
2022-03-24,57.880001068115234
2022-03-25,57.7599983215332
2022-03-28,58.43000030517578
2022-03-29,59.54999923706055
2022-03-30,59.20000076293945
2022-03-31,58.2599983215332
2022-04-01,58.63999938964844
2022-04-04,59.41999816894531
2022-04-05,58.36000061035156
2022-04-06,57.29999923706055
2022-04-07,57.5099983215332
2022-04-08,57.09000015258789
2022-04-11,56.02000045776367
2022-04-12,55.689998626708984
2022-04-13,56.599998474121094
2022-04-14,55.84000015258789
2022-04-18,55.68000030517578
2022-04-19,56.40999984741211
2022-04-20,56.06999969482422
2022-04-21,55.310001373291016
2022-04-22,54.11000061035156
2022-04-25,54.130001068115234
2022-04-26,52.130001068115234
2022-04-27,52.29999923706055
2022-04-28,53.349998474121094
2022-04-29,52.209999084472656
2022-05-02,52.54999923706055
2022-05-03,52.66999816894531
2022-05-04,53.900001525878906
2022-05-05,51.7599983215332
2022-05-06,50.970001220703125
2022-05-09,48.810001373291016
2022-05-10,49.18000030517578
2022-05-11,48.369998931884766
2022-05-12,48.43000030517578
2022-05-13,49.93000030517578
2022-05-16,49.59000015258789
2022-05-17,50.790000915527344
2022-05-18,49.0
2022-05-19,49.150001525878906
2022-05-20,49.189998626708984
2022-05-23,49.86000061035156
2022-05-24,49.06999969482422
2022-05-25,49.4900016784668
2022-05-26,50.529998779296875
2022-05-27,51.880001068115234
2022-05-31,51.7599983215332
2022-06-01,51.119998931884766
2022-06-02,52.36000061035156
2022-06-03,51.33000183105469
2022-06-06,51.540000915527344
2022-06-07,51.86000061035156
2022-06-08,51.45000076293945
2022-06-09,50.220001220703125
2022-06-10,48.79999923706055
2022-06-13,46.810001373291016
2022-06-14,46.619998931884766
2022-06-15,47.560001373291016
2022-06-16,45.959999084472656
2022-06-17,46.20000076293945
2022-06-21,47.150001525878906
2022-06-22,46.900001525878906
2022-06-23,47.119998931884766
2022-06-24,48.70000076293945
2022-06-27,48.59000015258789
2022-06-28,47.709999084472656
2022-06-29,47.599998474121094
2022-06-30,47.11000061035156
2022-07-01,47.349998474121094
2022-07-05,47.2599983215332
2022-07-06,47.2400016784668
2022-07-07,48.20000076293945
