Date,FBCCX
2024-10-14,215.9499969482422
2024-10-15,213.86000061035156
2024-10-16,214.7899932861328
2024-10-17,214.6199951171875
2024-10-18,216.22000122070312
2024-10-21,217.4499969482422
2024-10-22,217.47000122070312
2024-10-23,214.00999450683594
2024-10-24,214.82000732421875
2024-10-25,216.05999755859375
2024-10-28,216.80999755859375
2024-10-29,218.47000122070312
2024-10-30,217.55999755859375
2024-10-31,211.17999267578125
2024-11-01,213.47000122070312
2024-11-04,212.5399932861328
2024-11-05,215.89999389648438
2024-11-06,220.55999755859375
2024-11-07,225.5
2024-11-08,225.66000366210938
2024-11-11,225.07000732421875
2024-11-12,225.4199981689453
2024-11-13,224.5800018310547
2024-11-14,223.64999389648438
2024-11-15,219.11000061035156
2024-11-18,219.91000366210938
2024-11-19,222.94000244140625
2024-11-20,222.72000122070312
2024-11-21,222.97999572753906
