Date,RFNBX
2022-02-28,69.48999786376953
2022-03-01,68.43000030517578
2022-03-02,69.68000030517578
2022-03-03,69.0199966430664
2022-03-04,68.2699966430664
2022-03-07,66.05000305175781
2022-03-08,65.79000091552734
2022-03-09,67.66000366210938
2022-03-10,67.37999725341797
2022-03-11,66.44999694824219
2022-03-14,65.83000183105469
2022-03-15,67.04000091552734
2022-03-16,68.69999694824219
2022-03-17,69.72000122070312
2022-03-18,70.55000305175781
2022-03-21,70.30000305175781
2022-03-22,71.0199966430664
2022-03-23,70.06999969482422
2022-03-24,71.01000213623047
2022-03-25,71.16000366210938
2022-03-28,71.37000274658203
2022-03-29,72.37000274658203
2022-03-30,71.91999816894531
2022-03-31,70.87000274658203
2022-04-01,71.29000091552734
2022-04-04,71.86000061035156
2022-04-05,70.86000061035156
2022-04-06,70.27999877929688
2022-04-07,70.48999786376953
2022-04-08,70.36000061035156
2022-04-11,69.4800033569336
2022-04-12,69.20999908447266
2022-04-13,70.05000305175781
2022-04-14,69.37999725341797
2022-04-18,69.27999877929688
2022-04-19,70.19999694824219
2022-04-20,70.08999633789062
2022-04-21,68.83000183105469
2022-04-22,67.05999755859375
2022-04-25,67.18000030517578
2022-04-26,65.4000015258789
2022-04-27,65.58000183105469
2022-04-28,67.0
2022-04-29,65.05999755859375
2022-05-02,65.47000122070312
2022-05-03,65.80999755859375
2022-05-04,67.4800033569336
2022-05-05,65.37999725341797
2022-05-06,64.8499984741211
2022-05-09,62.5099983215332
2022-05-10,62.68000030517578
2022-05-11,62.06999969482422
2022-05-12,62.18000030517578
2022-05-13,63.880001068115234
2022-05-16,63.810001373291016
2022-05-17,65.05999755859375
2022-05-18,62.7599983215332
2022-05-19,62.56999969482422
2022-05-20,62.70000076293945
2022-05-23,63.54999923706055
2022-05-24,63.150001525878906
2022-05-25,63.72999954223633
2022-05-26,64.93000030517578
2022-05-27,66.36000061035156
2022-05-31,65.83999633789062
2022-06-01,65.36000061035156
2022-06-02,66.44999694824219
