Date,RNPBX
2022-02-28,54.709999084472656
2022-03-01,53.65999984741211
2022-03-02,54.400001525878906
2022-03-03,53.52000045776367
2022-03-04,52.43000030517578
2022-03-07,50.619998931884766
2022-03-08,50.63999938964844
2022-03-09,52.630001068115234
2022-03-10,52.13999938964844
2022-03-11,51.22999954223633
2022-03-14,50.79999923706055
2022-03-15,51.65999984741211
2022-03-16,53.58000183105469
2022-03-17,54.45000076293945
2022-03-18,55.369998931884766
2022-03-21,55.029998779296875
2022-03-22,55.95000076293945
2022-03-23,55.16999816894531
2022-03-24,55.849998474121094
2022-03-25,55.72999954223633
2022-03-28,56.38999938964844
2022-03-29,57.459999084472656
2022-03-30,57.130001068115234
2022-03-31,56.209999084472656
2022-04-01,56.58000183105469
2022-04-04,57.33000183105469
2022-04-05,56.310001373291016
2022-04-06,55.290000915527344
2022-04-07,55.4900016784668
2022-04-08,55.08000183105469
2022-04-11,54.04999923706055
2022-04-12,53.72999954223633
2022-04-13,54.61000061035156
2022-04-14,53.880001068115234
2022-04-18,53.720001220703125
2022-04-19,54.43000030517578
2022-04-20,54.099998474121094
2022-04-21,53.36000061035156
2022-04-22,52.20000076293945
2022-04-25,52.220001220703125
2022-04-26,50.290000915527344
2022-04-27,50.45000076293945
2022-04-28,51.470001220703125
2022-04-29,50.36000061035156
2022-05-02,50.70000076293945
2022-05-03,50.810001373291016
2022-05-04,52.0
2022-05-05,49.93000030517578
2022-05-06,49.15999984741211
2022-05-09,47.08000183105469
2022-05-10,47.439998626708984
2022-05-11,46.650001525878906
2022-05-12,46.720001220703125
2022-05-13,48.15999984741211
2022-05-16,47.84000015258789
2022-05-17,48.9900016784668
2022-05-18,47.2599983215332
2022-05-19,47.40999984741211
2022-05-20,47.45000076293945
2022-05-23,48.09000015258789
2022-05-24,47.33000183105469
2022-05-25,47.72999954223633
2022-05-26,48.7400016784668
2022-05-27,50.029998779296875
2022-05-31,49.91999816894531
2022-06-01,49.310001373291016
2022-06-02,50.5
2022-06-03,49.5
2022-06-06,49.709999084472656
2022-06-07,50.02000045776367
2022-06-08,49.619998931884766
2022-06-09,48.43000030517578
2022-06-10,47.06999969482422
2022-06-13,45.13999938964844
2022-06-14,44.95000076293945
2022-06-15,45.86000061035156
2022-06-16,44.31999969482422
2022-06-17,44.54999923706055
2022-06-21,45.470001220703125
2022-06-22,45.22999954223633
2022-06-23,45.439998626708984
2022-06-24,46.959999084472656
2022-06-27,46.86000061035156
2022-06-28,46.0099983215332
2022-06-29,45.900001525878906
2022-06-30,45.43000030517578
2022-07-01,45.650001525878906
2022-07-05,45.56999969482422
2022-07-06,45.54999923706055
2022-07-07,46.470001220703125
2022-07-08,46.5
2022-07-11,45.650001525878906
2022-07-12,45.2599983215332
2022-07-13,45.22999954223633
2022-07-14,44.93000030517578
2022-07-15,45.75
2022-07-18,45.63999938964844
2022-07-19,46.880001068115234
2022-07-20,47.04999923706055
2022-07-21,47.790000915527344
2022-07-22,47.29999923706055
2022-07-25,47.33000183105469
2022-07-26,46.709999084472656
2022-07-27,47.91999816894531
2022-07-28,48.439998626708984
2022-07-29,49.099998474121094
2022-08-01,48.95000076293945
