Date,IFAFX
2022-02-28,25.100000381469727
2022-03-01,24.90999984741211
2022-03-02,25.209999084472656
2022-03-03,25.149999618530273
2022-03-04,25.06999969482422
2022-03-07,24.649999618530273
2022-03-08,24.479999542236328
2022-03-09,24.780000686645508
2022-03-10,24.729999542236328
2022-03-11,24.56999969482422
2022-03-14,24.329999923706055
2022-03-15,24.479999542236328
2022-03-16,24.719999313354492
2022-03-17,24.979999542236328
2022-03-18,25.040000915527344
2022-03-21,25.059999465942383
2022-03-22,25.139999389648438
2022-03-23,25.020000457763672
2022-03-24,25.18000030517578
2022-03-25,25.299999237060547
2022-03-28,25.260000228881836
2022-03-29,25.440000534057617
2022-03-30,25.459999084472656
2022-03-31,25.260000228881836
2022-04-01,25.360000610351562
2022-04-04,25.3799991607666
2022-04-05,25.25
2022-04-06,25.280000686645508
2022-04-07,25.34000015258789
2022-04-08,25.40999984741211
2022-04-11,25.219999313354492
2022-04-12,25.190000534057617
2022-04-13,25.329999923706055
2022-04-14,25.25
2022-04-18,25.219999313354492
2022-04-19,25.309999465942383
2022-04-20,25.479999542236328
2022-04-21,25.270000457763672
2022-04-22,24.889999389648438
2022-04-25,24.84000015258789
2022-04-26,24.540000915527344
2022-04-27,24.600000381469727
2022-04-28,24.829999923706055
2022-04-29,24.3799991607666
2022-05-02,24.299999237060547
2022-05-03,24.469999313354492
2022-05-04,24.860000610351562
2022-05-05,24.450000762939453
2022-05-06,24.3799991607666
2022-05-09,23.969999313354492
2022-05-10,23.920000076293945
2022-05-11,23.8799991607666
2022-05-12,23.860000610351562
2022-05-13,24.15999984741211
2022-05-16,24.25
2022-05-17,24.489999771118164
2022-05-18,23.979999542236328
2022-05-19,23.850000381469727
2022-05-20,23.969999313354492
2022-05-23,24.190000534057617
2022-05-24,24.31999969482422
2022-05-25,24.5
2022-05-26,24.68000030517578
2022-05-27,24.920000076293945
2022-05-31,24.799999237060547
2022-06-01,24.68000030517578
2022-06-02,24.84000015258789
2022-06-03,24.690000534057617
2022-06-06,24.690000534057617
2022-06-07,24.860000610351562
2022-06-08,24.600000381469727
2022-06-09,24.25
2022-06-10,23.8799991607666
2022-06-13,23.06999969482422
2022-06-14,22.90999984741211
2022-06-15,23.100000381469727
2022-06-16,22.719999313354492
2022-06-17,22.600000381469727
2022-06-21,22.93000030517578
2022-06-22,22.860000610351562
2022-06-23,22.8799991607666
2022-06-24,23.260000228881836
2022-06-27,23.299999237060547
2022-06-28,23.170000076293945
