Date,FBCIX
2022-02-28,68.45999908447266
2022-03-01,67.6500015258789
2022-03-02,68.31999969482422
2022-03-03,68.0199966430664
2022-03-04,67.55999755859375
2022-03-07,66.2300033569336
2022-03-08,65.93000030517578
2022-03-09,67.01000213623047
2022-03-10,66.76000213623047
2022-03-11,66.30999755859375
2022-03-14,65.61000061035156
2022-03-15,66.05000305175781
2022-03-16,66.83999633789062
2022-03-17,67.56999969482422
2022-03-18,67.80999755859375
2022-03-21,67.76000213623047
2022-03-22,68.06999969482422
2022-03-23,67.69000244140625
2022-03-24,68.19999694824219
2022-03-25,68.41000366210938
2022-03-28,68.43000030517578
2022-03-29,69.02999877929688
2022-03-30,69.08999633789062
2022-03-31,68.44999694824219
2022-04-01,68.87000274658203
2022-04-04,68.94999694824219
2022-04-05,68.54000091552734
2022-04-06,68.58999633789062
2022-04-07,68.62000274658203
2022-04-08,68.77999877929688
2022-04-11,68.23999786376953
2022-04-12,68.12999725341797
2022-04-13,68.48999786376953
2022-04-14,68.19000244140625
2022-04-18,68.08000183105469
2022-04-19,68.33000183105469
2022-04-20,68.7699966430664
2022-04-21,68.2300033569336
2022-04-22,67.2300033569336
2022-04-25,67.05999755859375
2022-04-26,66.12000274658203
2022-04-27,66.25
2022-04-28,66.91000366210938
2022-04-29,65.68000030517578
2022-05-02,65.52999877929688
2022-05-03,65.9800033569336
2022-05-04,67.05999755859375
2022-05-05,65.83999633789062
2022-05-06,65.5199966430664
2022-05-09,64.3499984741211
2022-05-10,64.30000305175781
2022-05-11,64.29000091552734
2022-05-12,64.20999908447266
2022-05-13,65.08999633789062
2022-05-16,65.33999633789062
2022-05-17,66.12000274658203
2022-05-18,64.98999786376953
2022-05-19,64.73999786376953
2022-05-20,65.05000305175781
2022-05-23,65.58999633789062
2022-05-24,65.88999938964844
2022-05-25,66.29000091552734
2022-05-26,66.69000244140625
2022-05-27,67.41999816894531
2022-05-31,67.19999694824219
2022-06-01,66.75
2022-06-02,67.29000091552734
2022-06-03,66.79000091552734
2022-06-06,66.81999969482422
2022-06-07,67.27999877929688
2022-06-08,66.58999633789062
2022-06-09,65.58000183105469
2022-06-10,64.52999877929688
2022-06-13,62.33000183105469
2022-06-14,61.83000183105469
2022-06-15,62.5
2022-06-16,61.34000015258789
2022-06-17,61.119998931884766
2022-06-21,62.09000015258789
2022-06-22,61.939998626708984
2022-06-23,62.0
2022-06-24,63.08000183105469
2022-06-27,63.15999984741211
2022-06-28,62.90999984741211
2022-06-29,62.77000045776367
2022-06-30,62.52000045776367
2022-07-01,62.900001525878906
2022-07-05,62.20000076293945
2022-07-06,62.029998779296875
2022-07-07,62.540000915527344
2022-07-08,62.52000045776367
2022-07-11,62.15999984741211
2022-07-12,61.97999954223633
2022-07-13,61.779998779296875
2022-07-14,61.2599983215332
2022-07-15,62.0099983215332
2022-07-18,61.869998931884766
2022-07-19,62.84000015258789
2022-07-20,62.599998474121094
2022-07-21,62.880001068115234
2022-07-22,62.95000076293945
