Date,AGTHX
2022-02-28,64.44000244140625
2022-03-01,63.310001373291016
2022-03-02,64.25
2022-03-03,63.0
2022-03-04,61.970001220703125
2022-03-07,59.540000915527344
2022-03-08,59.52000045776367
2022-03-09,61.689998626708984
2022-03-10,61.36000061035156
2022-03-11,60.040000915527344
2022-03-14,59.04999923706055
2022-03-15,60.54999923706055
2022-03-16,62.83000183105469
2022-03-17,63.9900016784668
2022-03-18,65.29000091552734
2022-03-21,64.88999938964844
2022-03-22,66.16000366210938
2022-03-23,65.26000213623047
2022-03-24,66.1500015258789
2022-03-25,65.98999786376953
2022-03-28,66.88999938964844
2022-03-29,68.08000183105469
2022-03-30,67.41000366210938
2022-03-31,66.3499984741211
2022-04-01,66.7300033569336
2022-04-04,67.83999633789062
2022-04-05,66.44999694824219
2022-04-06,65.0999984741211
2022-04-07,65.2699966430664
2022-04-08,64.77999877929688
2022-04-11,63.560001373291016
2022-04-12,63.33000183105469
2022-04-13,64.58000183105469
2022-04-14,63.52000045776367
2022-04-18,63.400001525878906
2022-04-19,64.66000366210938
2022-04-20,63.630001068115234
2022-04-21,62.38999938964844
2022-04-22,60.869998931884766
2022-04-25,61.22999954223633
2022-04-26,58.77000045776367
2022-04-27,58.880001068115234
2022-04-28,60.439998626708984
2022-04-29,58.380001068115234
2022-05-02,59.130001068115234
2022-05-03,59.27000045776367
2022-05-04,60.9900016784668
2022-05-05,58.22999954223633
2022-05-06,57.40999984741211
2022-05-09,54.560001373291016
2022-05-10,54.939998626708984
2022-05-11,53.66999816894531
2022-05-12,53.84000015258789
2022-05-13,55.849998474121094
2022-05-16,55.15999984741211
2022-05-17,56.47999954223633
2022-05-18,54.13999938964844
2022-05-19,54.29999923706055
2022-05-20,54.08000183105469
2022-05-23,54.7599983215332
2022-05-24,53.52000045776367
2022-05-25,54.34000015258789
2022-05-26,55.790000915527344
2022-05-27,57.470001220703125
2022-05-31,57.15999984741211
2022-06-01,56.630001068115234
2022-06-02,58.060001373291016
2022-06-03,56.790000915527344
2022-06-06,57.060001373291016
2022-06-07,57.54999923706055
2022-06-08,57.130001068115234
2022-06-09,55.709999084472656
2022-06-10,53.95000076293945
2022-06-13,51.459999084472656
2022-06-14,51.36000061035156
2022-06-15,52.400001525878906
2022-06-16,50.2599983215332
2022-06-17,50.63999938964844
2022-06-21,51.88999938964844
2022-06-22,51.7599983215332
2022-06-23,52.27000045776367
2022-06-24,53.9900016784668
2022-06-27,53.779998779296875
2022-06-28,52.619998931884766
2022-06-29,52.43000030517578
2022-06-30,51.77000045776367
2022-07-01,52.220001220703125
2022-07-05,52.650001525878906
2022-07-06,52.630001068115234
2022-07-07,53.7400016784668
2022-07-08,53.7400016784668
2022-07-11,52.68000030517578
2022-07-12,52.119998931884766
2022-07-13,51.97999954223633
2022-07-14,51.65999984741211
2022-07-15,52.72999954223633
2022-07-18,52.58000183105469
2022-07-19,54.099998474121094
2022-07-20,54.720001220703125
2022-07-21,55.529998779296875
2022-07-22,54.58000183105469
2022-07-25,54.58000183105469
2022-07-26,53.630001068115234
2022-07-27,55.43000030517578
2022-07-28,56.08000183105469
2022-07-29,57.040000915527344
2022-08-01,56.90999984741211
2022-08-02,56.7599983215332
2022-08-03,57.86000061035156
2022-08-04,58.06999969482422
2022-08-05,57.880001068115234
2022-08-08,58.04999923706055
2022-08-09,57.40999984741211
2022-08-10,59.029998779296875
2022-08-11,58.880001068115234
2022-08-12,59.97999954223633
2022-08-15,60.13999938964844
2022-08-16,60.099998474121094
2022-08-17,59.36000061035156
2022-08-18,59.4900016784668
2022-08-19,58.43000030517578
2022-08-22,57.150001525878906
2022-08-23,57.220001220703125
2022-08-24,57.540000915527344
2022-08-25,58.43000030517578
2022-08-26,56.439998626708984
2022-08-29,56.04999923706055
2022-08-30,55.40999984741211
2022-08-31,55.099998474121094
2022-09-01,54.959999084472656
2022-09-02,54.470001220703125
2022-09-06,54.22999954223633
2022-09-07,55.2599983215332
2022-09-08,55.86000061035156
2022-09-09,57.040000915527344
2022-09-12,57.619998931884766
2022-09-13,55.150001525878906
2022-09-14,55.54999923706055
2022-09-15,55.11000061035156
2022-09-16,54.52000045776367
2022-09-19,54.880001068115234
2022-09-20,54.20000076293945
2022-09-21,53.16999816894531
2022-09-22,52.380001068115234
2022-09-23,51.279998779296875
2022-09-26,50.790000915527344
2022-09-27,50.91999816894531
2022-09-28,52.189998626708984
2022-09-29,50.959999084472656
2022-09-30,50.369998931884766
2022-10-03,51.310001373291016
2022-10-04,53.209999084472656
2022-10-05,53.060001373291016
2022-10-06,52.7400016784668
2022-10-07,51.06999969482422
2022-10-10,50.5
2022-10-11,49.83000183105469
2022-10-12,49.869998931884766
2022-10-13,50.77000045776367
2022-10-14,49.29999923706055
2022-10-17,50.86000061035156
2022-10-18,51.349998474121094
2022-10-19,50.9900016784668
2022-10-20,50.619998931884766
2022-10-21,51.77000045776367
2022-10-24,52.06999969482422
2022-10-25,53.209999084472656
2022-10-26,52.709999084472656
2022-10-27,52.16999816894531
2022-10-28,52.97999954223633
2022-10-31,52.65999984741211
2022-11-01,52.47999954223633
2022-11-02,50.880001068115234
2022-11-03,50.4900016784668
2022-11-04,51.13999938964844
2022-11-07,51.470001220703125
2022-11-08,51.72999954223633
2022-11-09,50.45000076293945
2022-11-10,53.56999969482422
2022-11-11,54.41999816894531
2022-11-14,53.790000915527344
2022-11-15,54.5
2022-11-16,53.75
2022-11-17,53.29999923706055
2022-11-18,53.36000061035156
2022-11-21,52.75
2022-11-22,53.41999816894531
