Date,VTSNX
2022-02-28,128.9600067138672
2022-03-01,126.7699966430664
2022-03-02,127.8499984741211
2022-03-03,125.97000122070312
2022-03-04,122.93000030517578
2022-03-07,119.37999725341797
2022-03-08,119.37000274658203
2022-03-09,123.5199966430664
2022-03-10,122.48999786376953
2022-03-11,121.08999633789062
2022-03-14,120.7699966430664
2022-03-15,121.19999694824219
2022-03-16,126.16000366210938
2022-03-17,127.41999816894531
2022-03-18,128.61000061035156
2022-03-21,127.56999969482422
2022-03-22,128.97999572753906
2022-03-23,127.86000061035156
2022-03-24,128.5399932861328
2022-03-25,128.38999938964844
2022-03-28,128.1199951171875
2022-03-29,130.38999938964844
2022-03-30,130.2100067138672
2022-03-31,128.25
2022-04-01,129.47999572753906
2022-04-04,130.50999450683594
2022-04-05,128.9600067138672
2022-04-06,127.5199966430664
2022-04-07,127.0999984741211
2022-04-08,127.29000091552734
2022-04-11,125.9000015258789
2022-04-12,125.0999984741211
2022-04-13,126.58000183105469
2022-04-14,125.94999694824219
2022-04-18,125.18000030517578
2022-04-19,125.43000030517578
2022-04-20,126.0199966430664
2022-04-21,124.5
2022-04-22,122.55000305175781
2022-04-25,121.4800033569336
2022-04-26,118.7300033569336
2022-04-27,119.3499984741211
2022-04-28,120.94999694824219
2022-04-29,120.19000244140625
2022-05-02,119.79000091552734
2022-05-03,120.62000274658203
2022-05-04,122.19000244140625
2022-05-05,118.72000122070312
2022-05-06,117.19000244140625
2022-05-09,113.80999755859375
2022-05-10,114.30000305175781
2022-05-11,113.80999755859375
2022-05-12,113.11000061035156
2022-05-13,116.05000305175781
2022-05-16,116.26000213623047
2022-05-17,118.44999694824219
2022-05-18,116.08000183105469
2022-05-19,116.94999694824219
2022-05-20,117.70999908447266
2022-05-23,119.4000015258789
2022-05-24,118.41000366210938
2022-05-25,118.6500015258789
2022-05-26,120.05999755859375
2022-05-27,121.52999877929688
2022-05-31,121.91000366210938
2022-06-01,120.94000244140625
2022-06-02,122.7699966430664
2022-06-03,121.19000244140625
2022-06-06,121.83000183105469
2022-06-07,122.08999633789062
2022-06-08,121.23999786376953
2022-06-09,118.70999908447266
2022-06-10,116.33999633789062
2022-06-13,112.3499984741211
2022-06-14,111.83999633789062
2022-06-15,113.62999725341797
2022-06-16,111.08999633789062
2022-06-17,109.38999938964844
2022-06-21,111.05999755859375
2022-06-22,109.87000274658203
2022-06-23,109.51000213623047
2022-06-24,112.27999877929688
2022-06-27,112.43000030517578
2022-06-28,112.04000091552734
2022-06-29,111.38999938964844
2022-06-30,110.4800033569336
2022-07-01,110.30999755859375
2022-07-05,108.63999938964844
2022-07-06,108.4000015258789
2022-07-07,110.25
2022-07-08,110.36000061035156
2022-07-11,108.48999786376953
2022-07-12,108.11000061035156
2022-07-13,107.98999786376953
2022-07-14,106.70999908447266
2022-07-15,107.93000030517578
2022-07-18,108.72000122070312
2022-07-19,111.08000183105469
2022-07-20,110.73999786376953
2022-07-21,111.91000366210938
2022-07-22,111.37000274658203
2022-07-25,112.01000213623047
2022-07-26,110.86000061035156
2022-07-27,113.0199966430664
2022-07-28,113.7699966430664
2022-07-29,114.54000091552734
2022-08-01,114.52999877929688
2022-08-02,113.13999938964844
2022-08-03,113.83000183105469
2022-08-04,114.41999816894531
2022-08-05,113.88999938964844
2022-08-08,114.12999725341797
2022-08-09,113.62999725341797
2022-08-10,115.7699966430664
2022-08-11,116.11000061035156
2022-08-12,116.94999694824219
2022-08-15,116.37000274658203
2022-08-16,116.36000061035156
2022-08-17,115.66999816894531
2022-08-18,115.23999786376953
2022-08-19,113.76000213623047
2022-08-22,112.1500015258789
2022-08-23,112.38999938964844
2022-08-24,112.44000244140625
2022-08-25,113.91999816894531
2022-08-26,111.55999755859375
2022-08-29,111.12000274658203
2022-08-30,110.33000183105469
2022-08-31,109.87999725341797
2022-09-01,108.44999694824219
2022-09-02,108.0199966430664
2022-09-06,107.29000091552734
2022-09-07,107.98999786376953
2022-09-08,108.22000122070312
2022-09-09,110.41000366210938
2022-09-12,111.91000366210938
2022-09-13,108.48999786376953
2022-09-14,108.69000244140625
2022-09-15,107.75
2022-09-16,106.3499984741211
2022-09-19,106.66999816894531
2022-09-20,105.3499984741211
2022-09-21,103.88999938964844
2022-09-22,103.38999938964844
2022-09-23,100.30999755859375
2022-09-26,98.66000366210938
2022-09-27,98.36000061035156
2022-09-28,99.9800033569336
2022-09-29,98.55999755859375
2022-09-30,98.30999755859375
2022-10-03,100.27999877929688
2022-10-04,103.9000015258789
2022-10-05,103.06999969482422
2022-10-06,101.6500015258789
2022-10-07,99.88999938964844
2022-10-10,99.04000091552734
2022-10-11,97.86000061035156
2022-10-12,97.61000061035156
2022-10-13,99.08999633789062
2022-10-14,97.55999755859375
2022-10-17,100.0
2022-10-18,100.5999984741211
2022-10-19,99.22000122070312
2022-10-20,99.23999786376953
2022-10-21,100.80999755859375
2022-10-24,99.87000274658203
2022-10-25,101.55999755859375
2022-10-26,102.66000366210938
2022-10-27,102.05000305175781
2022-10-28,102.43000030517578
2022-10-31,101.68000030517578
2022-11-01,102.83999633789062
2022-11-02,101.6500015258789
2022-11-03,101.08000183105469
2022-11-04,104.72000122070312
2022-11-07,105.3499984741211
2022-11-08,106.2699966430664
2022-11-09,104.79000091552734
2022-11-10,109.44999694824219
2022-11-11,111.87999725341797
2022-11-14,111.02999877929688
2022-11-15,112.26000213623047
2022-11-16,111.41000366210938
2022-11-17,111.37999725341797
2022-11-18,111.33000183105469
2022-11-21,110.3499984741211
2022-11-22,111.62000274658203
2022-11-23,112.6500015258789
2022-11-25,113.16999816894531
2022-11-28,111.80000305175781
2022-11-29,112.61000061035156
2022-11-30,115.27999877929688
2022-12-01,115.76000213623047
2022-12-02,115.76000213623047
2022-12-05,114.19999694824219
2022-12-06,113.61000061035156
2022-12-07,113.3499984741211
2022-12-08,114.06999969482422
2022-12-09,114.0999984741211
2022-12-12,114.08999633789062
2022-12-13,115.31999969482422
2022-12-14,115.44000244140625
2022-12-15,112.69999694824219
2022-12-16,110.69999694824219
2022-12-19,110.44999694824219
2022-12-20,110.8499984741211
2022-12-21,111.83999633789062
2022-12-22,111.01000213623047
2022-12-23,111.23999786376953
2022-12-27,111.63999938964844
2022-12-28,110.68000030517578
2022-12-29,112.26000213623047
2022-12-30,111.41999816894531
2023-01-03,111.95999908447266
2023-01-04,113.69000244140625
2023-01-05,112.95999908447266
2023-01-06,115.4000015258789
2023-01-09,116.2699966430664
2023-01-10,116.55999755859375
2023-01-11,117.19000244140625
2023-01-12,118.55000305175781
2023-01-13,119.30000305175781
2023-01-17,119.43000030517578
2023-01-18,118.94000244140625
