Date,VICBX
2022-02-28,29.579999923706055
2022-03-01,29.770000457763672
2022-03-02,29.43000030517578
2022-03-03,29.510000228881836
2022-03-04,29.6200008392334
2022-03-07,29.40999984741211
2022-03-08,29.170000076293945
2022-03-09,29.09000015258789
2022-03-10,28.93000030517578
2022-03-11,28.889999389648438
2022-03-14,28.579999923706055
2022-03-15,28.600000381469727
2022-03-16,28.68000030517578
2022-03-17,28.799999237060547
2022-03-18,28.8799991607666
2022-03-21,28.6200008392334
2022-03-22,28.549999237060547
2022-03-23,28.65999984741211
2022-03-24,28.530000686645508
2022-03-25,28.329999923706055
2022-03-28,28.389999389648438
2022-03-29,28.56999969482422
2022-03-30,28.65999984741211
2022-03-31,28.6299991607666
2022-04-01,28.520000457763672
2022-04-04,28.579999923706055
2022-04-05,28.309999465942383
2022-04-06,28.190000534057617
2022-04-07,28.139999389648438
2022-04-08,27.979999542236328
2022-04-11,27.809999465942383
2022-04-12,27.899999618530273
2022-04-13,27.920000076293945
2022-04-14,27.729999542236328
2022-04-18,27.639999389648438
2022-04-19,27.459999084472656
2022-04-20,27.610000610351562
2022-04-21,27.440000534057617
2022-04-22,27.3700008392334
2022-04-25,27.5
2022-04-26,27.6299991607666
2022-04-27,27.479999542236328
2022-04-28,27.420000076293945
2022-04-29,27.209999084472656
2022-05-02,27.049999237060547
2022-05-03,27.110000610351562
2022-05-04,27.270000457763672
2022-05-05,27.059999465942383
2022-05-06,26.940000534057617
2022-05-09,27.030000686645508
2022-05-10,27.09000015258789
2022-05-11,27.200000762939453
2022-05-12,27.229999542236328
2022-05-13,27.1200008392334
2022-05-16,27.190000534057617
2022-05-17,27.010000228881836
2022-05-18,27.06999969482422
2022-05-19,27.1299991607666
2022-05-20,27.209999084472656
2022-05-23,27.110000610351562
2022-05-24,27.31999969482422
2022-05-25,27.469999313354492
2022-05-26,27.56999969482422
2022-05-27,27.6200008392334
2022-05-31,27.43000030517578
2022-06-01,27.309999465942383
2022-06-02,27.329999923706055
2022-06-03,27.270000457763672
2022-06-06,27.139999389648438
2022-06-07,27.209999084472656
2022-06-08,27.139999389648438
2022-06-09,27.059999465942383
2022-06-10,26.760000228881836
2022-06-13,26.270000457763672
2022-06-14,26.110000610351562
2022-06-15,26.440000534057617
2022-06-16,26.459999084472656
2022-06-17,26.469999313354492
2022-06-21,26.3799991607666
2022-06-22,26.549999237060547
2022-06-23,26.649999618530273
2022-06-24,26.6200008392334
2022-06-27,26.510000228881836
2022-06-28,26.479999542236328
2022-06-29,26.59000015258789
2022-06-30,26.610000610351562
2022-07-01,26.829999923706055
2022-07-05,26.889999389648438
2022-07-06,26.760000228881836
2022-07-07,26.709999084472656
2022-07-08,26.639999389648438
2022-07-11,26.770000457763672
2022-07-12,26.799999237060547
2022-07-13,26.8700008392334
2022-07-14,26.739999771118164
2022-07-15,26.860000610351562
2022-07-18,26.84000015258789
2022-07-19,26.780000686645508
2022-07-20,26.780000686645508
2022-07-21,27.030000686645508
2022-07-22,27.280000686645508
2022-07-25,27.18000030517578
2022-07-26,27.139999389648438
2022-07-27,27.239999771118164
2022-07-28,27.469999313354492
2022-07-29,27.479999542236328
2022-08-01,27.579999923706055
2022-08-02,27.270000457763672
2022-08-03,27.399999618530273
2022-08-04,27.489999771118164
2022-08-05,27.18000030517578
2022-08-08,27.309999465942383
2022-08-09,27.229999542236328
2022-08-10,27.329999923706055
2022-08-11,27.239999771118164
2022-08-12,27.399999618530273
2022-08-15,27.479999542236328
2022-08-16,27.440000534057617
2022-08-17,27.260000228881836
2022-08-18,27.290000915527344
2022-08-19,27.079999923706055
2022-08-22,26.93000030517578
2022-08-23,26.90999984741211
2022-08-24,26.850000381469727
2022-08-25,27.020000457763672
2022-08-26,26.959999084472656
2022-08-29,26.790000915527344
2022-08-30,26.770000457763672
2022-08-31,26.559999465942383
2022-09-01,26.3700008392334
2022-09-02,26.489999771118164
2022-09-06,26.239999771118164
2022-09-07,26.399999618530273
2022-09-08,26.34000015258789
2022-09-09,26.3799991607666
2022-09-12,26.360000610351562
2022-09-13,26.200000762939453
2022-09-14,26.200000762939453
2022-09-15,26.1299991607666
2022-09-16,26.110000610351562
2022-09-19,26.059999465942383
2022-09-20,25.93000030517578
2022-09-21,26.010000228881836
2022-09-22,25.670000076293945
2022-09-23,25.6299991607666
2022-09-26,25.260000228881836
2022-09-27,25.040000915527344
2022-09-28,25.399999618530273
2022-09-29,25.219999313354492
2022-09-30,25.170000076293945
2022-10-03,25.469999313354492
2022-10-04,25.600000381469727
2022-10-05,25.399999618530273
2022-10-06,25.34000015258789
2022-10-07,25.200000762939453
2022-10-10,25.09000015258789
2022-10-11,25.030000686645508
2022-10-12,25.020000457763672
2022-10-13,24.940000534057617
2022-10-14,24.829999923706055
2022-10-17,24.860000610351562
2022-10-18,24.940000534057617
2022-10-19,24.719999313354492
2022-10-20,24.579999923706055
2022-10-21,24.639999389648438
2022-10-24,24.670000076293945
2022-10-25,24.920000076293945
2022-10-26,25.030000686645508
2022-10-27,25.15999984741211
2022-10-28,25.100000381469727
2022-10-31,24.959999084472656
2022-11-01,25.020000457763672
2022-11-02,25.0
2022-11-03,24.8700008392334
2022-11-04,24.889999389648438
2022-11-07,24.8700008392334
2022-11-08,25.010000228881836
2022-11-09,25.040000915527344
2022-11-10,25.56999969482422
2022-11-11,25.520000457763672
2022-11-14,25.59000015258789
2022-11-15,25.799999237060547
2022-11-16,25.950000762939453
2022-11-17,25.809999465942383
2022-11-18,25.780000686645508
2022-11-21,25.790000915527344
