Date,CICAX
2022-02-28,47.869998931884766
2022-03-01,47.150001525878906
2022-03-02,47.95000076293945
2022-03-03,47.650001525878906
2022-03-04,47.310001373291016
2022-03-07,45.91999816894531
2022-03-08,45.63999938964844
2022-03-09,46.72999954223633
2022-03-10,46.63999938964844
2022-03-11,46.04999923706055
2022-03-14,45.7599983215332
2022-03-15,46.59000015258789
2022-03-16,47.40999984741211
2022-03-17,47.97999954223633
2022-03-18,48.470001220703125
2022-03-21,48.439998626708984
2022-03-22,48.93000030517578
2022-03-23,48.400001525878906
2022-03-24,49.0099983215332
2022-03-25,49.27000045776367
2022-03-28,49.40999984741211
2022-03-29,49.970001220703125
2022-03-30,49.790000915527344
2022-03-31,49.04999923706055
2022-04-01,49.33000183105469
2022-04-04,49.689998626708984
2022-04-05,49.11000061035156
2022-04-06,48.65999984741211
2022-04-07,48.83000183105469
2022-04-08,48.810001373291016
2022-04-11,48.08000183105469
2022-04-12,47.93000030517578
2022-04-13,48.459999084472656
2022-04-14,47.91999816894531
2022-04-18,47.91999816894531
2022-04-19,48.599998474121094
2022-04-20,48.33000183105469
2022-04-21,47.52000045776367
2022-04-22,46.34000015258789
2022-04-25,46.43000030517578
2022-04-26,45.189998626708984
2022-04-27,45.34000015258789
2022-04-28,46.369998931884766
2022-04-29,44.83000183105469
2022-05-02,45.09000015258789
2022-05-03,45.33000183105469
2022-05-04,46.540000915527344
2022-05-05,45.09000015258789
2022-05-06,44.83000183105469
2022-05-09,43.369998931884766
2022-05-10,43.4900016784668
2022-05-11,43.029998779296875
2022-05-12,43.02000045776367
2022-05-13,44.06999969482422
2022-05-16,44.060001373291016
2022-05-17,44.95000076293945
2022-05-18,43.45000076293945
2022-05-19,43.22999954223633
2022-05-20,43.290000915527344
2022-05-23,43.91999816894531
2022-05-24,43.66999816894531
2022-05-25,44.040000915527344
2022-05-26,44.77000045776367
2022-05-27,45.70000076293945
2022-05-31,45.47999954223633
2022-06-01,45.22999954223633
2022-06-02,45.959999084472656
2022-06-03,45.36000061035156
2022-06-06,45.5099983215332
2022-06-07,45.93000030517578
2022-06-08,45.43000030517578
2022-06-09,44.349998474121094
2022-06-10,43.16999816894531
