Date,CLBCX
2022-02-28,31.799999237060547
2022-03-01,31.59000015258789
2022-03-02,31.860000610351562
2022-03-03,31.75
2022-03-04,31.68000030517578
2022-03-07,31.079999923706055
2022-03-08,30.90999984741211
2022-03-09,31.31999969482422
2022-03-10,31.25
2022-03-11,31.010000228881836
2022-03-14,30.770000457763672
2022-03-15,31.110000610351562
2022-03-16,31.469999313354492
2022-03-17,31.760000228881836
2022-03-18,31.979999542236328
2022-03-21,31.8799991607666
2022-03-22,31.979999542236328
2022-03-23,31.809999465942383
2022-03-24,32.04999923706055
2022-03-25,32.09000015258789
2022-03-28,32.130001068115234
2022-03-29,32.369998931884766
2022-03-30,32.31999969482422
2022-03-31,31.989999771118164
2022-04-01,32.099998474121094
2022-04-04,32.209999084472656
2022-04-05,31.889999389648438
2022-04-06,31.780000686645508
2022-04-07,31.850000381469727
2022-04-08,31.84000015258789
2022-04-11,31.540000915527344
2022-04-12,31.5
2022-04-13,31.719999313354492
2022-04-14,31.469999313354492
2022-04-18,31.469999313354492
2022-04-19,31.649999618530273
2022-04-20,31.729999542236328
2022-04-21,31.3700008392334
2022-04-22,30.850000381469727
2022-04-25,30.90999984741211
2022-04-26,30.489999771118164
2022-04-27,30.5
2022-04-28,30.889999389648438
2022-04-29,30.209999084472656
2022-05-02,30.229999542236328
2022-05-03,30.3799991607666
2022-05-04,30.93000030517578
2022-05-05,30.290000915527344
2022-05-06,30.18000030517578
2022-05-09,29.600000381469727
2022-05-10,29.649999618530273
2022-05-11,29.549999237060547
2022-05-12,29.56999969482422
2022-05-13,29.93000030517578
2022-05-16,29.989999771118164
2022-05-17,30.290000915527344
2022-05-18,29.639999389648438
2022-05-19,29.530000686645508
2022-05-20,29.639999389648438
2022-05-23,29.8700008392334
2022-05-24,29.920000076293945
2022-05-25,30.1299991607666
2022-05-26,30.469999313354492
2022-05-27,30.8799991607666
2022-05-31,30.670000076293945
2022-06-01,30.520000457763672
2022-06-02,30.780000686645508
2022-06-03,30.540000915527344
2022-06-06,30.520000457763672
2022-06-07,30.75
2022-06-08,30.479999542236328
2022-06-09,30.040000915527344
2022-06-10,29.520000457763672
2022-06-13,28.459999084472656
2022-06-14,28.299999237060547
2022-06-15,28.579999923706055
2022-06-16,28.020000457763672
2022-06-17,27.979999542236328
2022-06-21,28.350000381469727
2022-06-22,28.350000381469727
2022-06-23,28.450000762939453
2022-06-24,28.920000076293945
2022-06-27,28.899999618530273
2022-06-28,28.670000076293945
2022-06-29,28.65999984741211
2022-06-30,28.549999237060547
2022-07-01,28.739999771118164
2022-07-05,28.6200008392334
2022-07-06,28.59000015258789
2022-07-07,28.829999923706055
2022-07-08,28.770000457763672
2022-07-11,28.639999389648438
2022-07-12,28.5
2022-07-13,28.420000076293945
2022-07-14,28.280000686645508
2022-07-15,28.649999618530273
2022-07-18,28.540000915527344
2022-07-19,28.969999313354492
2022-07-20,28.989999771118164
2022-07-21,29.190000534057617
2022-07-22,29.139999389648438
2022-07-25,29.209999084472656
2022-07-26,29.049999237060547
2022-07-27,29.450000762939453
2022-07-28,29.649999618530273
2022-07-29,29.81999969482422
2022-08-01,29.799999237060547
2022-08-02,29.549999237060547
2022-08-03,29.790000915527344
2022-08-04,29.799999237060547
2022-08-05,29.709999084472656
2022-08-08,29.770000457763672
2022-08-09,29.68000030517578
2022-08-10,30.030000686645508
2022-08-11,30.020000457763672
2022-08-12,30.34000015258789
2022-08-15,30.3799991607666
2022-08-16,30.40999984741211
2022-08-17,30.209999084472656
2022-08-18,30.280000686645508
2022-08-19,30.040000915527344
2022-08-22,29.649999618530273
2022-08-23,29.6200008392334
2022-08-24,29.65999984741211
2022-08-25,29.969999313354492
2022-08-26,29.40999984741211
2022-08-29,29.270000457763672
2022-08-30,29.040000915527344
2022-08-31,28.8799991607666
2022-09-01,28.84000015258789
2022-09-02,28.760000228881836
2022-09-06,28.56999969482422
2022-09-07,28.8700008392334
2022-09-08,28.969999313354492
2022-09-09,29.239999771118164
2022-09-12,29.350000381469727
2022-09-13,28.559999465942383
2022-09-14,28.639999389648438
2022-09-15,28.469999313354492
2022-09-16,28.3799991607666
2022-09-19,28.450000762939453
2022-09-20,28.200000762939453
2022-09-21,27.959999084472656
2022-09-22,27.729999542236328
2022-09-23,27.309999465942383
2022-09-26,26.93000030517578
2022-09-27,26.850000381469727
2022-09-28,27.350000381469727
2022-09-29,27.0
2022-09-30,26.770000457763672
2022-10-03,27.350000381469727
2022-10-04,27.920000076293945
2022-10-05,27.850000381469727
2022-10-06,27.639999389648438
2022-10-07,27.18000030517578
2022-10-10,26.989999771118164
2022-10-11,26.8799991607666
2022-10-12,26.84000015258789
2022-10-13,27.18000030517578
2022-10-14,26.770000457763672
2022-10-17,27.1299991607666
2022-10-18,27.329999923706055
2022-10-19,27.15999984741211
2022-10-20,27.020000457763672
2022-10-21,27.440000534057617
2022-10-24,27.600000381469727
2022-10-25,27.93000030517578
2022-10-26,27.950000762939453
2022-10-27,27.959999084472656
2022-10-28,28.280000686645508
2022-10-31,28.149999618530273
2022-11-01,28.1299991607666
2022-11-02,27.760000228881836
2022-11-03,27.610000610351562
2022-11-04,27.90999984741211
2022-11-07,28.09000015258789
2022-11-08,28.260000228881836
2022-11-09,27.93000030517578
2022-11-10,28.940000534057617
2022-11-11,29.049999237060547
2022-11-14,28.8799991607666
2022-11-15,29.09000015258789
2022-11-16,28.989999771118164
2022-11-17,28.93000030517578
2022-11-18,29.010000228881836
2022-11-21,28.959999084472656
2022-11-22,29.25
2022-11-23,29.3799991607666
