Date,RAFGX
2022-02-28,40.16999816894531
2022-03-01,39.540000915527344
2022-03-02,40.130001068115234
2022-03-03,39.4900016784668
2022-03-04,38.849998474121094
2022-03-07,37.279998779296875
2022-03-08,37.11000061035156
2022-03-09,38.459999084472656
2022-03-10,38.2400016784668
2022-03-11,37.47999954223633
2022-03-14,36.970001220703125
2022-03-15,37.900001525878906
2022-03-16,39.290000915527344
2022-03-17,39.93000030517578
2022-03-18,40.66999816894531
2022-03-21,40.279998779296875
2022-03-22,40.88999938964844
2022-03-23,40.09000015258789
2022-03-24,40.630001068115234
2022-03-25,40.45000076293945
2022-03-28,40.880001068115234
2022-03-29,41.75
2022-03-30,41.2400016784668
2022-03-31,40.58000183105469
2022-04-01,40.7599983215332
2022-04-04,41.25
2022-04-05,40.540000915527344
2022-04-06,39.81999969482422
2022-04-07,39.95000076293945
2022-04-08,39.709999084472656
2022-04-11,39.060001373291016
2022-04-12,38.81999969482422
2022-04-13,39.529998779296875
2022-04-14,38.93000030517578
2022-04-18,38.720001220703125
2022-04-19,39.599998474121094
2022-04-20,39.029998779296875
2022-04-21,38.15999984741211
2022-04-22,37.150001525878906
2022-04-25,37.47999954223633
2022-04-26,36.25
2022-04-27,36.290000915527344
2022-04-28,37.36000061035156
2022-04-29,36.029998779296875
2022-05-02,36.40999984741211
2022-05-03,36.349998474121094
2022-05-04,37.349998474121094
2022-05-05,35.79999923706055
2022-05-06,35.220001220703125
2022-05-09,33.68000030517578
2022-05-10,33.880001068115234
2022-05-11,33.20000076293945
2022-05-12,33.41999816894531
2022-05-13,34.599998474121094
2022-05-16,34.16999816894531
2022-05-17,34.95000076293945
2022-05-18,33.529998779296875
2022-05-19,33.65999984741211
2022-05-20,33.70000076293945
2022-05-23,34.04999923706055
2022-05-24,33.41999816894531
2022-05-25,33.869998931884766
2022-05-26,34.7599983215332
2022-05-27,35.7599983215332
2022-05-31,35.47999954223633
2022-06-01,35.04999923706055
2022-06-02,36.0099983215332
2022-06-03,35.31999969482422
2022-06-06,35.5099983215332
2022-06-07,35.83000183105469
2022-06-08,35.529998779296875
2022-06-09,34.66999816894531
2022-06-10,33.56999969482422
2022-06-13,32.060001373291016
2022-06-14,31.950000762939453
2022-06-15,30.329999923706055
2022-06-16,29.190000534057617
2022-06-17,29.489999771118164
2022-06-21,30.09000015258789
2022-06-22,30.1299991607666
2022-06-23,30.670000076293945
2022-06-24,31.639999389648438
2022-06-27,31.459999084472656
2022-06-28,30.75
2022-06-29,30.719999313354492
2022-06-30,30.389999389648438
2022-07-01,30.700000762939453
2022-07-05,31.040000915527344
2022-07-06,31.09000015258789
2022-07-07,31.6299991607666
2022-07-08,31.59000015258789
2022-07-11,31.079999923706055
