Date,RIDHX
2022-02-28,25.139999389648438
2022-03-01,24.950000762939453
2022-03-02,25.25
2022-03-03,25.190000534057617
2022-03-04,25.110000610351562
2022-03-07,24.690000534057617
2022-03-08,24.520000457763672
2022-03-09,24.81999969482422
2022-03-10,24.770000457763672
2022-03-11,24.610000610351562
2022-03-14,24.350000381469727
2022-03-15,24.510000228881836
2022-03-16,24.75
2022-03-17,25.010000228881836
2022-03-18,25.06999969482422
2022-03-21,25.09000015258789
2022-03-22,25.170000076293945
2022-03-23,25.059999465942383
2022-03-24,25.209999084472656
2022-03-25,25.329999923706055
2022-03-28,25.299999237060547
2022-03-29,25.479999542236328
2022-03-30,25.489999771118164
2022-03-31,25.290000915527344
2022-04-01,25.389999389648438
2022-04-04,25.40999984741211
2022-04-05,25.280000686645508
2022-04-06,25.31999969482422
2022-04-07,25.3700008392334
2022-04-08,25.440000534057617
2022-04-11,25.260000228881836
2022-04-12,25.219999313354492
2022-04-13,25.360000610351562
2022-04-14,25.290000915527344
2022-04-18,25.25
2022-04-19,25.34000015258789
2022-04-20,25.510000228881836
2022-04-21,25.309999465942383
2022-04-22,24.93000030517578
2022-04-25,24.8700008392334
2022-04-26,24.579999923706055
2022-04-27,24.6299991607666
2022-04-28,24.860000610351562
2022-04-29,24.40999984741211
2022-05-02,24.329999923706055
2022-05-03,24.510000228881836
2022-05-04,24.889999389648438
2022-05-05,24.489999771118164
2022-05-06,24.420000076293945
2022-05-09,24.0
2022-05-10,23.950000762939453
2022-05-11,23.920000076293945
2022-05-12,23.899999618530273
2022-05-13,24.190000534057617
2022-05-16,24.290000915527344
2022-05-17,24.520000457763672
2022-05-18,24.020000457763672
2022-05-19,23.889999389648438
2022-05-20,24.010000228881836
2022-05-23,24.219999313354492
2022-05-24,24.360000610351562
2022-05-25,24.530000686645508
2022-05-26,24.719999313354492
2022-05-27,24.959999084472656
2022-05-31,24.84000015258789
2022-06-01,24.719999313354492
2022-06-02,24.8799991607666
2022-06-03,24.729999542236328
2022-06-06,24.729999542236328
2022-06-07,24.899999618530273
2022-06-08,24.639999389648438
2022-06-09,24.290000915527344
2022-06-10,23.920000076293945
2022-06-13,23.100000381469727
2022-06-14,22.940000534057617
2022-06-15,23.1299991607666
2022-06-16,22.739999771118164
2022-06-17,22.6299991607666
2022-06-21,22.959999084472656
2022-06-22,22.8799991607666
2022-06-23,22.90999984741211
2022-06-24,23.280000686645508
2022-06-27,23.329999923706055
2022-06-28,23.200000762939453
2022-06-29,23.1299991607666
2022-06-30,23.059999465942383
2022-07-01,23.209999084472656
2022-07-05,22.989999771118164
2022-07-06,22.959999084472656
2022-07-07,23.170000076293945
2022-07-08,23.139999389648438
2022-07-11,23.059999465942383
2022-07-12,22.979999542236328
2022-07-13,22.90999984741211
2022-07-14,22.709999084472656
2022-07-15,22.959999084472656
2022-07-18,22.93000030517578
2022-07-19,23.239999771118164
2022-07-20,23.190000534057617
2022-07-21,23.25
2022-07-22,23.270000457763672
2022-07-25,23.3799991607666
2022-07-26,23.31999969482422
2022-07-27,23.5
2022-07-28,23.670000076293945
2022-07-29,23.790000915527344
2022-08-01,23.799999237060547
2022-08-02,23.649999618530273
2022-08-03,23.760000228881836
2022-08-04,23.739999771118164
2022-08-05,23.739999771118164
2022-08-08,23.799999237060547
2022-08-09,23.799999237060547
2022-08-10,24.030000686645508
2022-08-11,24.049999237060547
2022-08-12,24.239999771118164
2022-08-15,24.260000228881836
2022-08-16,24.329999923706055
2022-08-17,24.200000762939453
2022-08-18,24.219999313354492
2022-08-19,24.09000015258789
2022-08-22,23.829999923706055
2022-08-23,23.809999465942383
2022-08-24,23.84000015258789
2022-08-25,24.020000457763672
2022-08-26,23.670000076293945
2022-08-29,23.579999923706055
2022-08-30,23.360000610351562
2022-08-31,23.229999542236328
2022-09-01,23.200000762939453
2022-09-02,23.139999389648438
2022-09-06,23.049999237060547
2022-09-07,23.25
2022-09-08,23.34000015258789
2022-09-09,23.559999465942383
2022-09-12,23.549999237060547
2022-09-13,22.989999771118164
2022-09-14,23.030000686645508
2022-09-15,22.8799991607666
2022-09-16,22.809999465942383
2022-09-19,22.8799991607666
2022-09-20,22.670000076293945
2022-09-21,22.5
2022-09-22,22.360000610351562
2022-09-23,21.950000762939453
2022-09-26,21.65999984741211
2022-09-27,21.549999237060547
2022-09-28,21.860000610351562
2022-09-29,21.600000381469727
2022-09-30,21.450000762939453
2022-10-03,21.850000381469727
2022-10-04,22.309999465942383
2022-10-05,22.219999313354492
2022-10-06,21.969999313354492
2022-10-07,21.700000762939453
2022-10-10,21.6299991607666
2022-10-11,21.549999237060547
2022-10-12,21.5
2022-10-13,21.799999237060547
2022-10-14,21.510000228881836
2022-10-17,21.809999465942383
2022-10-18,21.989999771118164
2022-10-19,21.829999923706055
2022-10-20,21.709999084472656
2022-10-21,21.979999542236328
2022-10-24,22.09000015258789
2022-10-25,22.329999923706055
2022-10-26,22.459999084472656
2022-10-27,22.5
2022-10-28,22.809999465942383
2022-10-31,22.719999313354492
2022-11-01,22.809999465942383
2022-11-02,22.559999465942383
2022-11-03,22.479999542236328
2022-11-04,22.760000228881836
2022-11-07,22.850000381469727
2022-11-08,22.959999084472656
2022-11-09,22.709999084472656
2022-11-10,23.389999389648438
2022-11-11,23.440000534057617
2022-11-14,23.350000381469727
2022-11-15,23.489999771118164
2022-11-16,23.440000534057617
2022-11-17,23.40999984741211
2022-11-18,23.510000228881836
2022-11-21,23.540000915527344
2022-11-22,23.770000457763672
2022-11-23,23.850000381469727
