Date,FMACX
2022-02-28,39.65999984741211
2022-03-01,39.040000915527344
2022-03-02,39.619998931884766
2022-03-03,39.0
2022-03-04,38.36000061035156
2022-03-07,36.810001373291016
2022-03-08,36.63999938964844
2022-03-09,37.97999954223633
2022-03-10,37.7599983215332
2022-03-11,37.0099983215332
2022-03-14,36.5
2022-03-15,37.41999816894531
2022-03-16,38.790000915527344
2022-03-17,39.41999816894531
2022-03-18,40.15999984741211
2022-03-21,39.77000045776367
2022-03-22,40.380001068115234
2022-03-23,39.58000183105469
2022-03-24,40.119998931884766
2022-03-25,39.95000076293945
2022-03-28,40.369998931884766
2022-03-29,41.22999954223633
2022-03-30,40.720001220703125
2022-03-31,40.06999969482422
2022-04-01,40.25
2022-04-04,40.72999954223633
2022-04-05,40.029998779296875
2022-04-06,39.310001373291016
2022-04-07,39.45000076293945
2022-04-08,39.209999084472656
2022-04-11,38.56999969482422
2022-04-12,38.33000183105469
2022-04-13,39.040000915527344
2022-04-14,38.439998626708984
2022-04-18,38.22999954223633
2022-04-19,39.099998474121094
2022-04-20,38.540000915527344
2022-04-21,37.68000030517578
2022-04-22,36.68000030517578
2022-04-25,37.0099983215332
2022-04-26,35.79999923706055
2022-04-27,35.83000183105469
2022-04-28,36.88999938964844
2022-04-29,35.56999969482422
2022-05-02,35.95000076293945
2022-05-03,35.900001525878906
2022-05-04,36.880001068115234
2022-05-05,35.34000015258789
2022-05-06,34.779998779296875
2022-05-09,33.25
2022-05-10,33.459999084472656
2022-05-11,32.779998779296875
2022-05-12,33.0
2022-05-13,34.15999984741211
2022-05-16,33.7400016784668
2022-05-17,34.5099983215332
2022-05-18,33.11000061035156
2022-05-19,33.2400016784668
2022-05-20,33.279998779296875
2022-05-23,33.619998931884766
2022-05-24,33.0
2022-05-25,33.439998626708984
2022-05-26,34.31999969482422
2022-05-27,35.310001373291016
2022-05-31,35.029998779296875
2022-06-01,34.61000061035156
2022-06-02,35.54999923706055
2022-06-03,34.880001068115234
2022-06-06,35.060001373291016
2022-06-07,35.380001068115234
2022-06-08,35.09000015258789
2022-06-09,34.22999954223633
2022-06-10,33.150001525878906
2022-06-13,31.65999984741211
2022-06-14,31.549999237060547
2022-06-15,29.920000076293945
2022-06-16,28.790000915527344
2022-06-17,29.09000015258789
2022-06-21,29.690000534057617
2022-06-22,29.719999313354492
2022-06-23,30.25
2022-06-24,31.209999084472656
2022-06-27,31.040000915527344
2022-06-28,30.329999923706055
2022-06-29,30.299999237060547
2022-06-30,29.979999542236328
2022-07-01,30.280000686645508
2022-07-05,30.6200008392334
2022-07-06,30.670000076293945
2022-07-07,31.209999084472656
2022-07-08,31.15999984741211
2022-07-11,30.65999984741211
2022-07-12,30.280000686645508
2022-07-13,30.1200008392334
2022-07-14,30.0
2022-07-15,30.639999389648438
2022-07-18,30.440000534057617
2022-07-19,31.34000015258789
2022-07-20,31.719999313354492
2022-07-21,32.18000030517578
2022-07-22,31.649999618530273
2022-07-25,31.610000610351562
2022-07-26,31.110000610351562
2022-07-27,32.060001373291016
2022-07-28,32.529998779296875
2022-07-29,32.88999938964844
2022-08-01,32.880001068115234
2022-08-02,32.77000045776367
2022-08-03,33.38999938964844
2022-08-04,33.560001373291016
2022-08-05,33.52000045776367
2022-08-08,33.56999969482422
2022-08-09,33.16999816894531
2022-08-10,34.06999969482422
2022-08-11,33.95000076293945
2022-08-12,34.5099983215332
2022-08-15,34.59000015258789
2022-08-16,34.560001373291016
2022-08-17,34.119998931884766
2022-08-18,34.150001525878906
2022-08-19,33.54999923706055
2022-08-22,32.77000045776367
2022-08-23,32.68000030517578
2022-08-24,32.849998474121094
2022-08-25,33.38999938964844
2022-08-26,32.18000030517578
2022-08-29,31.90999984741211
2022-08-30,31.649999618530273
2022-08-31,31.469999313354492
2022-09-01,31.469999313354492
2022-09-02,31.15999984741211
2022-09-06,31.030000686645508
2022-09-07,31.670000076293945
2022-09-08,31.979999542236328
2022-09-09,32.58000183105469
2022-09-12,32.900001525878906
2022-09-13,31.440000534057617
2022-09-14,31.600000381469727
2022-09-15,31.329999923706055
2022-09-16,30.989999771118164
2022-09-19,31.110000610351562
2022-09-20,30.709999084472656
2022-09-21,30.170000076293945
2022-09-22,29.690000534057617
2022-09-23,29.290000915527344
2022-09-26,29.020000457763672
2022-09-27,29.040000915527344
2022-09-28,29.700000762939453
2022-09-29,29.110000610351562
2022-09-30,28.780000686645508
2022-10-03,29.459999084472656
2022-10-04,30.489999771118164
2022-10-05,30.479999542236328
2022-10-06,30.290000915527344
2022-10-07,29.329999923706055
2022-10-10,28.969999313354492
2022-10-11,28.65999984741211
2022-10-12,28.610000610351562
2022-10-13,29.059999465942383
2022-10-14,28.290000915527344
2022-10-17,29.170000076293945
2022-10-18,29.459999084472656
2022-10-19,29.1299991607666
2022-10-20,28.93000030517578
2022-10-21,29.510000228881836
2022-10-24,29.739999771118164
2022-10-25,30.3799991607666
2022-10-26,30.06999969482422
2022-10-27,29.850000381469727
2022-10-28,30.3799991607666
2022-10-31,30.209999084472656
2022-11-01,30.059999465942383
2022-11-02,29.170000076293945
2022-11-03,28.850000381469727
2022-11-04,29.260000228881836
2022-11-07,29.469999313354492
2022-11-08,29.690000534057617
2022-11-09,29.110000610351562
2022-11-10,31.030000686645508
2022-11-11,31.479999542236328
2022-11-14,31.15999984741211
2022-11-15,31.639999389648438
2022-11-16,31.190000534057617
2022-11-17,30.899999618530273
2022-11-18,30.989999771118164
2022-11-21,30.719999313354492
2022-11-22,31.06999969482422
2022-11-23,31.350000381469727
