Date,FFFMX
2022-02-28,51.41999816894531
2022-03-01,50.88999938964844
2022-03-02,51.7599983215332
2022-03-03,51.84000015258789
2022-03-04,51.93000030517578
2022-03-07,51.06999969482422
2022-03-08,50.41999816894531
2022-03-09,51.150001525878906
2022-03-10,51.060001373291016
2022-03-11,50.650001525878906
2022-03-14,50.66999816894531
2022-03-15,51.369998931884766
2022-03-16,51.630001068115234
2022-03-17,52.2400016784668
2022-03-18,52.400001525878906
2022-03-21,52.56999969482422
2022-03-22,52.779998779296875
2022-03-23,52.34000015258789
2022-03-24,52.84000015258789
2022-03-25,53.22999954223633
2022-03-28,53.310001373291016
2022-03-29,53.68000030517578
2022-03-30,53.61000061035156
2022-03-31,52.93000030517578
2022-04-01,53.150001525878906
2022-04-04,53.189998626708984
2022-04-05,52.959999084472656
2022-04-06,53.08000183105469
2022-04-07,53.380001068115234
2022-04-08,53.58000183105469
2022-04-11,52.970001220703125
2022-04-12,52.81999969482422
2022-04-13,53.08000183105469
2022-04-14,52.81999969482422
2022-04-18,52.70000076293945
2022-04-19,53.16999816894531
2022-04-20,53.630001068115234
2022-04-21,53.06999969482422
2022-04-22,51.869998931884766
2022-04-25,51.959999084472656
2022-04-26,51.06999969482422
2022-04-27,51.33000183105469
2022-04-28,52.029998779296875
2022-04-29,50.540000915527344
2022-05-02,50.5099983215332
2022-05-03,50.81999969482422
2022-05-04,52.02000045776367
2022-05-05,50.869998931884766
2022-05-06,50.900001525878906
2022-05-09,49.81999969482422
2022-05-10,49.720001220703125
2022-05-11,49.400001525878906
2022-05-12,49.459999084472656
2022-05-13,50.150001525878906
2022-05-16,50.310001373291016
2022-05-17,51.0099983215332
2022-05-18,49.54999923706055
2022-05-19,49.27000045776367
2022-05-20,49.43000030517578
2022-05-23,50.130001068115234
2022-05-24,50.349998474121094
2022-05-25,50.599998474121094
2022-05-26,51.11000061035156
2022-05-27,51.880001068115234
2022-05-31,51.529998779296875
2022-06-01,51.220001220703125
