Date,VTSMX
2022-02-28,107.61000061035156
2022-03-01,105.91999816894531
2022-03-02,107.93000030517578
2022-03-03,107.12000274658203
2022-03-04,106.05999755859375
2022-03-07,102.80999755859375
2022-03-08,102.25
2022-03-09,105.0199966430664
2022-03-10,104.56999969482422
2022-03-11,103.0999984741211
2022-03-14,102.12000274658203
2022-03-15,104.23999786376953
2022-03-16,106.80999755859375
2022-03-17,108.26000213623047
2022-03-18,109.62000274658203
2022-03-21,109.43000030517578
2022-03-22,110.43000030517578
2022-03-23,109.0199966430664
2022-03-24,110.55999755859375
2022-03-25,110.97000122070312
2022-03-28,111.73999786376953
2022-03-29,113.38999938964844
2022-03-30,112.48999786376953
2022-03-31,110.77999877929688
2022-04-01,111.26000213623047
2022-04-04,112.1500015258789
2022-04-05,110.55000305175781
2022-04-06,109.31999969482422
2022-04-07,109.68000030517578
2022-04-08,109.31999969482422
2022-04-11,107.6500015258789
2022-04-12,107.33999633789062
2022-04-13,108.73999786376953
2022-04-14,107.41000366210938
2022-04-18,107.20999908447266
2022-04-19,109.08000183105469
2022-04-20,108.97000122070312
2022-04-21,107.16000366210938
2022-04-22,104.23999786376953
2022-04-25,104.91999816894531
2022-04-26,101.87000274658203
2022-04-27,102.01000213623047
2022-04-28,104.4800033569336
2022-04-29,100.77999877929688
2022-05-02,101.44000244140625
2022-05-03,101.91000366210938
2022-05-04,104.88999938964844
2022-05-05,101.01000213623047
2022-05-06,100.19000244140625
2022-05-09,96.69000244140625
2022-05-10,96.8499984741211
2022-05-11,95.11000061035156
2022-05-12,95.25
2022-05-13,97.79000091552734
2022-05-16,97.27999877929688
2022-05-17,99.37000274658203
2022-05-18,95.41000366210938
2022-05-19,95.05000305175781
2022-05-20,95.04000091552734
2022-05-23,96.69000244140625
2022-05-24,95.66000366210938
2022-05-25,96.75
2022-05-26,98.75
2022-05-27,101.2699966430664
2022-05-31,100.51000213623047
2022-06-01,99.76000213623047
2022-06-02,101.79000091552734
2022-06-03,100.18000030517578
2022-06-06,100.5
2022-06-07,101.54000091552734
2022-06-08,100.43000030517578
2022-06-09,98.01000213623047
2022-06-10,95.11000061035156
2022-06-13,91.22000122070312
2022-06-14,90.9000015258789
2022-06-15,92.27999877929688
2022-06-16,89.05999755859375
2022-06-17,89.44000244140625
2022-06-21,91.52999877929688
2022-06-22,91.08999633789062
2022-06-23,92.08999633789062
2022-06-24,94.95999908447266
2022-06-27,94.69999694824219
2022-06-28,92.79000091552734
2022-06-29,92.5999984741211
2022-06-30,91.75
2022-07-01,92.79000091552734
2022-07-05,93.0999984741211
2022-07-06,93.2699966430664
2022-07-07,94.81999969482422
2022-07-08,94.7300033569336
2022-07-11,93.5199966430664
2022-07-12,92.70999908447266
2022-07-13,92.33000183105469
2022-07-14,91.91999816894531
2022-07-15,93.72000122070312
2022-07-18,93.02999877929688
2022-07-19,95.66000366210938
2022-07-20,96.41999816894531
2022-07-21,97.3499984741211
2022-07-22,96.30999755859375
2022-07-25,96.44000244140625
2022-07-26,95.29000091552734
2022-07-27,97.77999877929688
2022-07-28,99.0199966430664
2022-07-29,100.37000274658203
2022-08-01,100.12999725341797
2022-08-02,99.58999633789062
2022-08-03,101.19000244140625
2022-08-04,101.12000274658203
2022-08-05,101.0999984741211
2022-08-08,101.12999725341797
2022-08-09,100.5199966430664
2022-08-10,102.83999633789062
2022-08-11,102.80000305175781
2022-08-12,104.61000061035156
2022-08-15,105.01000213623047
2022-08-16,105.19000244140625
2022-08-17,104.2699966430664
2022-08-18,104.55000305175781
2022-08-19,103.05000305175781
2022-08-22,100.8499984741211
2022-08-23,100.68000030517578
2022-08-24,101.05999755859375
2022-08-25,102.55000305175781
2022-08-26,99.12000274658203
2022-08-29,98.41999816894531
2022-08-30,97.31999969482422
2022-08-31,96.61000061035156
2022-09-01,96.69000244140625
2022-09-02,95.72000122070312
2022-09-06,95.29000091552734
2022-09-07,97.11000061035156
2022-09-08,97.8499984741211
2022-09-09,99.44999694824219
2022-09-12,100.5199966430664
2022-09-13,96.2300033569336
2022-09-14,96.58999633789062
2022-09-15,95.56999969482422
2022-09-16,94.70999908447266
2022-09-19,95.37999725341797
2022-09-20,94.2300033569336
2022-09-21,92.6500015258789
2022-09-22,91.27999877929688
2022-09-23,89.63999938964844
2022-09-26,88.63999938964844
2022-09-27,88.54000091552734
2022-09-28,90.43000030517578
2022-09-29,88.51000213623047
2022-09-30,87.30000305175781
2022-10-03,89.55000305175781
2022-10-04,92.47000122070312
2022-10-05,92.23999786376953
2022-10-06,91.37999725341797
2022-10-07,88.77999877929688
2022-10-10,88.06999969482422
2022-10-11,87.52999877929688
2022-10-12,87.26000213623047
2022-10-13,89.41999816894531
2022-10-14,87.25
2022-10-17,89.6500015258789
2022-10-18,90.72000122070312
2022-10-19,89.94000244140625
2022-10-20,89.20999908447266
2022-10-21,91.26000213623047
2022-10-24,92.22000122070312
2022-10-25,93.9000015258789
2022-10-26,93.31999969482422
2022-10-27,92.8499984741211
2022-10-28,95.05999755859375
2022-10-31,94.41999816894531
2022-11-01,94.13999938964844
2022-11-02,91.66000366210938
2022-11-03,90.7699966430664
2022-11-04,91.91000366210938
2022-11-07,92.75
2022-11-08,93.2300033569336
2022-11-09,91.2300033569336
2022-11-10,96.45999908447266
2022-11-11,97.41000366210938
2022-11-14,96.4800033569336
2022-11-15,97.44999694824219
2022-11-16,96.48999786376953
2022-11-17,96.0999984741211
2022-11-18,96.55000305175781
2022-11-21,96.12999725341797
2022-11-22,97.41999816894531
2022-11-23,98.0
