Date,SFCWX
2022-02-28,70.12999725341797
2022-03-01,68.94000244140625
2022-03-02,69.94000244140625
2022-03-03,68.36000061035156
2022-03-04,66.51000213623047
2022-03-07,64.08999633789062
2022-03-08,64.19000244140625
2022-03-09,66.68000030517578
2022-03-10,66.0999984741211
2022-03-11,65.05999755859375
2022-03-14,63.939998626708984
2022-03-15,64.6500015258789
2022-03-16,67.38999938964844
2022-03-17,68.51000213623047
2022-03-18,69.70999908447266
2022-03-21,68.83999633789062
2022-03-22,69.48999786376953
2022-03-23,68.5199966430664
2022-03-24,68.97000122070312
2022-03-25,68.51000213623047
2022-03-28,68.55000305175781
2022-03-29,70.66999816894531
2022-03-30,70.0199966430664
2022-03-31,69.05999755859375
2022-04-01,69.69999694824219
2022-04-04,70.47000122070312
2022-04-05,69.41999816894531
2022-04-06,68.08000183105469
2022-04-07,67.87999725341797
2022-04-08,67.43000030517578
2022-04-11,66.5999984741211
2022-04-12,66.44000244140625
2022-04-13,67.52999877929688
2022-04-14,66.91000366210938
2022-04-18,66.30000305175781
2022-04-19,67.2699966430664
2022-04-20,67.26000213623047
2022-04-21,66.01000213623047
2022-04-22,64.5199966430664
2022-04-25,64.83000183105469
2022-04-26,62.70000076293945
2022-04-27,62.599998474121094
2022-04-28,63.540000915527344
2022-04-29,62.400001525878906
2022-05-02,62.709999084472656
2022-05-03,62.79999923706055
2022-05-04,64.04000091552734
2022-05-05,61.5
2022-05-06,60.16999816894531
2022-05-09,57.720001220703125
2022-05-10,57.810001373291016
2022-05-11,56.9900016784668
2022-05-12,57.349998474121094
2022-05-13,59.529998779296875
2022-05-16,59.06999969482422
2022-05-17,60.369998931884766
2022-05-18,58.47999954223633
2022-05-19,59.02000045776367
2022-05-20,59.279998779296875
2022-05-23,59.93000030517578
2022-05-24,58.849998474121094
2022-05-25,59.2599983215332
2022-05-26,60.36000061035156
2022-05-27,61.68000030517578
2022-05-31,61.470001220703125
2022-06-01,60.75
2022-06-02,62.25
2022-06-03,61.41999816894531
2022-06-06,61.68000030517578
2022-06-07,61.95000076293945
2022-06-08,61.400001525878906
2022-06-09,60.029998779296875
2022-06-10,58.439998626708984
2022-06-13,55.83000183105469
2022-06-14,55.459999084472656
2022-06-15,56.31999969482422
2022-06-16,54.189998626708984
2022-06-17,54.7400016784668
2022-06-21,55.5099983215332
2022-06-22,55.16999816894531
2022-06-23,55.84000015258789
2022-06-24,57.5
2022-06-27,57.54999923706055
2022-06-28,56.68000030517578
2022-06-29,56.2400016784668
2022-06-30,55.7400016784668
2022-07-01,56.130001068115234
2022-07-05,56.27000045776367
2022-07-06,56.13999938964844
2022-07-07,57.310001373291016
2022-07-08,57.369998931884766
2022-07-11,56.22999954223633
2022-07-12,55.84000015258789
2022-07-13,55.689998626708984
2022-07-14,55.209999084472656
2022-07-15,56.040000915527344
2022-07-18,56.25
2022-07-19,57.58000183105469
2022-07-20,58.220001220703125
2022-07-21,58.900001525878906
2022-07-22,58.380001068115234
2022-07-25,58.43000030517578
2022-07-26,57.619998931884766
2022-07-27,58.93000030517578
2022-07-28,59.66999816894531
2022-07-29,60.279998779296875
2022-08-01,60.369998931884766
2022-08-02,59.970001220703125
2022-08-03,60.779998779296875
2022-08-04,61.060001373291016
2022-08-05,61.119998931884766
2022-08-08,61.529998779296875
2022-08-09,60.58000183105469
2022-08-10,62.25
2022-08-11,62.33000183105469
2022-08-12,63.099998474121094
2022-08-15,63.02000045776367
2022-08-16,62.91999816894531
2022-08-17,62.119998931884766
2022-08-18,62.279998779296875
2022-08-19,60.9900016784668
2022-08-22,59.77000045776367
2022-08-23,59.900001525878906
2022-08-24,60.290000915527344
2022-08-25,61.16999816894531
2022-08-26,59.400001525878906
2022-08-29,59.0099983215332
2022-08-30,58.59000015258789
2022-08-31,58.400001525878906
2022-09-01,57.599998474121094
2022-09-02,57.349998474121094
2022-09-06,57.0099983215332
2022-09-07,57.93000030517578
2022-09-08,58.380001068115234
2022-09-09,59.540000915527344
2022-09-12,60.25
2022-09-13,58.130001068115234
2022-09-14,58.310001373291016
2022-09-15,57.900001525878906
2022-09-16,57.099998474121094
2022-09-19,57.33000183105469
2022-09-20,56.66999816894531
2022-09-21,55.86000061035156
2022-09-22,54.86000061035156
2022-09-23,53.68000030517578
2022-09-26,53.029998779296875
2022-09-27,53.16999816894531
2022-09-28,54.29999923706055
2022-09-29,53.27000045776367
2022-09-30,53.22999954223633
2022-10-03,54.43000030517578
2022-10-04,56.43000030517578
2022-10-05,56.099998474121094
2022-10-06,55.7599983215332
2022-10-07,54.380001068115234
2022-10-10,53.869998931884766
2022-10-11,53.45000076293945
2022-10-12,53.290000915527344
2022-10-13,54.0099983215332
2022-10-14,52.83000183105469
2022-10-17,54.209999084472656
2022-10-18,54.939998626708984
2022-10-19,53.88999938964844
2022-10-20,53.47999954223633
2022-10-21,54.310001373291016
2022-10-24,54.36000061035156
2022-10-25,55.630001068115234
2022-10-26,56.04999923706055
2022-10-27,55.7599983215332
2022-10-28,56.4900016784668
2022-10-31,56.22999954223633
2022-11-01,56.560001373291016
2022-11-02,55.459999084472656
2022-11-03,55.06999969482422
2022-11-04,56.040000915527344
2022-11-07,56.470001220703125
2022-11-08,56.88999938964844
2022-11-09,55.630001068115234
2022-11-10,58.619998931884766
2022-11-11,59.7599983215332
2022-11-14,59.119998931884766
2022-11-15,59.77000045776367
2022-11-16,58.86000061035156
2022-11-17,58.349998474121094
2022-11-18,58.43000030517578
2022-11-21,57.9900016784668
2022-11-22,58.5099983215332
