Date,CNPCX
2022-02-28,54.4900016784668
2022-03-01,53.439998626708984
2022-03-02,54.18000030517578
2022-03-03,53.29999923706055
2022-03-04,52.220001220703125
2022-03-07,50.41999816894531
2022-03-08,50.439998626708984
2022-03-09,52.41999816894531
2022-03-10,51.93000030517578
2022-03-11,51.02000045776367
2022-03-14,50.59000015258789
2022-03-15,51.45000076293945
2022-03-16,53.36000061035156
2022-03-17,54.2400016784668
2022-03-18,55.13999938964844
2022-03-21,54.810001373291016
2022-03-22,55.720001220703125
2022-03-23,54.95000076293945
2022-03-24,55.630001068115234
2022-03-25,55.5099983215332
2022-03-28,56.15999984741211
2022-03-29,57.22999954223633
2022-03-30,56.900001525878906
2022-03-31,55.9900016784668
2022-04-01,56.349998474121094
2022-04-04,57.099998474121094
2022-04-05,56.08000183105469
2022-04-06,55.06999969482422
2022-04-07,55.27000045776367
2022-04-08,54.86000061035156
2022-04-11,53.83000183105469
2022-04-12,53.5099983215332
2022-04-13,54.38999938964844
2022-04-14,53.65999984741211
2022-04-18,53.5
2022-04-19,54.209999084472656
2022-04-20,53.880001068115234
2022-04-21,53.150001525878906
2022-04-22,51.9900016784668
2022-04-25,52.0099983215332
2022-04-26,50.09000015258789
2022-04-27,50.25
2022-04-28,51.2599983215332
2022-04-29,50.15999984741211
2022-05-02,50.4900016784668
2022-05-03,50.61000061035156
2022-05-04,51.790000915527344
2022-05-05,49.72999954223633
2022-05-06,48.970001220703125
2022-05-09,46.88999938964844
2022-05-10,47.25
2022-05-11,46.470001220703125
2022-05-12,46.529998779296875
2022-05-13,47.970001220703125
2022-05-16,47.63999938964844
2022-05-17,48.79999923706055
2022-05-18,47.06999969482422
2022-05-19,47.220001220703125
2022-05-20,47.2599983215332
2022-05-23,47.900001525878906
2022-05-24,47.13999938964844
2022-05-25,47.540000915527344
2022-05-26,48.540000915527344
2022-05-27,49.83000183105469
2022-05-31,49.720001220703125
2022-06-01,49.11000061035156
2022-06-02,50.290000915527344
2022-06-03,49.29999923706055
2022-06-06,49.5099983215332
2022-06-07,49.810001373291016
2022-06-08,49.41999816894531
2022-06-09,48.22999954223633
2022-06-10,46.869998931884766
2022-06-13,44.95000076293945
