Date,DOXGX
2022-05-02,229.4199981689453
2022-05-03,231.3300018310547
2022-05-04,237.6999969482422
2022-05-05,231.7100067138672
2022-05-06,230.42999267578125
2022-05-09,223.58999633789062
2022-05-10,224.5399932861328
2022-05-11,221.57000732421875
2022-05-12,221.91000366210938
2022-05-13,226.36000061035156
2022-05-16,227.00999450683594
2022-05-17,232.25999450683594
2022-05-18,224.10000610351562
2022-05-19,222.66000366210938
2022-05-20,223.3699951171875
2022-05-23,228.9600067138672
2022-05-24,227.41000366210938
2022-05-25,229.97999572753906
2022-05-26,234.55999755859375
2022-05-27,238.9199981689453
2022-05-31,237.13999938964844
2022-06-01,235.72999572753906
2022-06-02,237.80999755859375
2022-06-03,235.3300018310547
2022-06-06,235.5399932861328
2022-06-07,237.85000610351562
2022-06-08,234.82000732421875
2022-06-09,228.83999633789062
2022-06-10,222.6300048828125
2022-06-13,214.36000061035156
2022-06-14,214.38999938964844
2022-06-15,216.50999450683594
2022-06-16,209.7100067138672
2022-06-17,210.75
2022-06-21,214.75999450683594
2022-06-22,213.8800048828125
2022-06-23,213.8699951171875
2022-06-24,221.5500030517578
2022-06-27,220.05999755859375
2022-06-28,218.19000244140625
2022-06-29,216.63999938964844
2022-06-30,214.14999389648438
2022-07-01,216.27000427246094
2022-07-05,215.19000244140625
2022-07-06,214.6300048828125
2022-07-07,217.7100067138672
2022-07-08,217.52999877929688
2022-07-11,215.0800018310547
2022-07-12,213.94000244140625
2022-07-13,212.0
2022-07-14,209.55999755859375
2022-07-15,215.11000061035156
2022-07-18,214.1699981689453
2022-07-19,221.24000549316406
2022-07-20,221.27999877929688
2022-07-21,222.02000427246094
2022-07-22,219.97000122070312
2022-07-25,221.42999267578125
2022-07-26,218.83999633789062
2022-07-27,223.3699951171875
2022-07-28,223.57000732421875
2022-07-29,225.25999450683594
2022-08-01,224.57000732421875
2022-08-02,222.63999938964844
2022-08-03,225.67999267578125
2022-08-04,224.58999633789062
2022-08-05,225.4499969482422
2022-08-08,225.6999969482422
2022-08-09,225.4499969482422
2022-08-10,229.52000427246094
2022-08-11,231.14999389648438
2022-08-12,234.64999389648438
2022-08-15,234.42999267578125
2022-08-16,235.19000244140625
2022-08-17,232.25
2022-08-18,233.42999267578125
2022-08-19,231.74000549316406
2022-08-22,231.74000549316406
2022-08-23,227.27999877929688
2022-08-24,228.02000427246094
2022-08-25,230.94000244140625
2022-08-26,224.17999267578125
2022-08-29,223.4499969482422
2022-08-30,221.49000549316406
2022-08-31,219.69000244140625
2022-09-01,219.57000732421875
2022-09-02,217.69000244140625
2022-09-06,215.80999755859375
2022-09-07,218.92999267578125
2022-09-08,220.72000122070312
2022-09-09,224.3699951171875
2022-09-12,226.8300018310547
2022-09-13,218.08999633789062
2022-09-14,218.7100067138672
2022-09-15,217.88999938964844
2022-09-16,214.85000610351562
2022-09-19,216.00999450683594
2022-09-20,212.91000366210938
2022-09-21,208.86000061035156
2022-09-22,206.60000610351562
2022-09-23,201.9499969482422
2022-09-26,198.74000549316406
2022-09-27,197.94000244140625
2022-09-28,203.1300048828125
2022-09-29,200.36000061035156
2022-09-30,198.05999755859375
2022-10-03,204.02000427246094
2022-10-04,211.2899932861328
2022-10-05,211.0500030517578
2022-10-06,209.39999389648438
2022-10-07,205.0
2022-10-10,202.85000610351562
2022-10-11,200.97000122070312
2022-10-12,200.36000061035156
2022-10-13,206.5800018310547
2022-10-14,202.86000061035156
2022-10-17,206.60000610351562
2022-10-18,208.5
2022-10-19,206.92999267578125
2022-10-20,206.14999389648438
2022-10-21,211.41000366210938
2022-10-24,213.5
2022-10-25,216.9499969482422
2022-10-26,216.99000549316406
2022-10-27,216.49000549316406
2022-10-28,221.85000610351562
2022-10-31,220.72000122070312
2022-11-01,221.6699981689453
2022-11-02,217.4499969482422
2022-11-03,215.13999938964844
2022-11-04,219.0399932861328
2022-11-07,221.55999755859375
2022-11-08,222.27000427246094
2022-11-09,217.49000549316406
2022-11-10,226.85000610351562
2022-11-11,229.13999938964844
2022-11-14,226.97999572753906
2022-11-15,228.24000549316406
2022-11-16,225.77000427246094
2022-11-17,225.4600067138672
2022-11-18,227.22000122070312
2022-11-21,226.61000061035156
2022-11-22,230.3000030517578
2022-11-23,230.97999572753906
2022-11-25,231.52999877929688
2022-11-28,228.11000061035156
2022-11-29,229.1199951171875
2022-11-30,234.63999938964844
2022-12-01,234.02999877929688
2022-12-02,234.1999969482422
2022-12-05,230.11000061035156
2022-12-06,227.5399932861328
2022-12-07,227.05999755859375
2022-12-08,227.39999389648438
2022-12-09,225.8699951171875
2022-12-12,228.92999267578125
2022-12-13,230.1199951171875
2022-12-14,228.13999938964844
2022-12-15,222.88999938964844
2022-12-16,221.11000061035156
2022-12-19,211.83999633789062
2022-12-20,212.38999938964844
2022-12-21,215.22999572753906
2022-12-22,213.36000061035156
2022-12-23,215.0500030517578
2022-12-27,214.82000732421875
2022-12-28,212.44000244140625
2022-12-29,215.69000244140625
2022-12-30,215.72999572753906
2023-01-03,215.6699981689453
2023-01-04,218.00999450683594
2023-01-05,216.4499969482422
2023-01-06,220.89999389648438
2023-01-09,220.35000610351562
2023-01-10,221.75999450683594
2023-01-11,223.35000610351562
2023-01-12,224.6999969482422
2023-01-13,225.58999633789062
2023-01-17,224.99000549316406
2023-01-18,221.8000030517578
2023-01-19,220.3699951171875
2023-01-20,223.8699951171875
2023-01-23,226.22000122070312
2023-01-24,225.74000549316406
2023-01-25,227.44000244140625
2023-01-26,229.69000244140625
2023-01-27,229.0500030517578
2023-01-30,226.66000366210938
2023-01-31,230.02999877929688
2023-02-01,231.05999755859375
2023-02-02,232.64999389648438
2023-02-03,230.9199981689453
2023-02-06,229.75999450683594
2023-02-07,232.92999267578125
2023-02-08,230.97000122070312
2023-02-09,229.24000549316406
2023-02-10,230.05999755859375
2023-02-13,231.74000549316406
2023-02-14,231.91000366210938
2023-02-15,231.8699951171875
2023-02-16,229.80999755859375
2023-02-17,229.44000244140625
2023-02-21,225.10000610351562
