Date,VVIAX
2022-02-28,56.130001068115234
2022-03-01,55.27000045776367
2022-03-02,56.41999816894531
2022-03-03,56.560001373291016
2022-03-04,56.54999923706055
2022-03-07,55.400001525878906
2022-03-08,54.869998931884766
2022-03-09,55.689998626708984
2022-03-10,55.65999984741211
2022-03-11,55.27000045776367
2022-03-14,55.349998474121094
2022-03-15,55.97999954223633
2022-03-16,56.63999938964844
2022-03-17,57.36000061035156
2022-03-18,57.5
2022-03-21,57.70000076293945
2022-03-22,57.68000030517578
2022-03-23,57.150001525878906
2022-03-24,57.709999084472656
2022-03-25,58.290000915527344
2022-03-28,58.220001220703125
2022-03-29,58.56999969482422
2022-03-30,58.5099983215332
2022-03-31,57.63999938964844
2022-04-01,57.869998931884766
2022-04-04,57.72999954223633
2022-04-05,57.400001525878906
2022-04-06,57.630001068115234
2022-04-07,57.939998626708984
2022-04-08,58.31999969482422
2022-04-11,57.79999923706055
2022-04-12,57.68000030517578
2022-04-13,57.970001220703125
2022-04-14,57.7599983215332
2022-04-18,57.720001220703125
2022-04-19,58.33000183105469
2022-04-20,58.81999969482422
2022-04-21,58.209999084472656
2022-04-22,56.66999816894531
2022-04-25,56.66999816894531
2022-04-26,55.689998626708984
2022-04-27,55.7599983215332
2022-04-28,56.56999969482422
2022-04-29,54.90999984741211
2022-05-02,54.90999984741211
2022-05-03,55.369998931884766
2022-05-04,56.849998474121094
2022-05-05,55.59000015258789
2022-05-06,55.58000183105469
2022-05-09,54.29999923706055
2022-05-10,54.11000061035156
2022-05-11,53.849998474121094
2022-05-12,53.91999816894531
2022-05-13,54.650001525878906
2022-05-16,54.81999969482422
2022-05-17,55.70000076293945
2022-05-18,53.83000183105469
2022-05-19,53.369998931884766
2022-05-20,53.4900016784668
2022-05-23,54.439998626708984
2022-05-24,54.630001068115234
2022-05-25,55.02000045776367
2022-05-26,55.7599983215332
2022-05-27,56.66999816894531
2022-05-31,56.189998626708984
2022-06-01,55.7599983215332
2022-06-02,56.2400016784668
2022-06-03,55.779998779296875
2022-06-06,55.88999938964844
2022-06-07,56.52000045776367
2022-06-08,55.790000915527344
2022-06-09,54.59000015258789
