Date,VWINX
2022-02-28,28.1200008392334
2022-03-01,28.059999465942383
2022-03-02,28.010000228881836
2022-03-03,28.079999923706055
2022-03-04,28.149999618530273
2022-03-07,27.84000015258789
2022-03-08,27.59000015258789
2022-03-09,27.68000030517578
2022-03-10,27.56999969482422
2022-03-11,27.489999771118164
2022-03-14,27.329999923706055
2022-03-15,27.479999542236328
2022-03-16,27.65999984741211
2022-03-17,27.850000381469727
2022-03-18,27.90999984741211
2022-03-21,27.809999465942383
2022-03-22,27.6200008392334
2022-03-23,27.6299991607666
2022-03-24,27.639999389648438
2022-03-25,27.639999389648438
2022-03-28,27.65999984741211
2022-03-29,27.81999969482422
2022-03-30,27.8700008392334
2022-03-31,27.739999771118164
2022-04-01,27.780000686645508
2022-04-04,27.760000228881836
2022-04-05,27.540000915527344
2022-04-06,27.530000686645508
2022-04-07,27.549999237060547
2022-04-08,27.510000228881836
2022-04-11,27.299999237060547
2022-04-12,27.299999237060547
2022-04-13,27.34000015258789
2022-04-14,27.18000030517578
2022-04-18,27.1200008392334
2022-04-19,27.1200008392334
2022-04-20,27.329999923706055
2022-04-21,27.149999618530273
2022-04-22,26.850000381469727
2022-04-25,26.940000534057617
2022-04-26,26.860000610351562
2022-04-27,26.790000915527344
2022-04-28,26.93000030517578
2022-04-29,26.559999465942383
2022-05-02,26.469999313354492
2022-05-03,26.59000015258789
2022-05-04,26.93000030517578
2022-05-05,26.559999465942383
2022-05-06,26.510000228881836
2022-05-09,26.350000381469727
2022-05-10,26.360000610351562
2022-05-11,26.399999618530273
2022-05-12,26.43000030517578
2022-05-13,26.479999542236328
2022-05-16,26.540000915527344
2022-05-17,26.6200008392334
2022-05-18,26.389999389648438
2022-05-19,26.299999237060547
2022-05-20,26.389999389648438
2022-05-23,26.5
2022-05-24,26.719999313354492
2022-05-25,26.860000610351562
2022-05-26,27.020000457763672
2022-05-27,27.209999084472656
2022-05-31,27.049999237060547
2022-06-01,26.93000030517578
2022-06-02,27.030000686645508
