Date,VIGIX
2022-02-28,142.7899932861328
2022-03-01,140.6300048828125
2022-03-02,142.86000061035156
2022-03-03,140.63999938964844
2022-03-04,138.27000427246094
2022-03-07,132.74000549316406
2022-03-08,132.16000366210938
2022-03-09,137.1999969482422
2022-03-10,136.00999450683594
2022-03-11,133.25
2022-03-14,130.8800048828125
2022-03-15,134.97000122070312
2022-03-16,139.75
2022-03-17,141.67999267578125
2022-03-18,144.8300018310547
2022-03-21,144.0800018310547
2022-03-22,146.58999633789062
2022-03-23,144.42999267578125
2022-03-24,147.16000366210938
2022-03-25,146.94000244140625
2022-03-28,149.3000030517578
2022-03-29,152.22999572753906
2022-03-30,150.44000244140625
2022-03-31,148.00999450683594
2022-04-01,148.50999450683594
2022-04-04,151.3000030517578
2022-04-05,148.2899932861328
2022-04-06,144.80999755859375
2022-04-07,145.25
2022-04-08,143.52999877929688
2022-04-11,140.16000366210938
2022-04-12,139.49000549316406
2022-04-13,142.1300048828125
2022-04-14,139.1300048828125
2022-04-18,138.89999389648438
2022-04-19,142.0399932861328
2022-04-20,140.47999572753906
2022-04-21,137.55999755859375
2022-04-22,133.6199951171875
2022-04-25,135.3000030517578
2022-04-26,129.99000549316406
2022-04-27,130.2899932861328
2022-04-28,134.83999633789062
2022-04-29,129.02999877929688
2022-05-02,130.61000061035156
2022-05-03,130.5800018310547
2022-05-04,134.8300018310547
2022-05-05,128.02000427246094
2022-05-06,126.30000305175781
2022-05-09,120.70999908447266
2022-05-10,121.75
2022-05-11,118.12999725341797
2022-05-12,117.9800033569336
2022-05-13,122.44000244140625
2022-05-16,120.80999755859375
2022-05-17,123.75
2022-05-18,117.91999816894531
2022-05-19,117.87999725341797
2022-05-20,117.66999816894531
2022-05-23,119.86000061035156
2022-05-24,117.05999755859375
2022-05-25,118.63999938964844
2022-05-26,121.87999725341797
2022-05-27,126.12999725341797
2022-05-31,125.4800033569336
2022-06-01,124.54000091552734
2022-06-02,128.39999389648438
2022-06-03,125.19999694824219
2022-06-06,125.72000122070312
2022-06-07,126.83000183105469
2022-06-08,125.83000183105469
2022-06-09,122.43000030517578
2022-06-10,117.77999877929688
2022-06-13,112.37999725341797
2022-06-14,112.41000366210938
2022-06-15,115.23999786376953
2022-06-16,110.66000366210938
2022-06-17,111.94000244140625
2022-06-21,114.70999908447266
2022-06-22,114.58000183105469
2022-06-23,116.69999694824219
2022-06-24,120.88999938964844
2022-06-27,119.80999755859375
2022-06-28,115.9800033569336
2022-06-29,116.22000122070312
2022-06-30,114.66999816894531
2022-07-01,115.87999725341797
2022-07-05,117.86000061035156
2022-07-06,118.44000244140625
2022-07-07,120.87999725341797
2022-07-08,120.86000061035156
2022-07-11,118.61000061035156
2022-07-12,117.02999877929688
2022-07-13,116.7300033569336
2022-07-14,116.88999938964844
2022-07-15,119.05999755859375
2022-07-18,118.05000305175781
2022-07-19,121.81999969482422
2022-07-20,123.72000122070312
2022-07-21,125.69000244140625
2022-07-22,123.44000244140625
2022-07-25,122.7699966430664
2022-07-26,120.27999877929688
2022-07-27,125.22000122070312
2022-07-28,127.16000366210938
2022-07-29,129.7100067138672
2022-08-01,129.50999450683594
2022-08-02,129.0399932861328
2022-08-03,132.27000427246094
2022-08-04,132.89999389648438
2022-08-05,132.25
2022-08-08,131.91000366210938
2022-08-09,130.47000122070312
2022-08-10,134.36000061035156
2022-08-11,133.52000427246094
