Date,VIIIX
2022-02-28,373.239990234375
2022-03-01,367.4800109863281
2022-03-02,374.3599853515625
2022-03-03,372.44000244140625
2022-03-04,369.510009765625
2022-03-07,358.6000061035156
2022-03-08,356.0199890136719
2022-03-09,365.2200012207031
2022-03-10,363.69000244140625
2022-03-11,358.989990234375
2022-03-14,356.4100036621094
2022-03-15,364.0400085449219
2022-03-16,372.20001220703125
2022-03-17,376.82000732421875
2022-03-18,381.2200012207031
2022-03-21,381.07000732421875
2022-03-22,382.04998779296875
2022-03-23,377.3800048828125
2022-03-24,382.82000732421875
2022-03-25,384.7699890136719
2022-03-28,387.510009765625
2022-03-29,392.260009765625
2022-03-30,389.8399963378906
2022-03-31,383.760009765625
2022-04-01,385.07000732421875
2022-04-04,388.19000244140625
2022-04-05,383.3800048828125
2022-04-06,379.6499938964844
2022-04-07,381.30999755859375
2022-04-08,380.30999755859375
2022-04-11,373.8900146484375
2022-04-12,372.6300048828125
2022-04-13,376.8599853515625
2022-04-14,372.2799987792969
2022-04-18,372.20001220703125
2022-04-19,378.19000244140625
2022-04-20,377.9599914550781
2022-04-21,372.4100036621094
2022-04-22,362.0899963378906
2022-04-25,364.1499938964844
2022-04-26,353.9100036621094
2022-04-27,354.6499938964844
2022-04-28,363.45001220703125
2022-04-29,350.2900085449219
2022-05-02,352.2799987792969
2022-05-03,353.9800109863281
2022-05-04,364.55999755859375
2022-05-05,351.6000061035156
2022-05-06,349.6600036621094
2022-05-09,338.4800109863281
2022-05-10,339.30999755859375
2022-05-11,333.739990234375
2022-05-12,333.42999267578125
2022-05-13,341.4200134277344
2022-05-16,340.0899963378906
2022-05-17,346.9700012207031
2022-05-18,333.0400085449219
2022-05-19,331.1300048828125
2022-05-20,331.17999267578125
2022-05-23,337.3699951171875
2022-05-24,334.6300048828125
2022-05-25,337.79998779296875
2022-05-26,344.5299987792969
2022-05-27,353.1099853515625
2022-05-31,350.92999267578125
2022-06-01,348.3399963378906
2022-06-02,354.82000732421875
2022-06-03,349.0400085449219
2022-06-06,350.1400146484375
2022-06-07,353.4800109863281
2022-06-08,349.67999267578125
2022-06-09,341.3900146484375
2022-06-10,331.4599914550781
2022-06-13,318.6099853515625
2022-06-14,317.5199890136719
2022-06-15,322.1600036621094
2022-06-16,311.7200012207031
2022-06-17,312.4100036621094
