Date,FIWGX
2022-02-28,10.260000228881836
2022-03-01,10.319999694824219
2022-03-02,10.210000038146973
2022-03-03,10.229999542236328
2022-03-04,10.270000457763672
2022-03-07,10.220000267028809
2022-03-08,10.170000076293945
2022-03-09,10.140000343322754
2022-03-10,10.100000381469727
2022-03-11,10.100000381469727
2022-03-14,10.0
2022-03-15,10.0
2022-03-16,10.020000457763672
2022-03-17,10.029999732971191
2022-03-18,10.0600004196167
2022-03-21,9.970000267028809
2022-03-22,9.9399995803833
2022-03-23,9.989999771118164
2022-03-24,9.960000038146973
2022-03-25,9.890000343322754
2022-03-28,9.899999618530273
2022-03-29,9.949999809265137
2022-03-30,9.979999542236328
2022-03-31,9.989999771118164
2022-04-01,9.970000267028809
2022-04-04,9.970000267028809
2022-04-05,9.890000343322754
2022-04-06,9.859999656677246
2022-04-07,9.84000015258789
2022-04-08,9.789999961853027
2022-04-11,9.739999771118164
2022-04-12,9.770000457763672
2022-04-13,9.770000457763672
2022-04-14,9.710000038146973
2022-04-18,9.6899995803833
2022-04-19,9.640000343322754
2022-04-20,9.6899995803833
2022-04-21,9.649999618530273
2022-04-22,9.619999885559082
2022-04-25,9.65999984741211
2022-04-26,9.699999809265137
2022-04-27,9.65999984741211
2022-04-28,9.649999618530273
2022-04-29,9.600000381469727
2022-05-02,9.539999961853027
2022-05-03,9.5600004196167
2022-05-04,9.600000381469727
2022-05-05,9.520000457763672
2022-05-06,9.479999542236328
2022-05-09,9.5
2022-05-10,9.520000457763672
2022-05-11,9.5600004196167
2022-05-12,9.5600004196167
2022-05-13,9.529999732971191
2022-05-16,9.539999961853027
2022-05-17,9.489999771118164
2022-05-18,9.520000457763672
2022-05-19,9.539999961853027
2022-05-20,9.569999694824219
2022-05-23,9.529999732971191
2022-05-24,9.59000015258789
2022-05-25,9.630000114440918
2022-05-26,9.640000343322754
2022-05-27,9.649999618530273
2022-05-31,9.600000381469727
2022-06-01,9.569999694824219
2022-06-02,9.579999923706055
2022-06-03,9.5600004196167
2022-06-06,9.510000228881836
2022-06-07,9.529999732971191
2022-06-08,9.5
2022-06-09,9.489999771118164
2022-06-10,9.420000076293945
2022-06-13,9.260000228881836
2022-06-14,9.199999809265137
2022-06-15,9.289999961853027
2022-06-16,9.300000190734863
2022-06-17,9.300000190734863
2022-06-21,9.270000457763672
2022-06-22,9.329999923706055
2022-06-23,9.359999656677246
2022-06-24,9.350000381469727
2022-06-27,9.3100004196167
2022-06-28,9.300000190734863
2022-06-29,9.350000381469727
2022-06-30,9.380000114440918
2022-07-01,9.4399995803833
2022-07-05,9.460000038146973
2022-07-06,9.399999618530273
2022-07-07,9.380000114440918
2022-07-08,9.350000381469727
2022-07-11,9.399999618530273
2022-07-12,9.40999984741211
2022-07-13,9.430000305175781
2022-07-14,9.390000343322754
2022-07-15,9.420000076293945
2022-07-18,9.40999984741211
2022-07-19,9.390000343322754
2022-07-20,9.399999618530273
2022-07-21,9.470000267028809
2022-07-22,9.550000190734863
2022-07-25,9.520000457763672
2022-07-26,9.510000228881836
2022-07-27,9.529999732971191
2022-07-28,9.59000015258789
2022-07-29,9.609999656677246
2022-08-01,9.649999618530273
2022-08-02,9.5600004196167
2022-08-03,9.600000381469727
2022-08-04,9.619999885559082
2022-08-05,9.529999732971191
2022-08-08,9.569999694824219
2022-08-09,9.550000190734863
2022-08-10,9.569999694824219
2022-08-11,9.520000457763672
2022-08-12,9.550000190734863
2022-08-15,9.569999694824219
2022-08-16,9.569999694824219
2022-08-17,9.510000228881836
2022-08-18,9.520000457763672
2022-08-19,9.460000038146973
2022-08-22,9.420000076293945
2022-08-23,9.399999618530273
2022-08-24,9.380000114440918
2022-08-25,9.430000305175781
2022-08-26,9.420000076293945
2022-08-29,9.380000114440918
2022-08-30,9.380000114440918
2022-08-31,9.34000015258789
2022-09-01,9.279999732971191
2022-09-02,9.3100004196167
2022-09-06,9.229999542236328
2022-09-07,9.279999732971191
2022-09-08,9.260000228881836
2022-09-09,9.260000228881836
2022-09-12,9.25
2022-09-13,9.199999809265137
2022-09-14,9.199999809265137
2022-09-15,9.180000305175781
2022-09-16,9.15999984741211
2022-09-19,9.149999618530273
2022-09-20,9.109999656677246
2022-09-21,9.140000343322754
2022-09-22,9.039999961853027
2022-09-23,9.010000228881836
2022-09-26,8.890000343322754
2022-09-27,8.850000381469727
2022-09-28,8.970000267028809
2022-09-29,8.920000076293945
2022-09-30,8.890000343322754
2022-10-03,8.960000038146973
2022-10-04,9.0
2022-10-05,8.949999809265137
2022-10-06,8.90999984741211
2022-10-07,8.869999885559082
2022-10-10,8.84000015258789
2022-10-11,8.829999923706055
2022-10-12,8.829999923706055
2022-10-13,8.789999961853027
2022-10-14,8.760000228881836
2022-10-17,8.760000228881836
2022-10-18,8.779999732971191
2022-10-19,8.710000038146973
2022-10-20,8.65999984741211
2022-10-21,8.649999618530273
2022-10-24,8.640000343322754
2022-10-25,8.729999542236328
2022-10-26,8.770000457763672
2022-10-27,8.819999694824219
2022-10-28,8.800000190734863
2022-10-31,8.770000457763672
2022-11-01,8.789999961853027
2022-11-02,8.779999732971191
2022-11-03,8.729999542236328
2022-11-04,8.729999542236328
2022-11-07,8.710000038146973
2022-11-08,8.739999771118164
2022-11-09,8.75
2022-11-10,8.920000076293945
2022-11-11,8.90999984741211
2022-11-14,8.899999618530273
2022-11-15,8.960000038146973
2022-11-16,9.020000457763672
2022-11-17,8.970000267028809
2022-11-18,8.960000038146973
2022-11-21,8.960000038146973
2022-11-22,9.0
2022-11-23,9.050000190734863
