Date,VEMAX
2022-02-28,39.400001525878906
2022-03-01,39.15999984741211
2022-03-02,39.25
2022-03-03,38.84000015258789
2022-03-04,38.060001373291016
2022-03-07,36.83000183105469
2022-03-08,36.79999923706055
2022-03-09,37.529998779296875
2022-03-10,37.189998626708984
2022-03-11,36.54999923706055
2022-03-14,35.619998931884766
2022-03-15,35.310001373291016
2022-03-16,37.63999938964844
2022-03-17,37.91999816894531
2022-03-18,38.43000030517578
2022-03-21,37.880001068115234
2022-03-22,38.470001220703125
2022-03-23,38.349998474121094
2022-03-24,38.540000915527344
2022-03-25,38.25
2022-03-28,38.290000915527344
2022-03-29,38.7599983215332
2022-03-30,38.81999969482422
2022-03-31,38.33000183105469
2022-04-01,38.91999816894531
2022-04-04,39.59000015258789
2022-04-05,39.060001373291016
2022-04-06,38.689998626708984
2022-04-07,38.27000045776367
2022-04-08,38.369998931884766
2022-04-11,37.83000183105469
2022-04-12,37.7599983215332
2022-04-13,38.09000015258789
2022-04-14,37.83000183105469
2022-04-18,37.66999816894531
2022-04-19,37.459999084472656
2022-04-20,37.2599983215332
2022-04-21,36.61000061035156
2022-04-22,36.29999923706055
2022-04-25,35.810001373291016
2022-04-26,35.310001373291016
2022-04-27,35.630001068115234
2022-04-28,36.130001068115234
2022-04-29,36.209999084472656
2022-05-02,36.189998626708984
2022-05-03,36.38999938964844
2022-05-04,36.599998474121094
2022-05-05,35.599998474121094
2022-05-06,34.95000076293945
2022-05-09,34.040000915527344
2022-05-10,34.189998626708984
2022-05-11,34.0099983215332
2022-05-12,33.72999954223633
2022-05-13,34.4900016784668
2022-05-16,34.45000076293945
2022-05-17,35.16999816894531
2022-05-18,34.61000061035156
2022-05-19,34.79999923706055
2022-05-20,35.04999923706055
2022-05-23,35.2599983215332
2022-05-24,34.61000061035156
2022-05-25,34.779998779296875
2022-05-26,35.33000183105469
2022-05-27,35.709999084472656
2022-05-31,36.41999816894531
2022-06-01,36.09000015258789
2022-06-02,36.560001373291016
2022-06-03,36.099998474121094
2022-06-06,36.400001525878906
2022-06-07,36.4900016784668
2022-06-08,36.72999954223633
2022-06-09,36.02000045776367
2022-06-10,35.66999816894531
2022-06-13,34.540000915527344
2022-06-14,34.900001525878906
2022-06-15,35.38999938964844
2022-06-16,34.38999938964844
2022-06-17,34.209999084472656
2022-06-21,34.81999969482422
2022-06-22,34.20000076293945
2022-06-23,34.33000183105469
2022-06-24,34.9900016784668
2022-06-27,35.08000183105469
2022-06-28,34.939998626708984
2022-06-29,34.84000015258789
2022-06-30,34.560001373291016
2022-07-01,34.349998474121094
2022-07-05,34.11000061035156
2022-07-06,33.880001068115234
2022-07-07,34.5
2022-07-08,34.43000030517578
2022-07-11,33.650001525878906
2022-07-12,33.45000076293945
2022-07-13,33.41999816894531
2022-07-14,33.2400016784668
2022-07-15,33.310001373291016
2022-07-18,33.529998779296875
2022-07-19,34.0099983215332
2022-07-20,33.93000030517578
2022-07-21,34.2400016784668
2022-07-22,33.91999816894531
2022-07-25,34.02000045776367
2022-07-26,33.790000915527344
2022-07-27,34.36000061035156
2022-07-28,34.47999954223633
2022-07-29,34.2599983215332
2022-08-01,34.13999938964844
2022-08-02,33.939998626708984
2022-08-03,34.099998474121094
2022-08-04,34.31999969482422
2022-08-05,34.38999938964844
2022-08-08,34.43000030517578
2022-08-09,34.36000061035156
2022-08-10,34.68000030517578
2022-08-11,34.970001220703125
2022-08-12,35.2599983215332
2022-08-15,35.18000030517578
2022-08-16,35.13999938964844
2022-08-17,35.130001068115234
2022-08-18,34.959999084472656
2022-08-19,34.56999969482422
2022-08-22,34.31999969482422
2022-08-23,34.5
2022-08-24,34.470001220703125
2022-08-25,35.11000061035156
2022-08-26,34.7599983215332
2022-08-29,34.59000015258789
2022-08-30,34.279998779296875
2022-08-31,34.33000183105469
2022-09-01,34.09000015258789
2022-09-02,33.86000061035156
2022-09-06,33.58000183105469
2022-09-07,33.77000045776367
2022-09-08,33.689998626708984
2022-09-09,34.16999816894531
2022-09-12,34.56999969482422
2022-09-13,33.68000030517578
2022-09-14,33.75
2022-09-15,33.470001220703125
2022-09-16,32.59000015258789
2022-09-19,32.689998626708984
2022-09-20,32.61000061035156
2022-09-21,32.11000061035156
2022-09-22,31.989999771118164
2022-09-23,31.270000457763672
2022-09-26,30.829999923706055
2022-09-27,30.829999923706055
2022-09-28,30.8799991607666
2022-09-29,30.34000015258789
2022-09-30,30.440000534057617
2022-10-03,30.799999237060547
2022-10-04,31.639999389648438
2022-10-05,31.68000030517578
2022-10-06,31.520000457763672
2022-10-07,30.899999618530273
2022-10-10,30.479999542236328
2022-10-11,29.979999542236328
2022-10-12,30.010000228881836
2022-10-13,30.06999969482422
2022-10-14,29.709999084472656
2022-10-17,30.329999923706055
2022-10-18,30.420000076293945
2022-10-19,29.90999984741211
2022-10-20,30.09000015258789
2022-10-21,30.399999618530273
2022-10-24,29.3700008392334
2022-10-25,29.469999313354492
2022-10-26,29.770000457763672
2022-10-27,29.700000762939453
2022-10-28,29.530000686645508
2022-10-31,29.389999389648438
2022-11-01,29.889999389648438
2022-11-02,29.790000915527344
2022-11-03,29.889999389648438
2022-11-04,30.860000610351562
2022-11-07,31.040000915527344
2022-11-08,31.100000381469727
2022-11-09,30.700000762939453
2022-11-10,31.280000686645508
2022-11-11,32.08000183105469
2022-11-14,32.150001525878906
2022-11-15,32.869998931884766
2022-11-16,32.43000030517578
2022-11-17,32.52000045776367
2022-11-18,32.290000915527344
2022-11-21,31.979999542236328
2022-11-22,32.06999969482422
