Date,WMFFX
2022-02-28,57.27000045776367
2022-03-01,56.5
2022-03-02,57.599998474121094
2022-03-03,57.4900016784668
2022-03-04,57.54999923706055
2022-03-07,56.25
2022-03-08,55.68000030517578
2022-03-09,56.79999923706055
2022-03-10,56.72999954223633
2022-03-11,56.189998626708984
2022-03-14,56.150001525878906
2022-03-15,57.0099983215332
2022-03-16,57.54999923706055
2022-03-17,58.220001220703125
2022-03-18,58.540000915527344
2022-03-21,58.61000061035156
2022-03-22,58.95000076293945
2022-03-23,58.369998931884766
2022-03-24,59.13999938964844
2022-03-25,59.5
2022-03-28,59.59000015258789
2022-03-29,59.959999084472656
2022-03-30,59.86000061035156
2022-03-31,59.0099983215332
2022-04-01,59.209999084472656
2022-04-04,59.31999969482422
2022-04-05,58.869998931884766
2022-04-06,58.810001373291016
2022-04-07,59.130001068115234
2022-04-08,59.25
2022-04-11,58.52000045776367
2022-04-12,58.36000061035156
2022-04-13,58.81999969482422
2022-04-14,58.380001068115234
2022-04-18,58.41999816894531
2022-04-19,59.0099983215332
2022-04-20,59.310001373291016
2022-04-21,58.52000045776367
2022-04-22,57.11000061035156
2022-04-25,57.22999954223633
2022-04-26,55.97999954223633
2022-04-27,56.31999969482422
2022-04-28,57.20000076293945
2022-04-29,55.45000076293945
2022-05-02,55.63999938964844
2022-05-03,56.0099983215332
2022-05-04,57.459999084472656
2022-05-05,55.95000076293945
2022-05-06,55.90999984741211
2022-05-09,54.369998931884766
2022-05-10,54.52000045776367
2022-05-11,54.040000915527344
2022-05-12,54.040000915527344
2022-05-13,54.95000076293945
2022-05-16,55.029998779296875
2022-05-17,55.97999954223633
2022-05-18,54.06999969482422
2022-05-19,53.709999084472656
2022-05-20,53.880001068115234
2022-05-23,54.619998931884766
2022-05-24,54.689998626708984
2022-05-25,55.11000061035156
2022-05-26,55.959999084472656
2022-05-27,57.0099983215332
2022-05-31,56.599998474121094
2022-06-01,56.20000076293945
2022-06-02,56.77000045776367
2022-06-03,56.18000030517578
2022-06-06,56.2599983215332
2022-06-07,56.88999938964844
2022-06-08,56.2400016784668
2022-06-09,55.09000015258789
2022-06-10,53.900001525878906
2022-06-13,52.150001525878906
2022-06-14,51.84000015258789
2022-06-15,50.560001373291016
2022-06-16,49.13999938964844
2022-06-17,48.97999954223633
2022-06-21,50.16999816894531
2022-06-22,50.060001373291016
2022-06-23,50.2599983215332
2022-06-24,51.5099983215332
2022-06-27,51.59000015258789
2022-06-28,50.959999084472656
2022-06-29,50.880001068115234
2022-06-30,50.63999938964844
2022-07-01,51.0
2022-07-05,50.540000915527344
2022-07-06,50.779998779296875
2022-07-07,51.36000061035156
2022-07-08,51.31999969482422
2022-07-11,50.900001525878906
2022-07-12,50.470001220703125
2022-07-13,50.18000030517578
2022-07-14,49.86000061035156
2022-07-15,50.810001373291016
2022-07-18,50.43000030517578
2022-07-19,51.66999816894531
2022-07-20,51.61000061035156
2022-07-21,51.86000061035156
2022-07-22,51.560001373291016
2022-07-25,51.86000061035156
2022-07-26,51.54999923706055
2022-07-27,52.36000061035156
2022-07-28,52.79999923706055
2022-07-29,53.189998626708984
2022-08-01,52.97999954223633
2022-08-02,52.619998931884766
2022-08-03,53.220001220703125
2022-08-04,53.09000015258789
2022-08-05,53.16999816894531
2022-08-08,53.15999984741211
2022-08-09,53.09000015258789
2022-08-10,53.91999816894531
2022-08-11,53.959999084472656
2022-08-12,54.81999969482422
2022-08-15,54.90999984741211
2022-08-16,55.0099983215332
2022-08-17,54.66999816894531
2022-08-18,54.83000183105469
2022-08-19,54.41999816894531
2022-08-22,53.540000915527344
2022-08-23,53.380001068115234
2022-08-24,53.52000045776367
2022-08-25,54.2400016784668
2022-08-26,52.77000045776367
2022-08-29,52.560001373291016
2022-08-30,51.91999816894531
2022-08-31,51.61000061035156
2022-09-01,51.7400016784668
2022-09-02,51.33000183105469
2022-09-06,51.16999816894531
2022-09-07,51.86000061035156
2022-09-08,52.2599983215332
2022-09-09,52.90999984741211
2022-09-12,53.310001373291016
2022-09-13,51.36000061035156
2022-09-14,51.31999969482422
2022-09-15,50.9900016784668
2022-09-16,50.779998779296875
2022-09-19,50.97999954223633
2022-09-20,50.38999938964844
2022-09-21,49.630001068115234
2022-09-22,49.43000030517578
2022-09-23,48.540000915527344
2022-09-26,47.939998626708984
2022-09-27,47.81999969482422
2022-09-28,48.709999084472656
2022-09-29,47.970001220703125
2022-09-30,47.380001068115234
2022-10-03,48.68000030517578
2022-10-04,50.099998474121094
2022-10-05,50.029998779296875
2022-10-06,49.459999084472656
2022-10-07,48.36000061035156
2022-10-10,47.959999084472656
2022-10-11,47.7400016784668
2022-10-12,47.560001373291016
2022-10-13,48.75
2022-10-14,47.79999923706055
2022-10-17,48.779998779296875
2022-10-18,49.34000015258789
2022-10-19,49.04999923706055
2022-10-20,48.779998779296875
2022-10-21,49.88999938964844
2022-10-24,50.47999954223633
2022-10-25,50.959999084472656
2022-10-26,50.97999954223633
2022-10-27,50.970001220703125
2022-10-28,52.08000183105469
2022-10-31,51.83000183105469
2022-11-01,51.79999923706055
2022-11-02,50.970001220703125
2022-11-03,50.720001220703125
2022-11-04,51.45000076293945
2022-11-07,52.02000045776367
2022-11-08,52.31999969482422
2022-11-09,51.38999938964844
2022-11-10,53.54999923706055
2022-11-11,53.52000045776367
2022-11-14,53.16999816894531
2022-11-15,53.40999984741211
2022-11-16,53.099998474121094
2022-11-17,53.11000061035156
2022-11-18,53.439998626708984
2022-11-21,53.43000030517578
2022-11-22,54.11000061035156
