Date,VPMCX
2022-02-28,151.77000427246094
2022-03-01,149.05999755859375
2022-03-02,151.9600067138672
2022-03-03,150.3699951171875
2022-03-04,147.6300048828125
2022-03-07,142.35000610351562
2022-03-08,142.77000427246094
2022-03-09,147.4199981689453
2022-03-10,146.30999755859375
2022-03-11,144.08999633789062
2022-03-14,142.58999633789062
2022-03-15,145.80999755859375
2022-03-16,151.2899932861328
2022-03-17,152.94000244140625
2022-03-18,154.58999633789062
2022-03-21,154.02999877929688
2022-03-22,156.1999969482422
2022-03-23,153.77000427246094
2022-03-24,156.2100067138672
2022-03-25,156.5399932861328
2022-03-28,158.10000610351562
2022-03-29,160.25999450683594
2022-03-30,158.8000030517578
2022-03-31,155.94000244140625
2022-04-01,156.10000610351562
2022-04-04,157.63999938964844
2022-04-05,154.83999633789062
2022-04-06,153.44000244140625
2022-04-07,154.17999267578125
2022-04-08,153.55999755859375
2022-04-11,151.58999633789062
2022-04-12,150.72999572753906
2022-04-13,152.75999450683594
2022-04-14,150.75999450683594
2022-04-18,150.75
2022-04-19,153.10000610351562
2022-04-20,153.02999877929688
2022-04-21,151.02999877929688
2022-04-22,147.0500030517578
2022-04-25,148.13999938964844
2022-04-26,143.55999755859375
2022-04-27,144.41000366210938
2022-04-28,147.85000610351562
2022-04-29,144.0500030517578
2022-05-02,145.25
2022-05-03,145.88999938964844
2022-05-04,149.86000061035156
2022-05-05,145.16000366210938
2022-05-06,143.85000610351562
2022-05-09,138.86000061035156
2022-05-10,139.97000122070312
2022-05-11,137.27999877929688
2022-05-12,137.6699981689453
2022-05-13,141.27999877929688
2022-05-16,140.89999389648438
2022-05-17,144.8699951171875
2022-05-18,139.92999267578125
2022-05-19,139.0
2022-05-20,138.8699951171875
2022-05-23,141.13999938964844
2022-05-24,139.22999572753906
2022-05-25,140.6699981689453
2022-05-26,144.55999755859375
2022-05-27,148.27999877929688
2022-05-31,147.30999755859375
2022-06-01,145.85000610351562
2022-06-02,147.8300018310547
2022-06-03,145.25
2022-06-06,145.3300018310547
2022-06-07,146.94000244140625
2022-06-08,145.72999572753906
2022-06-09,142.02999877929688
2022-06-10,137.72000122070312
2022-06-13,132.25999450683594
2022-06-14,132.6999969482422
2022-06-15,134.66000366210938
2022-06-16,130.14999389648438
2022-06-17,131.25
2022-06-21,134.14999389648438
2022-06-22,134.0
2022-06-23,134.89999389648438
2022-06-24,139.86000061035156
2022-06-27,139.47999572753906
2022-06-28,136.88999938964844
2022-06-29,136.2100067138672
2022-06-30,134.83999633789062
2022-07-01,135.07000732421875
2022-07-05,135.97999572753906
2022-07-06,136.13999938964844
2022-07-07,138.52000427246094
2022-07-08,138.55999755859375
2022-07-11,136.4499969482422
2022-07-12,135.66000366210938
2022-07-13,135.00999450683594
2022-07-14,134.57000732421875
2022-07-15,137.25999450683594
2022-07-18,136.24000549316406
2022-07-19,140.25
2022-07-20,140.64999389648438
2022-07-21,142.25
2022-07-22,140.33999633789062
2022-07-25,140.52999877929688
2022-07-26,139.00999450683594
2022-07-27,142.57000732421875
2022-07-28,143.60000610351562
2022-07-29,144.2899932861328
2022-08-01,143.82000732421875
2022-08-02,142.75
2022-08-03,144.83999633789062
2022-08-04,144.97999572753906
2022-08-05,144.4499969482422
2022-08-08,144.0399932861328
2022-08-09,142.72999572753906
2022-08-10,145.83999633789062
2022-08-11,145.72999572753906
