Date,CNPFX
2022-02-28,57.0
2022-03-01,55.900001525878906
2022-03-02,56.68000030517578
2022-03-03,55.7599983215332
2022-03-04,54.630001068115234
2022-03-07,52.75
2022-03-08,52.77000045776367
2022-03-09,54.849998474121094
2022-03-10,54.33000183105469
2022-03-11,53.38999938964844
2022-03-14,52.939998626708984
2022-03-15,53.84000015258789
2022-03-16,55.84000015258789
2022-03-17,56.75
2022-03-18,57.709999084472656
2022-03-21,57.36000061035156
2022-03-22,58.31999969482422
2022-03-23,57.5099983215332
2022-03-24,58.220001220703125
2022-03-25,58.099998474121094
2022-03-28,58.790000915527344
2022-03-29,59.90999984741211
2022-03-30,59.560001373291016
2022-03-31,58.61000061035156
2022-04-01,59.0
2022-04-04,59.779998779296875
2022-04-05,58.720001220703125
2022-04-06,57.650001525878906
2022-04-07,57.869998931884766
2022-04-08,57.45000076293945
2022-04-11,56.369998931884766
2022-04-12,56.040000915527344
2022-04-13,56.95000076293945
2022-04-14,56.20000076293945
2022-04-18,56.029998779296875
2022-04-19,56.779998779296875
2022-04-20,56.43000030517578
2022-04-21,55.66999816894531
2022-04-22,54.459999084472656
2022-04-25,54.47999954223633
2022-04-26,52.470001220703125
2022-04-27,52.63999938964844
2022-04-28,53.70000076293945
2022-04-29,52.54999923706055
2022-05-02,52.900001525878906
2022-05-03,53.02000045776367
2022-05-04,54.2599983215332
2022-05-05,52.11000061035156
2022-05-06,51.310001373291016
2022-05-09,49.13999938964844
2022-05-10,49.5099983215332
2022-05-11,48.70000076293945
2022-05-12,48.7599983215332
2022-05-13,50.27000045776367
2022-05-16,49.939998626708984
2022-05-17,51.13999938964844
2022-05-18,49.34000015258789
2022-05-19,49.4900016784668
2022-05-20,49.540000915527344
2022-05-23,50.209999084472656
2022-05-24,49.41999816894531
2022-05-25,49.84000015258789
2022-05-26,50.88999938964844
2022-05-27,52.2400016784668
2022-05-31,52.130001068115234
2022-06-01,51.4900016784668
2022-06-02,52.7400016784668
2022-06-03,51.70000076293945
2022-06-06,51.91999816894531
2022-06-07,52.2400016784668
2022-06-08,51.83000183105469
2022-06-09,50.59000015258789
2022-06-10,49.15999984741211
2022-06-13,47.150001525878906
2022-06-14,46.959999084472656
2022-06-15,47.90999984741211
2022-06-16,46.29999923706055
2022-06-17,46.540000915527344
2022-06-21,47.5
2022-06-22,47.2599983215332
2022-06-23,47.47999954223633
2022-06-24,49.06999969482422
2022-06-27,48.959999084472656
2022-06-28,48.06999969482422
2022-06-29,47.959999084472656
2022-06-30,47.470001220703125
2022-07-01,47.709999084472656
2022-07-05,47.619998931884766
2022-07-06,47.599998474121094
2022-07-07,48.56999969482422
2022-07-08,48.599998474121094
2022-07-11,47.720001220703125
2022-07-12,47.310001373291016
2022-07-13,47.279998779296875
2022-07-14,46.970001220703125
2022-07-15,47.83000183105469
2022-07-18,47.720001220703125
2022-07-19,49.02000045776367
2022-07-20,49.189998626708984
2022-07-21,49.959999084472656
2022-07-22,49.45000076293945
2022-07-25,49.4900016784668
2022-07-26,48.849998474121094
2022-07-27,50.119998931884766
2022-07-28,50.65999984741211
2022-07-29,51.349998474121094
2022-08-01,51.189998626708984
2022-08-02,50.84000015258789
2022-08-03,51.5099983215332
2022-08-04,51.790000915527344
2022-08-05,51.439998626708984
2022-08-08,51.56999969482422
2022-08-09,51.11000061035156
2022-08-10,52.310001373291016
2022-08-11,52.22999954223633
2022-08-12,53.0
2022-08-15,53.130001068115234
2022-08-16,53.0099983215332
2022-08-17,52.58000183105469
2022-08-18,52.52000045776367
2022-08-19,51.77000045776367
2022-08-22,50.709999084472656
2022-08-23,50.75
2022-08-24,50.95000076293945
2022-08-25,51.619998931884766
2022-08-26,50.060001373291016
2022-08-29,49.66999816894531
2022-08-30,49.189998626708984
2022-08-31,48.900001525878906
2022-09-01,48.650001525878906
2022-09-02,48.27000045776367
2022-09-06,48.11000061035156
2022-09-07,48.880001068115234
2022-09-08,49.349998474121094
2022-09-09,50.33000183105469
2022-09-12,50.849998474121094
2022-09-13,48.849998474121094
2022-09-14,49.09000015258789
2022-09-15,48.599998474121094
2022-09-16,48.15999984741211
2022-09-19,48.43000030517578
2022-09-20,47.849998474121094
2022-09-21,47.0099983215332
2022-09-22,46.45000076293945
2022-09-23,45.380001068115234
2022-09-26,44.900001525878906
2022-09-27,44.959999084472656
2022-09-28,45.959999084472656
2022-09-29,45.0
2022-09-30,44.59000015258789
2022-10-03,45.380001068115234
2022-10-04,46.970001220703125
2022-10-05,46.779998779296875
2022-10-06,46.310001373291016
2022-10-07,45.08000183105469
2022-10-10,44.720001220703125
2022-10-11,44.15999984741211
2022-10-12,44.150001525878906
2022-10-13,44.939998626708984
2022-10-14,43.900001525878906
2022-10-17,45.15999984741211
2022-10-18,45.560001373291016
2022-10-19,45.16999816894531
2022-10-20,44.7599983215332
2022-10-21,45.689998626708984
2022-10-24,45.77000045776367
2022-10-25,46.70000076293945
2022-10-26,46.7599983215332
2022-10-27,46.29999923706055
2022-10-28,46.91999816894531
2022-10-31,46.619998931884766
2022-11-01,46.7599983215332
2022-11-02,45.75
2022-11-03,45.439998626708984
2022-11-04,46.529998779296875
2022-11-07,46.849998474121094
2022-11-08,47.16999816894531
2022-11-09,46.29999923706055
2022-11-10,48.84000015258789
2022-11-11,49.65999984741211
2022-11-14,49.22999954223633
2022-11-15,49.79999923706055
2022-11-16,49.380001068115234
2022-11-17,49.150001525878906
2022-11-18,49.2400016784668
2022-11-21,48.810001373291016
2022-11-22,49.369998931884766
2022-11-23,49.849998474121094
