Date,ANWPX
2022-02-28,58.11000061035156
2022-03-01,57.0
2022-03-02,57.790000915527344
2022-03-03,56.849998474121094
2022-03-04,55.689998626708984
2022-03-07,53.779998779296875
2022-03-08,53.79999923706055
2022-03-09,55.91999816894531
2022-03-10,55.400001525878906
2022-03-11,54.43000030517578
2022-03-14,53.970001220703125
2022-03-15,54.88999938964844
2022-03-16,56.93000030517578
2022-03-17,57.86000061035156
2022-03-18,58.83000183105469
2022-03-21,58.47999954223633
2022-03-22,59.459999084472656
2022-03-23,58.630001068115234
2022-03-24,59.36000061035156
2022-03-25,59.22999954223633
2022-03-28,59.93000030517578
2022-03-29,61.06999969482422
2022-03-30,60.720001220703125
2022-03-31,59.75
2022-04-01,60.13999938964844
2022-04-04,60.939998626708984
2022-04-05,59.86000061035156
2022-04-06,58.77000045776367
2022-04-07,58.9900016784668
2022-04-08,58.560001373291016
2022-04-11,57.470001220703125
2022-04-12,57.119998931884766
2022-04-13,58.060001373291016
2022-04-14,57.290000915527344
2022-04-18,57.119998931884766
2022-04-19,57.880001068115234
2022-04-20,57.52000045776367
2022-04-21,56.75
2022-04-22,55.52000045776367
2022-04-25,55.540000915527344
2022-04-26,53.4900016784668
2022-04-27,53.65999984741211
2022-04-28,54.7400016784668
2022-04-29,53.56999969482422
2022-05-02,53.91999816894531
2022-05-03,54.04999923706055
2022-05-04,55.310001373291016
2022-05-05,53.11000061035156
2022-05-06,52.29999923706055
2022-05-09,50.09000015258789
2022-05-10,50.470001220703125
2022-05-11,49.63999938964844
2022-05-12,49.70000076293945
2022-05-13,51.2400016784668
2022-05-16,50.900001525878906
2022-05-17,52.130001068115234
2022-05-18,50.290000915527344
2022-05-19,50.439998626708984
2022-05-20,50.4900016784668
2022-05-23,51.18000030517578
2022-05-24,50.369998931884766
2022-05-25,50.79999923706055
2022-05-26,51.869998931884766
2022-05-27,53.25
2022-05-31,53.130001068115234
2022-06-01,52.47999954223633
2022-06-02,53.75
2022-06-03,52.689998626708984
2022-06-06,52.90999984741211
2022-06-07,53.2400016784668
2022-06-08,52.81999969482422
2022-06-09,51.560001373291016
2022-06-10,50.099998474121094
2022-06-13,48.04999923706055
2022-06-14,47.86000061035156
2022-06-15,48.83000183105469
2022-06-16,47.189998626708984
2022-06-17,47.43000030517578
2022-06-21,48.40999984741211
2022-06-22,48.15999984741211
2022-06-23,48.38999938964844
2022-06-24,50.0099983215332
2022-06-27,49.900001525878906
2022-06-28,48.9900016784668
2022-06-29,48.880001068115234
2022-06-30,48.380001068115234
2022-07-01,48.619998931884766
2022-07-05,48.529998779296875
2022-07-06,48.5099983215332
2022-07-07,49.5
2022-07-08,49.529998779296875
2022-07-11,48.630001068115234
2022-07-12,48.209999084472656
2022-07-13,48.18000030517578
2022-07-14,47.86000061035156
2022-07-15,48.7400016784668
2022-07-18,48.630001068115234
2022-07-19,49.95000076293945
2022-07-20,50.130001068115234
2022-07-21,50.90999984741211
2022-07-22,50.400001525878906
2022-07-25,50.43000030517578
2022-07-26,49.779998779296875
2022-07-27,51.06999969482422
2022-07-28,51.619998931884766
2022-07-29,52.33000183105469
2022-08-01,52.16999816894531
2022-08-02,51.810001373291016
2022-08-03,52.4900016784668
2022-08-04,52.77000045776367
2022-08-05,52.41999816894531
2022-08-08,52.54999923706055
2022-08-09,52.08000183105469
2022-08-10,53.29999923706055
2022-08-11,53.220001220703125
2022-08-12,54.0099983215332
2022-08-15,54.13999938964844
2022-08-16,54.0099983215332
2022-08-17,53.56999969482422
2022-08-18,53.5099983215332
2022-08-19,52.75
2022-08-22,51.66999816894531
2022-08-23,51.709999084472656
2022-08-24,51.91999816894531
2022-08-25,52.599998474121094
2022-08-26,51.0
2022-08-29,50.61000061035156
2022-08-30,50.119998931884766
2022-08-31,49.81999969482422
2022-09-01,49.56999969482422
2022-09-02,49.18000030517578
2022-09-06,49.02000045776367
2022-09-07,49.810001373291016
2022-09-08,50.279998779296875
2022-09-09,51.290000915527344
2022-09-12,51.810001373291016
2022-09-13,49.77000045776367
2022-09-14,50.02000045776367
2022-09-15,49.52000045776367
2022-09-16,49.06999969482422
2022-09-19,49.34000015258789
2022-09-20,48.75
2022-09-21,47.900001525878906
2022-09-22,47.31999969482422
2022-09-23,46.22999954223633
2022-09-26,45.75
2022-09-27,45.810001373291016
2022-09-28,46.81999969482422
2022-09-29,45.849998474121094
2022-09-30,45.43000030517578
2022-10-03,46.22999954223633
2022-10-04,47.849998474121094
2022-10-05,47.65999984741211
2022-10-06,47.18000030517578
2022-10-07,45.93000030517578
2022-10-10,45.560001373291016
2022-10-11,44.9900016784668
2022-10-12,44.97999954223633
2022-10-13,45.779998779296875
2022-10-14,44.720001220703125
2022-10-17,46.0099983215332
2022-10-18,46.41999816894531
2022-10-19,46.0099983215332
2022-10-20,45.59000015258789
2022-10-21,46.54999923706055
2022-10-24,46.630001068115234
2022-10-25,47.58000183105469
2022-10-26,47.63999938964844
2022-10-27,47.15999984741211
2022-10-28,47.79999923706055
2022-10-31,47.5
2022-11-01,47.630001068115234
2022-11-02,46.599998474121094
2022-11-03,46.290000915527344
2022-11-04,47.400001525878906
2022-11-07,47.72999954223633
2022-11-08,48.04999923706055
2022-11-09,47.15999984741211
2022-11-10,49.75
2022-11-11,50.59000015258789
2022-11-14,50.150001525878906
2022-11-15,50.72999954223633
2022-11-16,50.29999923706055
2022-11-17,50.060001373291016
2022-11-18,50.15999984741211
2022-11-21,49.720001220703125
2022-11-22,50.290000915527344
2022-11-23,50.779998779296875
2022-11-25,50.849998474121094
