Date,RFNGX
2022-02-28,70.12999725341797
2022-03-01,69.05999755859375
2022-03-02,70.31999969482422
2022-03-03,69.66999816894531
2022-03-04,68.91000366210938
2022-03-07,66.68000030517578
2022-03-08,66.41999816894531
2022-03-09,68.30000305175781
2022-03-10,68.02999877929688
2022-03-11,67.08999633789062
2022-03-14,66.45999908447266
2022-03-15,67.69000244140625
2022-03-16,69.16999816894531
2022-03-17,70.19000244140625
2022-03-18,71.04000091552734
2022-03-21,70.79000091552734
2022-03-22,71.51000213623047
2022-03-23,70.55999755859375
2022-03-24,71.51000213623047
2022-03-25,71.66000366210938
2022-03-28,71.87999725341797
2022-03-29,72.88999938964844
2022-03-30,72.44000244140625
2022-03-31,71.38999938964844
2022-04-01,71.80999755859375
2022-04-04,72.37999725341797
2022-04-05,71.37999725341797
2022-04-06,70.80000305175781
2022-04-07,71.0199966430664
2022-04-08,70.87999725341797
2022-04-11,70.01000213623047
2022-04-12,69.7300033569336
2022-04-13,70.58000183105469
2022-04-14,69.91000366210938
2022-04-18,69.81999969482422
2022-04-19,70.75
2022-04-20,70.63999938964844
2022-04-21,69.37000274658203
2022-04-22,67.58999633789062
2022-04-25,67.72000122070312
2022-04-26,65.93000030517578
2022-04-27,66.11000061035156
2022-04-28,67.54000091552734
2022-04-29,65.58999633789062
2022-05-02,66.01000213623047
2022-05-03,66.3499984741211
2022-05-04,68.04000091552734
2022-05-05,65.91999816894531
2022-05-06,65.38999938964844
2022-05-09,63.040000915527344
2022-05-10,63.209999084472656
2022-05-11,62.599998474121094
2022-05-12,62.709999084472656
2022-05-13,64.41999816894531
2022-05-16,64.36000061035156
2022-05-17,65.62000274658203
2022-05-18,63.29999923706055
2022-05-19,63.119998931884766
2022-05-20,63.25
2022-05-23,64.12000274658203
2022-05-24,63.709999084472656
2022-05-25,64.30000305175781
2022-05-26,65.51000213623047
2022-05-27,66.95999908447266
2022-05-31,66.44000244140625
2022-06-01,65.95999908447266
2022-06-02,67.05000305175781
2022-06-03,66.16000366210938
2022-06-06,66.37000274658203
2022-06-07,66.94000244140625
2022-06-08,66.16000366210938
2022-06-09,64.5999984741211
2022-06-10,62.84000015258789
2022-06-13,60.310001373291016
2022-06-14,60.0
2022-06-15,59.40999984741211
2022-06-16,57.459999084472656
2022-06-17,57.4900016784668
2022-06-21,58.720001220703125
2022-06-22,58.400001525878906
2022-06-23,58.66999816894531
2022-06-24,60.400001525878906
2022-06-27,60.43000030517578
2022-06-28,59.560001373291016
2022-06-29,59.310001373291016
2022-06-30,58.75
2022-07-01,59.20000076293945
2022-07-05,59.040000915527344
2022-07-06,59.119998931884766
2022-07-07,60.09000015258789
2022-07-08,60.02000045776367
2022-07-11,59.25
2022-07-12,58.83000183105469
2022-07-13,58.560001373291016
2022-07-14,58.16999816894531
2022-07-15,59.41999816894531
2022-07-18,59.2599983215332
2022-07-19,60.939998626708984
2022-07-20,61.15999984741211
2022-07-21,61.61000061035156
2022-07-22,60.9900016784668
2022-07-25,61.25
2022-07-26,60.630001068115234
2022-07-27,62.02000045776367
2022-07-28,62.58000183105469
