Date,BAGIX
2022-02-28,10.9399995803833
2022-03-01,11.010000228881836
2022-03-02,10.869999885559082
2022-03-03,10.90999984741211
2022-03-04,10.960000038146973
2022-03-07,10.90999984741211
2022-03-08,10.850000381469727
2022-03-09,10.8100004196167
2022-03-10,10.760000228881836
2022-03-11,10.760000228881836
2022-03-14,10.65999984741211
2022-03-15,10.649999618530273
2022-03-16,10.670000076293945
2022-03-17,10.670000076293945
2022-03-18,10.699999809265137
2022-03-21,10.609999656677246
2022-03-22,10.569999694824219
2022-03-23,10.630000114440918
2022-03-24,10.59000015258789
2022-03-25,10.5
2022-03-28,10.520000457763672
2022-03-29,10.5600004196167
2022-03-30,10.600000381469727
2022-03-31,10.600000381469727
2022-04-01,10.579999923706055
2022-04-04,10.579999923706055
2022-04-05,10.489999771118164
2022-04-06,10.460000038146973
2022-04-07,10.449999809265137
2022-04-08,10.390000343322754
2022-04-11,10.350000381469727
2022-04-12,10.369999885559082
2022-04-13,10.380000114440918
2022-04-14,10.319999694824219
2022-04-18,10.289999961853027
2022-04-19,10.229999542236328
2022-04-20,10.289999961853027
2022-04-21,10.239999771118164
2022-04-22,10.220000267028809
2022-04-25,10.239999771118164
2022-04-26,10.289999961853027
2022-04-27,10.25
2022-04-28,10.239999771118164
2022-04-29,10.180000305175781
2022-05-02,10.119999885559082
2022-05-03,10.140000343322754
2022-05-04,10.1899995803833
2022-05-05,10.109999656677246
2022-05-06,10.0600004196167
2022-05-09,10.109999656677246
2022-05-10,10.130000114440918
2022-05-11,10.170000076293945
2022-05-12,10.180000305175781
2022-05-13,10.140000343322754
2022-05-16,10.15999984741211
2022-05-17,10.100000381469727
2022-05-18,10.149999618530273
2022-05-19,10.170000076293945
2022-05-20,10.199999809265137
2022-05-23,10.15999984741211
2022-05-24,10.210000038146973
2022-05-25,10.239999771118164
2022-05-26,10.25
2022-05-27,10.260000228881836
2022-05-31,10.210000038146973
2022-06-01,10.170000076293945
2022-06-02,10.180000305175781
2022-06-03,10.170000076293945
2022-06-06,10.109999656677246
2022-06-07,10.140000343322754
2022-06-08,10.109999656677246
2022-06-09,10.100000381469727
2022-06-10,10.020000457763672
2022-06-13,9.859999656677246
2022-06-14,9.800000190734863
2022-06-15,9.899999618530273
2022-06-16,9.920000076293945
2022-06-17,9.920000076293945
2022-06-21,9.890000343322754
2022-06-22,9.970000267028809
2022-06-23,9.979999542236328
