Date,REEBX
2022-02-28,56.5
2022-03-01,55.27000045776367
2022-03-02,55.86000061035156
2022-03-03,54.72999954223633
2022-03-04,52.88999938964844
2022-03-07,50.91999816894531
2022-03-08,50.97999954223633
2022-03-09,53.150001525878906
2022-03-10,52.61000061035156
2022-03-11,51.86000061035156
2022-03-14,51.63999938964844
2022-03-15,51.880001068115234
2022-03-16,54.290000915527344
2022-03-17,55.2400016784668
2022-03-18,55.97999954223633
2022-03-21,55.5
2022-03-22,56.150001525878906
2022-03-23,55.59000015258789
2022-03-24,56.029998779296875
2022-03-25,55.56999969482422
2022-03-28,55.77000045776367
2022-03-29,57.130001068115234
2022-03-30,56.849998474121094
2022-03-31,55.90999984741211
2022-04-01,56.470001220703125
2022-04-04,57.25
2022-04-05,56.29999923706055
2022-04-06,55.34000015258789
2022-04-07,55.279998779296875
2022-04-08,55.11000061035156
2022-04-11,54.279998779296875
2022-04-12,53.97999954223633
2022-04-13,54.68000030517578
2022-04-14,54.25
2022-04-18,53.93000030517578
2022-04-19,54.11000061035156
2022-04-20,54.36000061035156
2022-04-21,53.63999938964844
2022-04-22,52.65999984741211
2022-04-25,52.38999938964844
2022-04-26,51.029998779296875
2022-04-27,51.41999816894531
2022-04-28,52.29999923706055
2022-04-29,51.66999816894531
2022-05-02,51.619998931884766
2022-05-03,51.84000015258789
2022-05-04,52.5
2022-05-05,50.900001525878906
2022-05-06,50.0099983215332
2022-05-09,48.2400016784668
2022-05-10,48.540000915527344
2022-05-11,48.369998931884766
2022-05-12,48.29999923706055
2022-05-13,49.7599983215332
2022-05-16,49.689998626708984
2022-05-17,50.77000045776367
2022-05-18,49.59000015258789
2022-05-19,49.95000076293945
2022-05-20,50.439998626708984
2022-05-23,51.040000915527344
2022-05-24,50.540000915527344
2022-05-25,50.599998474121094
2022-05-26,51.20000076293945
2022-05-27,52.13999938964844
2022-05-31,52.279998779296875
2022-06-01,51.619998931884766
2022-06-02,52.7599983215332
2022-06-03,52.060001373291016
2022-06-06,52.36000061035156
2022-06-07,52.58000183105469
2022-06-08,52.22999954223633
2022-06-09,51.130001068115234
2022-06-10,49.939998626708984
2022-06-13,47.810001373291016
2022-06-14,47.38999938964844
2022-06-15,48.15999984741211
2022-06-16,46.779998779296875
2022-06-17,46.79999923706055
2022-06-21,47.599998474121094
2022-06-22,47.04999923706055
2022-06-23,46.91999816894531
2022-06-24,48.31999969482422
