Date,RRBGX
2022-02-28,140.0500030517578
2022-03-01,137.33999633789062
2022-03-02,138.97999572753906
2022-03-03,136.1300048828125
2022-03-04,133.22000122070312
2022-03-07,127.04000091552734
2022-03-08,126.44999694824219
2022-03-09,132.1699981689453
2022-03-10,131.1699981689453
2022-03-11,128.1999969482422
2022-03-14,125.5
2022-03-15,129.6999969482422
2022-03-16,135.32000732421875
2022-03-17,137.5
2022-03-18,141.32000732421875
2022-03-21,140.22000122070312
2022-03-22,143.22000122070312
2022-03-23,141.32000732421875
2022-03-24,144.02999877929688
2022-03-25,143.30999755859375
2022-03-28,145.89999389648438
2022-03-29,148.8800048828125
2022-03-30,146.94000244140625
2022-03-31,144.22000122070312
2022-04-01,144.85000610351562
2022-04-04,148.22000122070312
2022-04-05,144.85000610351562
2022-04-06,140.99000549316406
2022-04-07,141.00999450683594
2022-04-08,139.0399932861328
2022-04-11,135.7100067138672
2022-04-12,134.83999633789062
2022-04-13,137.60000610351562
2022-04-14,134.5
2022-04-18,134.33999633789062
2022-04-19,137.5500030517578
2022-04-20,134.69000244140625
2022-04-21,131.1199951171875
2022-04-22,126.81999969482422
2022-04-25,128.5800018310547
2022-04-26,123.18000030517578
2022-04-27,123.23999786376953
2022-04-28,128.52000427246094
2022-04-29,122.33999633789062
2022-05-02,124.26000213623047
2022-05-03,124.08000183105469
2022-05-04,128.1199951171875
2022-05-05,121.0
2022-05-06,119.12000274658203
2022-05-09,113.29000091552734
2022-05-10,114.41999816894531
2022-05-11,111.04000091552734
2022-05-12,111.0199966430664
2022-05-13,115.68000030517578
2022-05-16,113.91999816894531
2022-05-17,116.86000061035156
2022-05-18,111.25
2022-05-19,111.44000244140625
2022-05-20,111.1500015258789
2022-05-23,113.0199966430664
2022-05-24,109.2300033569336
2022-05-25,111.11000061035156
2022-05-26,114.33000183105469
2022-05-27,118.38999938964844
2022-05-31,118.05999755859375
2022-06-01,117.12000274658203
2022-06-02,120.9000015258789
2022-06-03,117.47000122070312
2022-06-06,118.30000305175781
2022-06-07,119.44000244140625
2022-06-08,118.81999969482422
2022-06-09,115.2300033569336
2022-06-10,110.58000183105469
2022-06-13,105.18000030517578
2022-06-14,105.2300033569336
2022-06-15,108.4800033569336
2022-06-16,103.97000122070312
2022-06-17,105.41999816894531
2022-06-21,108.13999938964844
2022-06-22,108.19999694824219
2022-06-23,110.4800033569336
2022-06-24,114.62000274658203
2022-06-27,113.33999633789062
2022-06-28,109.36000061035156
2022-06-29,109.83000183105469
2022-06-30,108.01000213623047
2022-07-01,108.9800033569336
2022-07-05,111.37999725341797
2022-07-06,112.02999877929688
2022-07-07,114.4000015258789
2022-07-08,114.4800033569336
2022-07-11,112.0199966430664
2022-07-12,109.95999908447266
2022-07-13,109.51000213623047
2022-07-14,109.41000366210938
2022-07-15,111.76000213623047
2022-07-18,110.79000091552734
2022-07-19,114.41999816894531
2022-07-20,116.41999816894531
2022-07-21,118.48999786376953
2022-07-22,115.5
2022-07-25,114.9000015258789
2022-07-26,112.04000091552734
2022-07-27,117.13999938964844
2022-07-28,118.69000244140625
2022-07-29,121.55999755859375
2022-08-01,121.19999694824219
