Date,RWMGX
2022-02-28,57.380001068115234
2022-03-01,56.599998474121094
2022-03-02,57.70000076293945
2022-03-03,57.59000015258789
2022-03-04,57.650001525878906
2022-03-07,56.349998474121094
2022-03-08,55.779998779296875
2022-03-09,56.90999984741211
2022-03-10,56.83000183105469
2022-03-11,56.29999923706055
2022-03-14,56.25
2022-03-15,57.119998931884766
2022-03-16,57.63999938964844
2022-03-17,58.310001373291016
2022-03-18,58.63999938964844
2022-03-21,58.70000076293945
2022-03-22,59.040000915527344
2022-03-23,58.459999084472656
2022-03-24,59.2400016784668
2022-03-25,59.599998474121094
2022-03-28,59.689998626708984
2022-03-29,60.060001373291016
2022-03-30,59.959999084472656
2022-03-31,59.11000061035156
2022-04-01,59.310001373291016
2022-04-04,59.41999816894531
2022-04-05,58.970001220703125
2022-04-06,58.900001525878906
2022-04-07,59.22999954223633
2022-04-08,59.349998474121094
2022-04-11,58.61000061035156
2022-04-12,58.45000076293945
2022-04-13,58.91999816894531
2022-04-14,58.47999954223633
2022-04-18,58.52000045776367
2022-04-19,59.11000061035156
2022-04-20,59.40999984741211
2022-04-21,58.619998931884766
2022-04-22,57.209999084472656
2022-04-25,57.31999969482422
2022-04-26,56.08000183105469
2022-04-27,56.40999984741211
2022-04-28,57.29999923706055
2022-04-29,55.54999923706055
2022-05-02,55.72999954223633
2022-05-03,56.11000061035156
2022-05-04,57.560001373291016
2022-05-05,56.040000915527344
2022-05-06,56.0099983215332
2022-05-09,54.470001220703125
2022-05-10,54.61000061035156
2022-05-11,54.130001068115234
2022-05-12,54.130001068115234
2022-05-13,55.04999923706055
2022-05-16,55.130001068115234
2022-05-17,56.08000183105469
2022-05-18,54.15999984741211
2022-05-19,53.79999923706055
2022-05-20,53.97999954223633
2022-05-23,54.720001220703125
2022-05-24,54.790000915527344
2022-05-25,55.209999084472656
2022-05-26,56.060001373291016
2022-05-27,57.119998931884766
2022-05-31,56.70000076293945
2022-06-01,56.29999923706055
2022-06-02,56.869998931884766
2022-06-03,56.279998779296875
2022-06-06,56.36000061035156
2022-06-07,56.9900016784668
2022-06-08,56.34000015258789
2022-06-09,55.20000076293945
2022-06-10,54.0
