Date,VHYAX
2022-02-28,33.130001068115234
2022-03-01,32.630001068115234
2022-03-02,33.29999923706055
2022-03-03,33.38999938964844
2022-03-04,33.36000061035156
2022-03-07,32.79999923706055
2022-03-08,32.52000045776367
2022-03-09,32.91999816894531
2022-03-10,32.880001068115234
2022-03-11,32.66999816894531
2022-03-14,32.720001220703125
2022-03-15,33.06999969482422
2022-03-16,33.40999984741211
2022-03-17,33.779998779296875
2022-03-18,33.63999938964844
2022-03-21,33.720001220703125
2022-03-22,33.90999984741211
2022-03-23,33.58000183105469
2022-03-24,33.90999984741211
2022-03-25,34.2599983215332
2022-03-28,34.18000030517578
2022-03-29,34.41999816894531
2022-03-30,34.31999969482422
2022-03-31,33.84000015258789
2022-04-01,33.9900016784668
2022-04-04,33.95000076293945
2022-04-05,33.72999954223633
2022-04-06,33.84000015258789
2022-04-07,34.0
2022-04-08,34.189998626708984
2022-04-11,33.90999984741211
2022-04-12,33.849998474121094
2022-04-13,34.02000045776367
2022-04-14,33.880001068115234
2022-04-18,33.900001525878906
2022-04-19,34.25
2022-04-20,34.540000915527344
2022-04-21,34.20000076293945
2022-04-22,33.36000061035156
2022-04-25,33.380001068115234
2022-04-26,32.83000183105469
2022-04-27,32.869998931884766
2022-04-28,33.380001068115234
2022-04-29,32.43000030517578
2022-05-02,32.52000045776367
2022-05-03,32.79999923706055
2022-05-04,33.72999954223633
2022-05-05,32.97999954223633
2022-05-06,33.0099983215332
2022-05-09,32.380001068115234
2022-05-10,32.2400016784668
2022-05-11,32.06999969482422
2022-05-12,32.18000030517578
2022-05-13,32.59000015258789
2022-05-16,32.720001220703125
2022-05-17,33.22999954223633
2022-05-18,32.13999938964844
2022-05-19,31.799999237060547
2022-05-20,31.899999618530273
2022-05-23,32.45000076293945
2022-05-24,32.630001068115234
2022-05-25,32.900001525878906
2022-05-26,33.33000183105469
2022-05-27,33.81999969482422
2022-05-31,33.560001373291016
2022-06-01,33.33000183105469
2022-06-02,33.61000061035156
2022-06-03,33.380001068115234
2022-06-06,33.439998626708984
2022-06-07,33.790000915527344
2022-06-08,33.380001068115234
2022-06-09,32.70000076293945
2022-06-10,32.029998779296875
2022-06-13,31.030000686645508
2022-06-14,30.780000686645508
2022-06-15,30.90999984741211
2022-06-16,30.110000610351562
2022-06-17,29.670000076293945
2022-06-21,30.389999389648438
2022-06-22,30.290000915527344
2022-06-23,30.350000381469727
2022-06-24,31.1299991607666
2022-06-27,31.200000762939453
2022-06-28,30.93000030517578
2022-06-29,30.780000686645508
2022-06-30,30.649999618530273
2022-07-01,30.979999542236328
2022-07-05,30.6200008392334
2022-07-06,30.6299991607666
2022-07-07,30.969999313354492
2022-07-08,30.90999984741211
2022-07-11,30.760000228881836
2022-07-12,30.600000381469727
2022-07-13,30.440000534057617
2022-07-14,30.200000762939453
2022-07-15,30.75
2022-07-18,30.549999237060547
2022-07-19,31.190000534057617
2022-07-20,31.139999389648438
2022-07-21,31.200000762939453
2022-07-22,31.1299991607666
2022-07-25,31.3700008392334
2022-07-26,31.219999313354492
2022-07-27,31.600000381469727
2022-07-28,31.84000015258789
2022-07-29,32.06999969482422
2022-08-01,32.029998779296875
2022-08-02,31.75
2022-08-03,31.969999313354492
2022-08-04,31.75
2022-08-05,31.850000381469727
2022-08-08,31.8700008392334
2022-08-09,31.93000030517578
2022-08-10,32.400001525878906
2022-08-11,32.560001373291016
2022-08-12,33.0
2022-08-15,33.060001373291016
2022-08-16,33.2400016784668
2022-08-17,33.09000015258789
2022-08-18,33.25
2022-08-19,33.0099983215332
2022-08-22,32.470001220703125
2022-08-23,32.439998626708984
2022-08-24,32.4900016784668
2022-08-25,32.869998931884766
2022-08-26,32.029998779296875
2022-08-29,31.899999618530273
2022-08-30,31.530000686645508
2022-08-31,31.280000686645508
2022-09-01,31.420000076293945
2022-09-02,31.190000534057617
2022-09-06,31.049999237060547
2022-09-07,31.510000228881836
2022-09-08,31.75
2022-09-09,32.11000061035156
2022-09-12,32.349998474121094
2022-09-13,31.25
2022-09-14,31.389999389648438
2022-09-15,31.170000076293945
2022-09-16,30.809999465942383
2022-09-19,31.010000228881836
2022-09-20,30.6200008392334
2022-09-21,30.18000030517578
2022-09-22,30.049999237060547
2022-09-23,29.459999084472656
2022-09-26,29.040000915527344
2022-09-27,28.899999618530273
2022-09-28,29.5
2022-09-29,29.020000457763672
2022-09-30,28.600000381469727
2022-10-03,29.389999389648438
2022-10-04,30.25
2022-10-05,30.170000076293945
2022-10-06,29.809999465942383
2022-10-07,29.229999542236328
2022-10-10,29.1200008392334
2022-10-11,29.079999923706055
2022-10-12,28.979999542236328
2022-10-13,29.860000610351562
2022-10-14,29.350000381469727
2022-10-17,29.889999389648438
2022-10-18,30.260000228881836
2022-10-19,30.09000015258789
2022-10-20,29.829999923706055
2022-10-21,30.56999969482422
2022-10-24,30.940000534057617
