Date,VDIGX
2022-02-28,37.34000015258789
2022-03-01,36.81999969482422
2022-03-02,37.349998474121094
2022-03-03,37.36000061035156
2022-03-04,37.349998474121094
2022-03-07,36.47999954223633
2022-03-08,35.83000183105469
2022-03-09,36.52000045776367
2022-03-10,36.369998931884766
2022-03-11,36.119998931884766
2022-03-14,36.29999923706055
2022-03-15,36.97999954223633
2022-03-16,37.31999969482422
2022-03-17,37.70000076293945
2022-03-18,37.880001068115234
2022-03-21,37.90999984741211
2022-03-22,38.13999938964844
2022-03-23,37.720001220703125
2022-03-24,38.119998931884766
2022-03-25,38.43000030517578
2022-03-28,37.630001068115234
2022-03-29,38.02000045776367
2022-03-30,37.97999954223633
2022-03-31,37.4900016784668
2022-04-01,37.68000030517578
2022-04-04,37.61000061035156
2022-04-05,37.54999923706055
2022-04-06,37.59000015258789
2022-04-07,37.880001068115234
2022-04-08,37.86000061035156
2022-04-11,37.52000045776367
2022-04-12,37.40999984741211
2022-04-13,37.68000030517578
2022-04-14,37.58000183105469
2022-04-18,37.369998931884766
2022-04-19,37.88999938964844
2022-04-20,38.2599983215332
2022-04-21,37.900001525878906
2022-04-22,36.869998931884766
2022-04-25,37.11000061035156
2022-04-26,36.349998474121094
2022-04-27,36.58000183105469
2022-04-28,37.15999984741211
2022-04-29,36.11000061035156
2022-05-02,35.91999816894531
2022-05-03,35.93000030517578
2022-05-04,36.869998931884766
2022-05-05,35.91999816894531
2022-05-06,35.68000030517578
2022-05-09,34.939998626708984
2022-05-10,34.810001373291016
2022-05-11,34.560001373291016
2022-05-12,34.61000061035156
2022-05-13,35.130001068115234
2022-05-16,35.189998626708984
2022-05-17,35.65999984741211
2022-05-18,34.540000915527344
2022-05-19,34.27000045776367
2022-05-20,34.29999923706055
2022-05-23,34.95000076293945
2022-05-24,35.09000015258789
2022-05-25,35.20000076293945
2022-05-26,35.66999816894531
2022-05-27,36.2400016784668
2022-05-31,35.970001220703125
2022-06-01,35.619998931884766
2022-06-02,36.2599983215332
2022-06-03,35.90999984741211
2022-06-06,35.900001525878906
2022-06-07,36.209999084472656
2022-06-08,35.72999954223633
2022-06-09,35.04999923706055
2022-06-10,34.380001068115234
2022-06-13,33.540000915527344
2022-06-14,33.22999954223633
2022-06-15,33.54999923706055
2022-06-16,32.7599983215332
2022-06-17,32.54999923706055
2022-06-21,33.2599983215332
2022-06-22,33.36000061035156
2022-06-23,33.63999938964844
2022-06-24,34.5
2022-06-27,34.380001068115234
2022-06-28,33.7400016784668
2022-06-29,33.79999923706055
2022-06-30,33.83000183105469
2022-07-01,34.20000076293945
2022-07-05,33.88999938964844
2022-07-06,34.119998931884766
2022-07-07,34.2599983215332
2022-07-08,34.220001220703125
2022-07-11,34.06999969482422
2022-07-12,33.79999923706055
2022-07-13,33.65999984741211
2022-07-14,33.5
2022-07-15,34.029998779296875
2022-07-18,33.61000061035156
2022-07-19,34.439998626708984
2022-07-20,34.36000061035156
2022-07-21,34.66999816894531
2022-07-22,34.65999984741211
2022-07-25,34.779998779296875
2022-07-26,34.54999923706055
2022-07-27,35.029998779296875
2022-07-28,35.459999084472656
2022-07-29,35.66999816894531
2022-08-01,35.689998626708984
2022-08-02,35.43000030517578
2022-08-03,35.86000061035156
2022-08-04,35.84000015258789
2022-08-05,35.849998474121094
2022-08-08,35.81999969482422
2022-08-09,35.720001220703125
2022-08-10,36.25
2022-08-11,36.18000030517578
2022-08-12,36.68000030517578
2022-08-15,36.91999816894531
2022-08-16,37.06999969482422
2022-08-17,36.970001220703125
2022-08-18,36.9900016784668
2022-08-19,36.75
2022-08-22,36.099998474121094
2022-08-23,35.849998474121094
2022-08-24,35.93000030517578
2022-08-25,36.349998474121094
2022-08-26,35.310001373291016
2022-08-29,35.150001525878906
2022-08-30,34.79999923706055
2022-08-31,34.58000183105469
2022-09-01,34.79999923706055
2022-09-02,34.400001525878906
2022-09-06,34.34000015258789
2022-09-07,34.97999954223633
2022-09-08,35.130001068115234
2022-09-09,35.5099983215332
2022-09-12,35.75
2022-09-13,34.5
2022-09-14,34.560001373291016
2022-09-15,34.279998779296875
2022-09-16,34.13999938964844
2022-09-19,34.349998474121094
2022-09-20,33.970001220703125
2022-09-21,33.459999084472656
2022-09-22,33.2599983215332
2022-09-23,32.86000061035156
2022-09-26,32.52000045776367
2022-09-27,32.31999969482422
2022-09-28,32.86000061035156
2022-09-29,32.43000030517578
2022-09-30,31.969999313354492
2022-10-03,32.709999084472656
2022-10-04,33.4900016784668
2022-10-05,33.43000030517578
2022-10-06,32.959999084472656
2022-10-07,32.38999938964844
2022-10-10,32.279998779296875
2022-10-11,32.290000915527344
2022-10-12,32.119998931884766
2022-10-13,32.90999984741211
2022-10-14,32.22999954223633
2022-10-17,32.959999084472656
2022-10-18,33.45000076293945
2022-10-19,33.2599983215332
2022-10-20,32.880001068115234
2022-10-21,33.540000915527344
2022-10-24,33.939998626708984
2022-10-25,34.29999923706055
2022-10-26,34.47999954223633
2022-10-27,34.5099983215332
2022-10-28,35.31999969482422
2022-10-31,35.13999938964844
2022-11-01,34.959999084472656
2022-11-02,34.22999954223633
2022-11-03,33.97999954223633
2022-11-04,34.43000030517578
2022-11-07,34.79999923706055
2022-11-08,34.97999954223633
2022-11-09,34.5
2022-11-10,35.900001525878906
2022-11-11,35.720001220703125
2022-11-14,35.47999954223633
2022-11-15,35.72999954223633
2022-11-16,35.79999923706055
2022-11-17,35.7599983215332
2022-11-18,36.02000045776367
2022-11-21,36.13999938964844
2022-11-22,36.41999816894531
