Date,RSLCX
2022-02-28,64.2699966430664
2022-03-01,63.16999816894531
2022-03-02,64.08999633789062
2022-03-03,62.63999938964844
2022-03-04,60.95000076293945
2022-03-07,58.720001220703125
2022-03-08,58.810001373291016
2022-03-09,61.09000015258789
2022-03-10,60.56999969482422
2022-03-11,59.61000061035156
2022-03-14,58.58000183105469
2022-03-15,59.22999954223633
2022-03-16,61.7400016784668
2022-03-17,62.7599983215332
2022-03-18,63.869998931884766
2022-03-21,63.060001373291016
2022-03-22,63.65999984741211
2022-03-23,62.77000045776367
2022-03-24,63.18000030517578
2022-03-25,62.75
2022-03-28,62.790000915527344
2022-03-29,64.7300033569336
2022-03-30,64.12999725341797
2022-03-31,63.25
2022-04-01,63.84000015258789
2022-04-04,64.54000091552734
2022-04-05,63.56999969482422
2022-04-06,62.349998474121094
2022-04-07,62.15999984741211
2022-04-08,61.75
2022-04-11,60.9900016784668
2022-04-12,60.84000015258789
2022-04-13,61.83000183105469
2022-04-14,61.27000045776367
2022-04-18,60.70000076293945
2022-04-19,61.59000015258789
2022-04-20,61.58000183105469
2022-04-21,60.439998626708984
2022-04-22,59.06999969482422
2022-04-25,59.349998474121094
2022-04-26,57.400001525878906
2022-04-27,57.310001373291016
2022-04-28,58.16999816894531
2022-04-29,57.119998931884766
2022-05-02,57.40999984741211
2022-05-03,57.47999954223633
2022-05-04,58.619998931884766
2022-05-05,56.290000915527344
2022-05-06,55.08000183105469
2022-05-09,52.81999969482422
2022-05-10,52.90999984741211
2022-05-11,52.150001525878906
2022-05-12,52.4900016784668
2022-05-13,54.47999954223633
2022-05-16,54.04999923706055
2022-05-17,55.25
2022-05-18,53.5099983215332
2022-05-19,54.0099983215332
2022-05-20,54.25
2022-05-23,54.84000015258789
2022-05-24,53.84000015258789
2022-05-25,54.220001220703125
2022-05-26,55.22999954223633
2022-05-27,56.43000030517578
2022-05-31,56.2400016784668
2022-06-01,55.58000183105469
2022-06-02,56.95000076293945
2022-06-03,56.189998626708984
2022-06-06,56.41999816894531
2022-06-07,56.66999816894531
2022-06-08,56.16999816894531
2022-06-09,54.90999984741211
2022-06-10,53.45000076293945
