Date,FBCKX
2024-10-14,215.97000122070312
2024-10-15,213.8800048828125
2024-10-16,214.8000030517578
2024-10-17,214.63999938964844
2024-10-18,216.24000549316406
2024-10-21,217.47000122070312
2024-10-22,217.5
2024-10-23,214.0399932861328
2024-10-24,214.85000610351562
2024-10-25,216.10000610351562
2024-10-28,216.85000610351562
2024-10-29,218.50999450683594
2024-10-30,217.60000610351562
2024-10-31,211.22999572753906
2024-11-01,213.52000427246094
2024-11-04,212.60000610351562
2024-11-05,215.9600067138672
2024-11-06,220.6199951171875
2024-11-07,225.55999755859375
2024-11-08,225.72999572753906
2024-11-11,225.13999938964844
2024-11-12,225.49000549316406
2024-11-13,224.66000366210938
2024-11-14,223.72999572753906
2024-11-15,219.19000244140625
2024-11-18,219.99000549316406
2024-11-19,223.02999877929688
2024-11-20,222.80999755859375
2024-11-21,223.0800018310547
