Date,RERCX
2022-02-28,55.88999938964844
2022-03-01,54.68000030517578
2022-03-02,55.2599983215332
2022-03-03,54.13999938964844
2022-03-04,52.31999969482422
2022-03-07,50.369998931884766
2022-03-08,50.43000030517578
2022-03-09,52.58000183105469
2022-03-10,52.04999923706055
2022-03-11,51.310001373291016
2022-03-14,51.08000183105469
2022-03-15,51.33000183105469
2022-03-16,53.709999084472656
2022-03-17,54.650001525878906
2022-03-18,55.380001068115234
2022-03-21,54.90999984741211
2022-03-22,55.54999923706055
2022-03-23,54.9900016784668
2022-03-24,55.43000030517578
2022-03-25,54.97999954223633
2022-03-28,55.18000030517578
2022-03-29,56.52000045776367
2022-03-30,56.25
2022-03-31,55.31999969482422
2022-04-01,55.869998931884766
2022-04-04,56.63999938964844
2022-04-05,55.70000076293945
2022-04-06,54.75
2022-04-07,54.70000076293945
2022-04-08,54.52000045776367
2022-04-11,53.70000076293945
2022-04-12,53.40999984741211
2022-04-13,54.11000061035156
2022-04-14,53.68000030517578
2022-04-18,53.36000061035156
2022-04-19,53.540000915527344
2022-04-20,53.790000915527344
2022-04-21,53.08000183105469
2022-04-22,52.11000061035156
2022-04-25,51.84000015258789
2022-04-26,50.4900016784668
2022-04-27,50.880001068115234
2022-04-28,51.75
2022-04-29,51.130001068115234
2022-05-02,51.08000183105469
2022-05-03,51.29999923706055
2022-05-04,51.95000076293945
2022-05-05,50.369998931884766
2022-05-06,49.47999954223633
2022-05-09,47.7400016784668
2022-05-10,48.029998779296875
2022-05-11,47.869998931884766
2022-05-12,47.790000915527344
2022-05-13,49.2400016784668
2022-05-16,49.16999816894531
2022-05-17,50.2400016784668
2022-05-18,49.08000183105469
2022-05-19,49.43000030517578
2022-05-20,49.90999984741211
2022-05-23,50.5099983215332
2022-05-24,50.0099983215332
2022-05-25,50.06999969482422
2022-05-26,50.65999984741211
2022-05-27,51.599998474121094
2022-05-31,51.72999954223633
2022-06-01,51.08000183105469
2022-06-02,52.209999084472656
2022-06-03,51.52000045776367
2022-06-06,51.81999969482422
2022-06-07,52.040000915527344
2022-06-08,51.689998626708984
2022-06-09,50.599998474121094
2022-06-10,49.41999816894531
2022-06-13,47.310001373291016
2022-06-14,46.900001525878906
2022-06-15,47.65999984741211
2022-06-16,46.290000915527344
2022-06-17,46.310001373291016
2022-06-21,47.099998474121094
2022-06-22,46.560001373291016
2022-06-23,46.439998626708984
2022-06-24,47.81999969482422
2022-06-27,47.84000015258789
2022-06-28,47.5
2022-06-29,47.2400016784668
2022-06-30,46.869998931884766
2022-07-01,46.810001373291016
2022-07-05,46.290000915527344
2022-07-06,46.13999938964844
2022-07-07,46.97999954223633
2022-07-08,46.9900016784668
2022-07-11,46.15999984741211
2022-07-12,45.93000030517578
2022-07-13,45.91999816894531
2022-07-14,45.58000183105469
2022-07-15,46.25
2022-07-18,46.470001220703125
2022-07-19,47.540000915527344
2022-07-20,47.560001373291016
2022-07-21,48.04999923706055
2022-07-22,47.720001220703125
2022-07-25,47.790000915527344
2022-07-26,47.29999923706055
2022-07-27,48.25
2022-07-28,48.7400016784668
2022-07-29,49.20000076293945
2022-08-01,49.20000076293945
2022-08-02,48.560001373291016
2022-08-03,48.880001068115234
2022-08-04,49.290000915527344
2022-08-05,49.04999923706055
2022-08-08,49.290000915527344
2022-08-09,48.77000045776367
2022-08-10,49.720001220703125
2022-08-11,49.970001220703125
2022-08-12,50.52000045776367
2022-08-15,50.33000183105469
2022-08-16,50.04999923706055
2022-08-17,49.75
2022-08-18,49.52000045776367
2022-08-19,48.77000045776367
2022-08-22,47.900001525878906
2022-08-23,48.04999923706055
2022-08-24,48.16999816894531
2022-08-25,48.81999969482422
2022-08-26,47.68000030517578
2022-08-29,47.43000030517578
2022-08-30,47.150001525878906
2022-08-31,46.90999984741211
2022-09-01,46.27000045776367
2022-09-02,46.130001068115234
2022-09-06,45.91999816894531
2022-09-07,46.220001220703125
2022-09-08,46.43000030517578
2022-09-09,47.459999084472656
2022-09-12,48.150001525878906
2022-09-13,46.369998931884766
2022-09-14,46.54999923706055
2022-09-15,46.04999923706055
2022-09-16,45.540000915527344
2022-09-19,45.79999923706055
2022-09-20,45.25
2022-09-21,44.4900016784668
2022-09-22,43.939998626708984
2022-09-23,42.79999923706055
2022-09-26,42.349998474121094
2022-09-27,42.290000915527344
2022-09-28,43.09000015258789
2022-09-29,42.36000061035156
2022-09-30,42.41999816894531
2022-10-03,43.40999984741211
2022-10-04,45.060001373291016
2022-10-05,44.900001525878906
2022-10-06,44.400001525878906
2022-10-07,43.54999923706055
2022-10-10,43.22999954223633
2022-10-11,42.619998931884766
2022-10-12,42.619998931884766
2022-10-13,43.130001068115234
2022-10-14,42.47999954223633
2022-10-17,43.5
2022-10-18,43.81999969482422
2022-10-19,43.290000915527344
2022-10-20,43.22999954223633
2022-10-21,43.93000030517578
2022-10-24,43.63999938964844
2022-10-25,44.43000030517578
2022-10-26,44.88999938964844
2022-10-27,44.560001373291016
2022-10-28,44.810001373291016
2022-10-31,44.5
2022-11-01,44.959999084472656
2022-11-02,44.369998931884766
2022-11-03,44.060001373291016
2022-11-04,45.4900016784668
2022-11-07,45.880001068115234
2022-11-08,46.290000915527344
2022-11-09,45.52000045776367
2022-11-10,47.720001220703125
2022-11-11,48.869998931884766
2022-11-14,48.439998626708984
2022-11-15,49.13999938964844
2022-11-16,48.70000076293945
2022-11-17,48.529998779296875
2022-11-18,48.529998779296875
2022-11-21,48.029998779296875
2022-11-22,48.56999969482422
2022-11-23,48.970001220703125
