Date,RGAEX
2022-02-28,63.709999084472656
2022-03-01,62.599998474121094
2022-03-02,63.529998779296875
2022-03-03,62.290000915527344
2022-03-04,61.27000045776367
2022-03-07,58.869998931884766
2022-03-08,58.849998474121094
2022-03-09,61.0
2022-03-10,60.66999816894531
2022-03-11,59.369998931884766
2022-03-14,58.380001068115234
2022-03-15,59.869998931884766
2022-03-16,62.119998931884766
2022-03-17,63.27000045776367
2022-03-18,64.55000305175781
2022-03-21,64.16000366210938
2022-03-22,65.41000366210938
2022-03-23,64.5199966430664
2022-03-24,65.41000366210938
2022-03-25,65.25
2022-03-28,66.12999725341797
2022-03-29,67.31999969482422
2022-03-30,66.6500015258789
2022-03-31,65.5999984741211
2022-04-01,65.97000122070312
2022-04-04,67.08000183105469
2022-04-05,65.70999908447266
2022-04-06,64.37000274658203
2022-04-07,64.52999877929688
2022-04-08,64.05000305175781
2022-04-11,62.84000015258789
2022-04-12,62.619998931884766
2022-04-13,63.849998474121094
2022-04-14,62.79999923706055
2022-04-18,62.689998626708984
2022-04-19,63.93000030517578
2022-04-20,62.90999984741211
2022-04-21,61.68000030517578
2022-04-22,60.18000030517578
2022-04-25,60.540000915527344
2022-04-26,58.099998474121094
2022-04-27,58.209999084472656
2022-04-28,59.75
2022-04-29,57.720001220703125
2022-05-02,58.459999084472656
2022-05-03,58.599998474121094
2022-05-04,60.29999923706055
2022-05-05,57.58000183105469
2022-05-06,56.7599983215332
2022-05-09,53.939998626708984
2022-05-10,54.31999969482422
2022-05-11,53.060001373291016
2022-05-12,53.22999954223633
2022-05-13,55.220001220703125
2022-05-16,54.540000915527344
2022-05-17,55.84000015258789
2022-05-18,53.529998779296875
2022-05-19,53.68000030517578
2022-05-20,53.470001220703125
2022-05-23,54.13999938964844
2022-05-24,52.90999984741211
2022-05-25,53.720001220703125
2022-05-26,55.150001525878906
2022-05-27,56.81999969482422
2022-05-31,56.5099983215332
2022-06-01,55.9900016784668
2022-06-02,57.40999984741211
2022-06-03,56.13999938964844
2022-06-06,56.40999984741211
2022-06-07,56.900001525878906
2022-06-08,56.4900016784668
2022-06-09,55.08000183105469
2022-06-10,53.34000015258789
2022-06-13,50.880001068115234
2022-06-14,50.77000045776367
2022-06-15,51.79999923706055
2022-06-16,49.689998626708984
2022-06-17,50.06999969482422
2022-06-21,51.29999923706055
2022-06-22,51.18000030517578
2022-06-23,51.68000030517578
2022-06-24,53.369998931884766
2022-06-27,53.18000030517578
2022-06-28,52.02000045776367
2022-06-29,51.84000015258789
2022-06-30,51.18000030517578
2022-07-01,51.619998931884766
2022-07-05,52.04999923706055
2022-07-06,52.040000915527344
2022-07-07,53.130001068115234
2022-07-08,53.130001068115234
2022-07-11,52.08000183105469
2022-07-12,51.529998779296875
2022-07-13,51.38999938964844
2022-07-14,51.06999969482422
2022-07-15,52.130001068115234
2022-07-18,51.97999954223633
2022-07-19,53.4900016784668
2022-07-20,54.099998474121094
2022-07-21,54.900001525878906
2022-07-22,53.959999084472656
2022-07-25,53.959999084472656
2022-07-26,53.02000045776367
2022-07-27,54.79999923706055
