Date,GFACX
2022-02-28,57.209999084472656
2022-03-01,56.209999084472656
2022-03-02,57.04999923706055
2022-03-03,55.93000030517578
2022-03-04,55.0099983215332
2022-03-07,52.86000061035156
2022-03-08,52.84000015258789
2022-03-09,54.77000045776367
2022-03-10,54.459999084472656
2022-03-11,53.29999923706055
2022-03-14,52.40999984741211
2022-03-15,53.75
2022-03-16,55.7599983215332
2022-03-17,56.790000915527344
2022-03-18,57.95000076293945
2022-03-21,57.59000015258789
2022-03-22,58.709999084472656
2022-03-23,57.90999984741211
2022-03-24,58.70000076293945
2022-03-25,58.560001373291016
2022-03-28,59.349998474121094
2022-03-29,60.40999984741211
2022-03-30,59.810001373291016
2022-03-31,58.869998931884766
2022-04-01,59.20000076293945
2022-04-04,60.189998626708984
2022-04-05,58.959999084472656
2022-04-06,57.7599983215332
2022-04-07,57.900001525878906
2022-04-08,57.470001220703125
2022-04-11,56.380001068115234
2022-04-12,56.18000030517578
2022-04-13,57.290000915527344
2022-04-14,56.34000015258789
2022-04-18,56.22999954223633
2022-04-19,57.349998474121094
2022-04-20,56.43000030517578
2022-04-21,55.33000183105469
2022-04-22,53.97999954223633
2022-04-25,54.29999923706055
2022-04-26,52.11000061035156
2022-04-27,52.209999084472656
2022-04-28,53.59000015258789
2022-04-29,51.7599983215332
2022-05-02,52.43000030517578
2022-05-03,52.54999923706055
2022-05-04,54.08000183105469
2022-05-05,51.630001068115234
2022-05-06,50.900001525878906
2022-05-09,48.369998931884766
2022-05-10,48.709999084472656
2022-05-11,47.58000183105469
2022-05-12,47.72999954223633
2022-05-13,49.5099983215332
2022-05-16,48.900001525878906
2022-05-17,50.060001373291016
2022-05-18,47.9900016784668
2022-05-19,48.130001068115234
2022-05-20,47.93000030517578
2022-05-23,48.529998779296875
2022-05-24,47.43000030517578
2022-05-25,48.15999984741211
2022-05-26,49.439998626708984
2022-05-27,50.93000030517578
2022-05-31,50.650001525878906
2022-06-01,50.18000030517578
2022-06-02,51.45000076293945
2022-06-03,50.31999969482422
2022-06-06,50.560001373291016
2022-06-07,50.9900016784668
2022-06-08,50.619998931884766
2022-06-09,49.36000061035156
2022-06-10,47.79999923706055
2022-06-13,45.59000015258789
2022-06-14,45.5
2022-06-15,46.41999816894531
2022-06-16,44.52000045776367
2022-06-17,44.86000061035156
2022-06-21,45.959999084472656
2022-06-22,45.849998474121094
2022-06-23,46.29999923706055
2022-06-24,47.810001373291016
2022-06-27,47.630001068115234
2022-06-28,46.599998474121094
2022-06-29,46.43000030517578
2022-06-30,45.84000015258789
2022-07-01,46.2400016784668
2022-07-05,46.619998931884766
2022-07-06,46.61000061035156
2022-07-07,47.59000015258789
2022-07-08,47.58000183105469
2022-07-11,46.63999938964844
2022-07-12,46.13999938964844
2022-07-13,46.02000045776367
2022-07-14,45.7400016784668
2022-07-15,46.68000030517578
2022-07-18,46.54999923706055
2022-07-19,47.88999938964844
2022-07-20,48.439998626708984
2022-07-21,49.15999984741211
2022-07-22,48.31999969482422
2022-07-25,48.310001373291016
2022-07-26,47.470001220703125
2022-07-27,49.060001373291016
2022-07-28,49.63999938964844
2022-07-29,50.47999954223633
2022-08-01,50.36000061035156
2022-08-02,50.22999954223633
2022-08-03,51.20000076293945
2022-08-04,51.38999938964844
2022-08-05,51.220001220703125
2022-08-08,51.36000061035156
2022-08-09,50.79999923706055
2022-08-10,52.22999954223633
2022-08-11,52.099998474121094
2022-08-12,53.06999969482422
2022-08-15,53.209999084472656
2022-08-16,53.16999816894531
2022-08-17,52.52000045776367
2022-08-18,52.630001068115234
2022-08-19,51.689998626708984
2022-08-22,50.560001373291016
2022-08-23,50.619998931884766
2022-08-24,50.900001525878906
2022-08-25,51.68000030517578
2022-08-26,49.91999816894531
2022-08-29,49.56999969482422
2022-08-30,49.0099983215332
2022-08-31,48.72999954223633
2022-09-01,48.61000061035156
2022-09-02,48.16999816894531
2022-09-06,47.95000076293945
2022-09-07,48.86000061035156
2022-09-08,49.400001525878906
2022-09-09,50.439998626708984
2022-09-12,50.95000076293945
2022-09-13,48.77000045776367
2022-09-14,49.119998931884766
2022-09-15,48.72999954223633
2022-09-16,48.20000076293945
2022-09-19,48.52000045776367
2022-09-20,47.91999816894531
2022-09-21,47.0099983215332
2022-09-22,46.310001373291016
2022-09-23,45.33000183105469
2022-09-26,44.88999938964844
2022-09-27,45.0099983215332
2022-09-28,46.130001068115234
2022-09-29,45.04999923706055
2022-09-30,44.52000045776367
2022-10-03,45.349998474121094
2022-10-04,47.029998779296875
2022-10-05,46.900001525878906
2022-10-06,46.61000061035156
2022-10-07,45.13999938964844
2022-10-10,44.630001068115234
2022-10-11,44.040000915527344
2022-10-12,44.06999969482422
2022-10-13,44.869998931884766
2022-10-14,43.56999969482422
2022-10-17,44.939998626708984
2022-10-18,45.380001068115234
2022-10-19,45.060001373291016
2022-10-20,44.72999954223633
2022-10-21,45.7400016784668
2022-10-24,46.0
2022-10-25,47.0099983215332
2022-10-26,46.56999969482422
2022-10-27,46.09000015258789
2022-10-28,46.79999923706055
2022-10-31,46.52000045776367
2022-11-01,46.349998474121094
2022-11-02,44.95000076293945
2022-11-03,44.599998474121094
2022-11-04,45.16999816894531
2022-11-07,45.459999084472656
2022-11-08,45.689998626708984
2022-11-09,44.560001373291016
2022-11-10,47.31999969482422
2022-11-11,48.060001373291016
2022-11-14,47.5
2022-11-15,48.130001068115234
2022-11-16,47.470001220703125
2022-11-17,47.06999969482422
2022-11-18,47.119998931884766
2022-11-21,46.58000183105469
2022-11-22,47.16999816894531
