Date,AMFCX
2022-02-28,50.5099983215332
2022-03-01,49.9900016784668
2022-03-02,50.84000015258789
2022-03-03,50.91999816894531
2022-03-04,51.0
2022-03-07,50.150001525878906
2022-03-08,49.5099983215332
2022-03-09,50.22999954223633
2022-03-10,50.13999938964844
2022-03-11,49.7400016784668
2022-03-14,49.7599983215332
2022-03-15,50.439998626708984
2022-03-16,50.810001373291016
2022-03-17,51.40999984741211
2022-03-18,51.56999969482422
2022-03-21,51.72999954223633
2022-03-22,51.939998626708984
2022-03-23,51.5099983215332
2022-03-24,51.9900016784668
2022-03-25,52.380001068115234
2022-03-28,52.45000076293945
2022-03-29,52.81999969482422
2022-03-30,52.75
2022-03-31,52.08000183105469
2022-04-01,52.290000915527344
2022-04-04,52.33000183105469
2022-04-05,52.099998474121094
2022-04-06,52.209999084472656
2022-04-07,52.5099983215332
2022-04-08,52.70000076293945
2022-04-11,52.099998474121094
2022-04-12,51.95000076293945
2022-04-13,52.20000076293945
2022-04-14,51.939998626708984
2022-04-18,51.81999969482422
2022-04-19,52.279998779296875
2022-04-20,52.72999954223633
2022-04-21,52.18000030517578
2022-04-22,51.0099983215332
2022-04-25,51.08000183105469
2022-04-26,50.209999084472656
2022-04-27,50.459999084472656
2022-04-28,51.150001525878906
2022-04-29,49.68000030517578
2022-05-02,49.650001525878906
2022-05-03,49.95000076293945
2022-05-04,51.130001068115234
2022-05-05,50.0
2022-05-06,50.029998779296875
2022-05-09,48.959999084472656
2022-05-10,48.86000061035156
2022-05-11,48.54999923706055
2022-05-12,48.599998474121094
2022-05-13,49.279998779296875
2022-05-16,49.43000030517578
2022-05-17,50.119998931884766
2022-05-18,48.68000030517578
2022-05-19,48.40999984741211
2022-05-20,48.56999969482422
2022-05-23,49.25
2022-05-24,49.459999084472656
2022-05-25,49.709999084472656
2022-05-26,50.209999084472656
2022-05-27,50.959999084472656
2022-05-31,50.61000061035156
2022-06-01,50.310001373291016
2022-06-02,50.810001373291016
2022-06-03,50.41999816894531
2022-06-06,50.439998626708984
2022-06-07,50.959999084472656
2022-06-08,50.369998931884766
2022-06-09,49.439998626708984
2022-06-10,48.59000015258789
2022-06-13,47.220001220703125
2022-06-14,46.779998779296875
2022-06-15,46.9900016784668
2022-06-16,45.869998931884766
2022-06-17,45.70000076293945
2022-06-21,46.7400016784668
2022-06-22,46.720001220703125
2022-06-23,46.91999816894531
2022-06-24,47.97999954223633
2022-06-27,48.040000915527344
2022-06-28,47.61000061035156
2022-06-29,47.61000061035156
2022-06-30,47.5
2022-07-01,47.939998626708984
2022-07-05,47.369998931884766
2022-07-06,47.5
2022-07-07,47.84000015258789
2022-07-08,47.810001373291016
2022-07-11,47.599998474121094
2022-07-12,47.220001220703125
2022-07-13,46.9900016784668
2022-07-14,46.689998626708984
2022-07-15,47.380001068115234
2022-07-18,47.0
2022-07-19,47.970001220703125
2022-07-20,47.900001525878906
2022-07-21,48.130001068115234
2022-07-22,48.040000915527344
2022-07-25,48.29999923706055
2022-07-26,48.09000015258789
2022-07-27,48.66999816894531
2022-07-28,49.119998931884766
2022-07-29,49.33000183105469
2022-08-01,49.15999984741211
2022-08-02,48.88999938964844
2022-08-03,49.31999969482422
2022-08-04,49.150001525878906
2022-08-05,49.220001220703125
2022-08-08,49.2400016784668
2022-08-09,49.290000915527344
2022-08-10,49.95000076293945
2022-08-11,50.02000045776367
2022-08-12,50.689998626708984
2022-08-15,50.84000015258789
2022-08-16,50.9900016784668
2022-08-17,50.75
2022-08-18,50.83000183105469
2022-08-19,50.52000045776367
2022-08-22,49.7599983215332
2022-08-23,49.599998474121094
2022-08-24,49.709999084472656
2022-08-25,50.18000030517578
2022-08-26,49.0
2022-08-29,48.79999923706055
2022-08-30,48.290000915527344
2022-08-31,48.0
2022-09-01,48.209999084472656
2022-09-02,47.790000915527344
2022-09-06,47.630001068115234
2022-09-07,48.33000183105469
2022-09-08,48.59000015258789
2022-09-09,49.11000061035156
2022-09-12,49.540000915527344
2022-09-13,47.939998626708984
2022-09-14,48.029998779296875
2022-09-15,47.63999938964844
2022-09-16,47.45000076293945
2022-09-19,47.66999816894531
2022-09-20,47.18000030517578
2022-09-21,46.619998931884766
2022-09-22,46.41999816894531
2022-09-23,45.689998626708984
2022-09-26,45.119998931884766
2022-09-27,44.88999938964844
2022-09-28,45.65999984741211
2022-09-29,44.95000076293945
2022-09-30,44.349998474121094
2022-10-03,45.5
2022-10-04,46.65999984741211
2022-10-05,46.4900016784668
2022-10-06,45.84000015258789
2022-10-07,45.02000045776367
2022-10-10,44.83000183105469
2022-10-11,44.72999954223633
2022-10-12,44.470001220703125
2022-10-13,45.61000061035156
2022-10-14,44.79999923706055
2022-10-17,45.630001068115234
2022-10-18,46.130001068115234
2022-10-19,45.84000015258789
2022-10-20,45.41999816894531
2022-10-21,46.29999923706055
2022-10-24,46.75
2022-10-25,47.15999984741211
2022-10-26,47.29999923706055
2022-10-27,47.380001068115234
2022-10-28,48.36000061035156
2022-10-31,48.130001068115234
2022-11-01,48.130001068115234
2022-11-02,47.439998626708984
2022-11-03,47.2400016784668
2022-11-04,47.900001525878906
2022-11-07,48.310001373291016
2022-11-08,48.58000183105469
2022-11-09,47.93000030517578
2022-11-10,49.650001525878906
2022-11-11,49.63999938964844
2022-11-14,49.290000915527344
2022-11-15,49.54999923706055
2022-11-16,49.369998931884766
2022-11-17,49.29999923706055
2022-11-18,49.630001068115234
2022-11-21,49.72999954223633
2022-11-22,50.2599983215332
2022-11-23,50.43000030517578
2022-11-25,50.560001373291016
