Date,VGSIX
2022-02-28,34.060001373291016
2022-03-01,33.900001525878906
2022-03-02,34.54999923706055
2022-03-03,34.810001373291016
2022-03-04,34.97999954223633
2022-03-07,34.2599983215332
2022-03-08,34.099998474121094
2022-03-09,34.63999938964844
2022-03-10,34.7400016784668
2022-03-11,34.43000030517578
2022-03-14,34.15999984741211
2022-03-15,34.40999984741211
2022-03-16,34.810001373291016
2022-03-17,35.290000915527344
2022-03-18,35.36000061035156
2022-03-21,35.13999938964844
2022-03-22,35.04999923706055
2022-03-23,34.650001525878906
2022-03-24,34.869998931884766
2022-03-25,35.290000915527344
2022-03-28,35.65999984741211
2022-03-29,36.709999084472656
2022-03-30,36.459999084472656
2022-03-31,36.02000045776367
2022-04-01,36.709999084472656
2022-04-04,36.52000045776367
2022-04-05,36.36000061035156
2022-04-06,36.779998779296875
2022-04-07,36.41999816894531
2022-04-08,36.47999954223633
2022-04-11,36.09000015258789
2022-04-12,36.029998779296875
2022-04-13,36.29999923706055
2022-04-14,36.130001068115234
2022-04-18,35.97999954223633
2022-04-19,36.779998779296875
2022-04-20,37.36000061035156
2022-04-21,37.11000061035156
2022-04-22,36.470001220703125
2022-04-25,36.369998931884766
2022-04-26,35.779998779296875
2022-04-27,35.529998779296875
2022-04-28,36.20000076293945
2022-04-29,34.5099983215332
2022-05-02,33.689998626708984
2022-05-03,34.130001068115234
2022-05-04,34.5099983215332
2022-05-05,33.58000183105469
2022-05-06,33.20000076293945
2022-05-09,31.739999771118164
2022-05-10,31.170000076293945
2022-05-11,31.079999923706055
2022-05-12,31.329999923706055
2022-05-13,32.150001525878906
2022-05-16,31.950000762939453
2022-05-17,32.38999938964844
2022-05-18,31.43000030517578
2022-05-19,31.299999237060547
2022-05-20,31.510000228881836
2022-05-23,31.860000610351562
2022-05-24,32.13999938964844
2022-05-25,32.400001525878906
2022-05-26,32.45000076293945
2022-05-27,33.31999969482422
2022-05-31,32.90999984741211
2022-06-01,32.630001068115234
2022-06-02,33.09000015258789
2022-06-03,32.650001525878906
2022-06-06,32.560001373291016
2022-06-07,32.9900016784668
2022-06-08,32.2400016784668
2022-06-09,31.479999542236328
2022-06-10,30.770000457763672
2022-06-13,29.229999542236328
2022-06-14,28.989999771118164
2022-06-15,29.68000030517578
2022-06-16,28.90999984741211
2022-06-17,29.139999389648438
2022-06-21,29.549999237060547
2022-06-22,29.729999542236328
2022-06-23,30.299999237060547
