Date,MEIHX
2022-02-28,50.810001373291016
2022-03-01,49.959999084472656
2022-03-02,50.779998779296875
2022-03-03,50.810001373291016
2022-03-04,50.61000061035156
2022-03-07,49.4900016784668
2022-03-08,48.869998931884766
2022-03-09,49.880001068115234
2022-03-10,49.709999084472656
2022-03-11,49.349998474121094
2022-03-14,49.560001373291016
2022-03-15,50.34000015258789
2022-03-16,51.08000183105469
2022-03-17,51.72999954223633
2022-03-18,52.0
2022-03-21,52.0
2022-03-22,52.25
2022-03-23,51.61000061035156
2022-03-24,51.86000061035156
2022-03-25,52.290000915527344
2022-03-28,52.38999938964844
2022-03-29,52.90999984741211
2022-03-30,52.7400016784668
2022-03-31,51.93000030517578
2022-04-01,52.20000076293945
2022-04-04,52.09000015258789
2022-04-05,51.79999923706055
2022-04-06,51.88999938964844
2022-04-07,52.20000076293945
2022-04-08,52.279998779296875
2022-04-11,51.72999954223633
2022-04-12,51.470001220703125
2022-04-13,51.689998626708984
2022-04-14,51.45000076293945
2022-04-18,51.34000015258789
2022-04-19,51.880001068115234
2022-04-20,52.310001373291016
2022-04-21,51.790000915527344
2022-04-22,50.540000915527344
2022-04-25,50.7400016784668
2022-04-26,49.77000045776367
2022-04-27,49.869998931884766
2022-04-28,50.599998474121094
2022-04-29,49.130001068115234
2022-05-02,49.150001525878906
2022-05-03,49.47999954223633
2022-05-04,50.790000915527344
2022-05-05,49.650001525878906
2022-05-06,49.54999923706055
2022-05-09,48.52000045776367
2022-05-10,48.400001525878906
2022-05-11,48.060001373291016
2022-05-12,48.290000915527344
2022-05-13,48.88999938964844
2022-05-16,48.91999816894531
2022-05-17,49.79999923706055
2022-05-18,48.400001525878906
2022-05-19,48.150001525878906
2022-05-20,48.2400016784668
2022-05-23,49.09000015258789
2022-05-24,49.220001220703125
2022-05-25,49.45000076293945
2022-05-26,50.16999816894531
2022-05-27,51.029998779296875
2022-05-31,50.630001068115234
2022-06-01,50.040000915527344
2022-06-02,50.68000030517578
2022-06-03,50.16999816894531
2022-06-06,50.2599983215332
2022-06-07,50.72999954223633
2022-06-08,49.97999954223633
2022-06-09,48.9900016784668
2022-06-10,47.810001373291016
2022-06-13,46.470001220703125
2022-06-14,46.0099983215332
2022-06-15,46.380001068115234
2022-06-16,45.150001525878906
2022-06-17,44.970001220703125
2022-06-21,45.869998931884766
2022-06-22,45.939998626708984
2022-06-23,45.97999954223633
2022-06-24,47.290000915527344
2022-06-27,47.279998779296875
2022-06-28,46.720001220703125
2022-06-29,46.58000183105469
2022-06-30,46.54999923706055
2022-07-01,47.09000015258789
