Date,RFNEX
2022-02-28,69.9000015258789
2022-03-01,68.83000183105469
2022-03-02,70.08999633789062
2022-03-03,69.43000030517578
2022-03-04,68.66999816894531
2022-03-07,66.44999694824219
2022-03-08,66.19000244140625
2022-03-09,68.06999969482422
2022-03-10,67.79000091552734
2022-03-11,66.86000061035156
2022-03-14,66.2300033569336
2022-03-15,67.44999694824219
2022-03-16,68.98999786376953
2022-03-17,70.01000213623047
2022-03-18,70.8499984741211
2022-03-21,70.5999984741211
2022-03-22,71.33000183105469
2022-03-23,70.37999725341797
2022-03-24,71.31999969482422
2022-03-25,71.47000122070312
2022-03-28,71.69000244140625
2022-03-29,72.69999694824219
2022-03-30,72.23999786376953
2022-03-31,71.19000244140625
2022-04-01,71.62000274658203
2022-04-04,72.19000244140625
2022-04-05,71.19000244140625
2022-04-06,70.61000061035156
2022-04-07,70.81999969482422
2022-04-08,70.69000244140625
2022-04-11,69.80999755859375
2022-04-12,69.52999877929688
2022-04-13,70.37999725341797
2022-04-14,69.70999908447266
2022-04-18,69.62000274658203
2022-04-19,70.54000091552734
2022-04-20,70.44000244140625
2022-04-21,69.16999816894531
2022-04-22,67.38999938964844
2022-04-25,67.5199966430664
2022-04-26,65.7300033569336
2022-04-27,65.91000366210938
2022-04-28,67.33999633789062
2022-04-29,65.4000015258789
2022-05-02,65.80999755859375
2022-05-03,66.1500015258789
2022-05-04,67.83000183105469
2022-05-05,65.72000122070312
2022-05-06,65.19000244140625
2022-05-09,62.84000015258789
2022-05-10,63.02000045776367
2022-05-11,62.400001525878906
2022-05-12,62.5099983215332
2022-05-13,64.22000122070312
2022-05-16,64.16000366210938
2022-05-17,65.41999816894531
2022-05-18,63.099998474121094
2022-05-19,62.91999816894531
2022-05-20,63.04999923706055
2022-05-23,63.90999984741211
2022-05-24,63.5099983215332
2022-05-25,64.0999984741211
2022-05-26,65.30000305175781
2022-05-27,66.73999786376953
2022-05-31,66.22000122070312
2022-06-01,65.73999786376953
2022-06-02,66.83000183105469
2022-06-03,65.94000244140625
2022-06-06,66.13999938964844
2022-06-07,66.70999908447266
2022-06-08,65.94000244140625
2022-06-09,64.37999725341797
2022-06-10,62.630001068115234
2022-06-13,60.11000061035156
2022-06-14,59.790000915527344
2022-06-15,59.2599983215332
2022-06-16,57.310001373291016
2022-06-17,57.349998474121094
2022-06-21,58.56999969482422
2022-06-22,58.25
2022-06-23,58.52000045776367
2022-06-24,60.2400016784668
2022-06-27,60.27000045776367
2022-06-28,59.40999984741211
2022-06-29,59.150001525878906
2022-06-30,58.59000015258789
2022-07-01,59.040000915527344
2022-07-05,58.880001068115234
2022-07-06,58.959999084472656
2022-07-07,59.91999816894531
2022-07-08,59.849998474121094
2022-07-11,59.09000015258789
2022-07-12,58.66999816894531
2022-07-13,58.400001525878906
2022-07-14,58.0099983215332
2022-07-15,59.2599983215332
2022-07-18,59.09000015258789
2022-07-19,60.7599983215332
2022-07-20,60.9900016784668
2022-07-21,61.43000030517578
2022-07-22,60.81999969482422
2022-07-25,61.06999969482422
2022-07-26,60.45000076293945
2022-07-27,61.84000015258789
2022-07-28,62.400001525878906
2022-07-29,63.0
2022-08-01,62.83000183105469
2022-08-02,62.45000076293945
2022-08-03,63.22999954223633
2022-08-04,63.34000015258789
2022-08-05,63.380001068115234
2022-08-08,63.470001220703125
2022-08-09,63.09000015258789
2022-08-10,64.45999908447266
2022-08-11,64.51000213623047
2022-08-12,65.51000213623047
2022-08-15,65.5199966430664
2022-08-16,65.58999633789062
2022-08-17,64.97000122070312
2022-08-18,65.2300033569336
2022-08-19,64.38999938964844
2022-08-22,63.2400016784668
2022-08-23,63.16999816894531
2022-08-24,63.43000030517578
2022-08-25,64.30000305175781
2022-08-26,62.310001373291016
2022-08-29,61.959999084472656
2022-08-30,61.22999954223633
2022-08-31,60.880001068115234
2022-09-01,60.790000915527344
2022-09-02,60.40999984741211
2022-09-06,60.08000183105469
2022-09-07,61.02000045776367
2022-09-08,61.54999923706055
2022-09-09,62.59000015258789
2022-09-12,63.16999816894531
2022-09-13,60.689998626708984
2022-09-14,60.619998931884766
2022-09-15,60.119998931884766
2022-09-16,59.65999984741211
2022-09-19,60.0099983215332
2022-09-20,59.290000915527344
2022-09-21,58.31999969482422
2022-09-22,57.75
2022-09-23,56.5
2022-09-26,55.7599983215332
2022-09-27,55.68000030517578
2022-09-28,56.939998626708984
2022-09-29,55.959999084472656
2022-09-30,55.380001068115234
2022-10-03,56.970001220703125
2022-10-04,58.869998931884766
2022-10-05,58.779998779296875
2022-10-06,58.29999923706055
2022-10-07,56.880001068115234
2022-10-10,56.380001068115234
2022-10-11,55.91999816894531
2022-10-12,55.81999969482422
2022-10-13,57.0
2022-10-14,55.650001525878906
2022-10-17,56.95000076293945
2022-10-18,57.5099983215332
2022-10-19,57.130001068115234
2022-10-20,56.75
2022-10-21,58.02000045776367
2022-10-24,58.5
2022-10-25,59.54999923706055
2022-10-26,59.459999084472656
2022-10-27,59.15999984741211
2022-10-28,60.18000030517578
2022-10-31,59.84000015258789
2022-11-01,59.86000061035156
2022-11-02,58.58000183105469
2022-11-03,58.20000076293945
2022-11-04,59.290000915527344
2022-11-07,59.90999984741211
2022-11-08,60.349998474121094
2022-11-09,59.18000030517578
2022-11-10,62.220001220703125
2022-11-11,62.77000045776367
2022-11-14,62.16999816894531
2022-11-15,62.689998626708984
2022-11-16,62.119998931884766
2022-11-17,61.90999984741211
2022-11-18,62.20000076293945
2022-11-21,61.9900016784668
2022-11-22,62.7400016784668
