Date,VEXAX
2022-02-28,124.68000030517578
2022-03-01,122.44000244140625
2022-03-02,124.98999786376953
2022-03-03,122.5
2022-03-04,119.91999816894531
2022-03-07,115.58999633789062
2022-03-08,116.19000244140625
2022-03-09,120.05999755859375
2022-03-10,119.51000213623047
2022-03-11,117.16000366210938
2022-03-14,114.66999816894531
2022-03-15,116.66999816894531
2022-03-16,121.04000091552734
2022-03-17,123.4000015258789
2022-03-18,125.47000122070312
2022-03-21,124.41000366210938
2022-03-22,126.16999816894531
2022-03-23,124.19000244140625
2022-03-24,125.77999877929688
2022-03-25,125.43000030517578
2022-03-28,126.08999633789062
2022-03-29,129.57000732421875
2022-03-30,127.30000305175781
2022-03-31,125.63999938964844
2022-04-01,126.77999877929688
2022-04-04,127.7300033569336
2022-04-05,124.61000061035156
2022-04-06,122.33999633789062
2022-04-07,121.9800033569336
2022-04-08,121.12999725341797
2022-04-11,120.3499984741211
2022-04-12,120.27999877929688
2022-04-13,122.94999694824219
2022-04-14,121.44999694824219
2022-04-18,120.2699966430664
2022-04-19,123.25
2022-04-20,122.87999725341797
2022-04-21,119.61000061035156
2022-04-22,116.62000274658203
2022-04-25,117.87000274658203
2022-04-26,113.87000274658203
2022-04-27,113.5999984741211
2022-04-28,115.94999694824219
2022-04-29,112.3499984741211
2022-05-02,113.66999816894531
2022-05-03,114.08999633789062
2022-05-04,117.0999984741211
2022-05-05,111.86000061035156
2022-05-06,109.43000030517578
2022-05-09,103.88999938964844
2022-05-10,103.77999877929688
2022-05-11,101.06999969482422
2022-05-12,102.5
2022-05-13,106.69999694824219
2022-05-16,105.37999725341797
2022-05-17,108.43000030517578
2022-05-18,104.29000091552734
2022-05-19,105.0
2022-05-20,104.87000274658203
2022-05-23,105.88999938964844
2022-05-24,103.36000061035156
2022-05-25,105.68000030517578
2022-05-26,108.31999969482422
2022-05-27,111.44000244140625
2022-05-31,109.83999633789062
2022-06-01,108.98999786376953
2022-06-02,112.23999786376953
2022-06-03,110.75
2022-06-06,111.1500015258789
2022-06-07,112.7699966430664
