Date,RFNCX
2022-02-28,69.83999633789062
2022-03-01,68.7699966430664
2022-03-02,70.02999877929688
2022-03-03,69.37000274658203
2022-03-04,68.61000061035156
2022-03-07,66.38999938964844
2022-03-08,66.12999725341797
2022-03-09,68.01000213623047
2022-03-10,67.7300033569336
2022-03-11,66.79000091552734
2022-03-14,66.16999816894531
2022-03-15,67.38999938964844
2022-03-16,68.9800033569336
2022-03-17,70.0
2022-03-18,70.83999633789062
2022-03-21,70.58999633789062
2022-03-22,71.30999755859375
2022-03-23,70.36000061035156
2022-03-24,71.30999755859375
2022-03-25,71.44999694824219
2022-03-28,71.66999816894531
2022-03-29,72.68000030517578
2022-03-30,72.22000122070312
2022-03-31,71.16999816894531
2022-04-01,71.5999984741211
2022-04-04,72.16000366210938
2022-04-05,71.16000366210938
2022-04-06,70.58000183105469
2022-04-07,70.80000305175781
2022-04-08,70.66000366210938
2022-04-11,69.77999877929688
2022-04-12,69.51000213623047
2022-04-13,70.36000061035156
2022-04-14,69.68000030517578
2022-04-18,69.58999633789062
2022-04-19,70.51000213623047
2022-04-20,70.41000366210938
2022-04-21,69.13999938964844
2022-04-22,67.36000061035156
2022-04-25,67.48999786376953
2022-04-26,65.69999694824219
2022-04-27,65.87999725341797
2022-04-28,67.30000305175781
2022-04-29,65.36000061035156
2022-05-02,65.7699966430664
2022-05-03,66.12000274658203
2022-05-04,67.80000305175781
2022-05-05,65.68000030517578
2022-05-06,65.16000366210938
2022-05-09,62.79999923706055
2022-05-10,62.97999954223633
2022-05-11,62.36000061035156
2022-05-12,62.47999954223633
2022-05-13,64.18000030517578
2022-05-16,64.11000061035156
2022-05-17,65.37000274658203
2022-05-18,63.060001373291016
2022-05-19,62.869998931884766
2022-05-20,63.0
2022-05-23,63.86000061035156
2022-05-24,63.459999084472656
2022-05-25,64.05000305175781
2022-05-26,65.25
2022-05-27,66.69000244140625
2022-05-31,66.16999816894531
2022-06-01,65.69000244140625
2022-06-02,66.77999877929688
2022-06-03,65.88999938964844
2022-06-06,66.08999633789062
2022-06-07,66.66000366210938
2022-06-08,65.87999725341797
2022-06-09,64.33000183105469
2022-06-10,62.58000183105469
2022-06-13,60.04999923706055
2022-06-14,59.7400016784668
2022-06-15,59.2599983215332
2022-06-16,57.310001373291016
2022-06-17,57.34000015258789
2022-06-21,58.560001373291016
2022-06-22,58.2400016784668
2022-06-23,58.5099983215332
2022-06-24,60.22999954223633
2022-06-27,60.2599983215332
2022-06-28,59.400001525878906
2022-06-29,59.13999938964844
2022-06-30,58.58000183105469
2022-07-01,59.029998779296875
2022-07-05,58.86000061035156
2022-07-06,58.95000076293945
2022-07-07,59.90999984741211
2022-07-08,59.84000015258789
2022-07-11,59.06999969482422
