Date,FSKAX
2022-02-28,122.58999633789062
2022-03-01,120.63999938964844
2022-03-02,122.94000244140625
2022-03-03,122.01000213623047
2022-03-04,120.79000091552734
2022-03-07,117.0999984741211
2022-03-08,116.4800033569336
2022-03-09,119.63999938964844
2022-03-10,119.12000274658203
2022-03-11,117.45999908447266
2022-03-14,116.3499984741211
2022-03-15,118.76000213623047
2022-03-16,121.70999908447266
2022-03-17,123.36000061035156
2022-03-18,124.9000015258789
2022-03-21,124.68000030517578
2022-03-22,126.16999816894531
2022-03-23,124.55999755859375
2022-03-24,126.31999969482422
2022-03-25,126.80000305175781
2022-03-28,127.66999816894531
2022-03-29,129.5500030517578
2022-03-30,128.50999450683594
2022-03-31,126.55999755859375
2022-04-01,127.11000061035156
2022-04-04,128.1300048828125
2022-04-05,126.29000091552734
2022-04-06,124.88999938964844
2022-04-07,125.29000091552734
2022-04-08,124.69999694824219
2022-04-11,122.80000305175781
2022-04-12,122.44000244140625
2022-04-13,124.04000091552734
2022-04-14,122.54000091552734
2022-04-18,122.31999969482422
2022-04-19,124.45999908447266
2022-04-20,124.33999633789062
2022-04-21,122.2699966430664
2022-04-22,118.94000244140625
2022-04-25,119.70999908447266
2022-04-26,116.2300033569336
2022-04-27,116.38999938964844
2022-04-28,119.20999908447266
2022-04-29,114.98999786376953
2022-05-02,115.75
2022-05-03,116.29000091552734
2022-05-04,119.69999694824219
2022-05-05,115.2699966430664
2022-05-06,114.33999633789062
2022-05-09,110.3499984741211
2022-05-10,110.55999755859375
2022-05-11,108.58000183105469
2022-05-12,108.7300033569336
2022-05-13,111.62000274658203
2022-05-16,111.04000091552734
2022-05-17,113.43000030517578
2022-05-18,108.91000366210938
2022-05-19,108.5
2022-05-20,108.5
2022-05-23,110.37000274658203
2022-05-24,109.19999694824219
2022-05-25,110.45999908447266
2022-05-26,112.73999786376953
2022-05-27,115.62000274658203
2022-05-31,114.76000213623047
2022-06-01,113.9000015258789
2022-06-02,116.22000122070312
2022-06-03,114.37999725341797
2022-06-06,114.75
2022-06-07,115.94000244140625
2022-06-08,114.66000366210938
2022-06-09,111.91999816894531
2022-06-10,108.5999984741211
2022-06-13,104.1500015258789
