Date,RMFGX
2022-02-28,51.45000076293945
2022-03-01,50.91999816894531
2022-03-02,51.790000915527344
2022-03-03,51.880001068115234
2022-03-04,51.959999084472656
2022-03-07,51.099998474121094
2022-03-08,50.45000076293945
2022-03-09,51.189998626708984
2022-03-10,51.09000015258789
2022-03-11,50.68000030517578
2022-03-14,50.709999084472656
2022-03-15,51.400001525878906
2022-03-16,51.650001525878906
2022-03-17,52.2599983215332
2022-03-18,52.43000030517578
2022-03-21,52.59000015258789
2022-03-22,52.810001373291016
2022-03-23,52.369998931884766
2022-03-24,52.86000061035156
2022-03-25,53.2599983215332
2022-03-28,53.34000015258789
2022-03-29,53.709999084472656
2022-03-30,53.63999938964844
2022-03-31,52.959999084472656
2022-04-01,53.18000030517578
2022-04-04,53.220001220703125
2022-04-05,52.9900016784668
2022-04-06,53.11000061035156
2022-04-07,53.40999984741211
2022-04-08,53.61000061035156
2022-04-11,53.0
2022-04-12,52.849998474121094
2022-04-13,53.11000061035156
2022-04-14,52.849998474121094
2022-04-18,52.72999954223633
2022-04-19,53.20000076293945
2022-04-20,53.65999984741211
2022-04-21,53.099998474121094
2022-04-22,51.900001525878906
2022-04-25,51.9900016784668
2022-04-26,51.099998474121094
2022-04-27,51.36000061035156
2022-04-28,52.060001373291016
2022-04-29,50.560001373291016
2022-05-02,50.540000915527344
2022-05-03,50.849998474121094
2022-05-04,52.04999923706055
2022-05-05,50.900001525878906
2022-05-06,50.93000030517578
2022-05-09,49.849998474121094
2022-05-10,49.75
2022-05-11,49.43000030517578
2022-05-12,49.4900016784668
2022-05-13,50.18000030517578
2022-05-16,50.34000015258789
2022-05-17,51.040000915527344
2022-05-18,49.58000183105469
2022-05-19,49.29999923706055
2022-05-20,49.459999084472656
2022-05-23,50.15999984741211
2022-05-24,50.380001068115234
2022-05-25,50.63999938964844
2022-05-26,51.150001525878906
2022-05-27,51.90999984741211
2022-05-31,51.560001373291016
2022-06-01,51.25
2022-06-02,51.77000045776367
2022-06-03,51.369998931884766
2022-06-06,51.400001525878906
2022-06-07,51.93000030517578
2022-06-08,51.33000183105469
2022-06-09,50.380001068115234
2022-06-10,49.52000045776367
2022-06-13,48.130001068115234
2022-06-14,47.68000030517578
2022-06-15,47.7599983215332
2022-06-16,46.630001068115234
2022-06-17,46.459999084472656
2022-06-21,47.5099983215332
2022-06-22,47.5
2022-06-23,47.70000076293945
2022-06-24,48.779998779296875
2022-06-27,48.84000015258789
2022-06-28,48.40999984741211
2022-06-29,48.40999984741211
2022-06-30,48.29999923706055
2022-07-01,48.7400016784668
2022-07-05,48.16999816894531
2022-07-06,48.310001373291016
2022-07-07,48.65999984741211
2022-07-08,48.630001068115234
2022-07-11,48.41999816894531
2022-07-12,48.040000915527344
2022-07-13,47.79999923706055
2022-07-14,47.4900016784668
2022-07-15,48.20000076293945
2022-07-18,47.81999969482422
2022-07-19,48.810001373291016
2022-07-20,48.7400016784668
2022-07-21,48.970001220703125
2022-07-22,48.880001068115234
2022-07-25,49.150001525878906
2022-07-26,48.939998626708984
2022-07-27,49.529998779296875
2022-07-28,49.97999954223633
2022-07-29,50.20000076293945
2022-08-01,50.029998779296875
2022-08-02,49.7599983215332
2022-08-03,50.20000076293945
2022-08-04,50.029998779296875
2022-08-05,50.099998474121094
2022-08-08,50.130001068115234
2022-08-09,50.18000030517578
2022-08-10,50.849998474121094
2022-08-11,50.91999816894531
2022-08-12,51.599998474121094
2022-08-15,51.7599983215332
2022-08-16,51.91999816894531
2022-08-17,51.66999816894531
2022-08-18,51.7599983215332
2022-08-19,51.439998626708984
2022-08-22,50.66999816894531
2022-08-23,50.52000045776367
2022-08-24,50.619998931884766
2022-08-25,51.099998474121094
2022-08-26,49.90999984741211
2022-08-29,49.709999084472656
2022-08-30,49.189998626708984
2022-08-31,48.900001525878906
2022-09-01,49.11000061035156
2022-09-02,48.68000030517578
2022-09-06,48.529998779296875
2022-09-07,49.2400016784668
2022-09-08,49.5099983215332
2022-09-09,50.040000915527344
2022-09-12,50.47999954223633
2022-09-13,48.849998474121094
2022-09-14,48.81999969482422
2022-09-15,48.43000030517578
2022-09-16,48.22999954223633
2022-09-19,48.459999084472656
2022-09-20,47.970001220703125
2022-09-21,47.400001525878906
2022-09-22,47.20000076293945
2022-09-23,46.45000076293945
2022-09-26,45.880001068115234
2022-09-27,45.650001525878906
2022-09-28,46.43000030517578
2022-09-29,45.709999084472656
2022-09-30,45.099998474121094
2022-10-03,46.279998779296875
2022-10-04,47.459999084472656
2022-10-05,47.279998779296875
2022-10-06,46.630001068115234
2022-10-07,45.790000915527344
2022-10-10,45.599998474121094
2022-10-11,45.5
2022-10-12,45.2400016784668
2022-10-13,46.400001525878906
2022-10-14,45.58000183105469
2022-10-17,46.43000030517578
2022-10-18,46.939998626708984
2022-10-19,46.63999938964844
2022-10-20,46.209999084472656
2022-10-21,47.11000061035156
2022-10-24,47.58000183105469
2022-10-25,47.9900016784668
2022-10-26,48.130001068115234
2022-10-27,48.220001220703125
2022-10-28,49.220001220703125
2022-10-31,48.9900016784668
2022-11-01,48.9900016784668
2022-11-02,48.290000915527344
2022-11-03,48.09000015258789
2022-11-04,48.7599983215332
2022-11-07,49.189998626708984
2022-11-08,49.45000076293945
2022-11-09,48.79999923706055
2022-11-10,50.560001373291016
2022-11-11,50.540000915527344
2022-11-14,50.189998626708984
2022-11-15,50.459999084472656
2022-11-16,50.279998779296875
2022-11-17,50.209999084472656
2022-11-18,50.540000915527344
2022-11-21,50.650001525878906
2022-11-22,51.189998626708984
