Date,CGFCX
2022-02-28,57.36000061035156
2022-03-01,56.349998474121094
2022-03-02,57.189998626708984
2022-03-03,56.06999969482422
2022-03-04,55.150001525878906
2022-03-07,52.9900016784668
2022-03-08,52.970001220703125
2022-03-09,54.90999984741211
2022-03-10,54.599998474121094
2022-03-11,53.43000030517578
2022-03-14,52.540000915527344
2022-03-15,53.880001068115234
2022-03-16,55.900001525878906
2022-03-17,56.939998626708984
2022-03-18,58.09000015258789
2022-03-21,57.72999954223633
2022-03-22,58.86000061035156
2022-03-23,58.060001373291016
2022-03-24,58.849998474121094
2022-03-25,58.709999084472656
2022-03-28,59.5
2022-03-29,60.56999969482422
2022-03-30,59.959999084472656
2022-03-31,59.02000045776367
2022-04-01,59.349998474121094
2022-04-04,60.34000015258789
2022-04-05,59.11000061035156
2022-04-06,57.900001525878906
2022-04-07,58.04999923706055
2022-04-08,57.61000061035156
2022-04-11,56.52000045776367
2022-04-12,56.31999969482422
2022-04-13,57.43000030517578
2022-04-14,56.4900016784668
2022-04-18,56.380001068115234
2022-04-19,57.4900016784668
2022-04-20,56.56999969482422
2022-04-21,55.470001220703125
2022-04-22,54.119998931884766
2022-04-25,54.43000030517578
2022-04-26,52.2400016784668
2022-04-27,52.34000015258789
2022-04-28,53.72999954223633
2022-04-29,51.88999938964844
2022-05-02,52.560001373291016
2022-05-03,52.68000030517578
2022-05-04,54.209999084472656
2022-05-05,51.7599983215332
2022-05-06,51.029998779296875
2022-05-09,48.4900016784668
2022-05-10,48.83000183105469
2022-05-11,47.70000076293945
2022-05-12,47.84000015258789
2022-05-13,49.630001068115234
2022-05-16,49.02000045776367
2022-05-17,50.189998626708984
2022-05-18,48.11000061035156
2022-05-19,48.25
2022-05-20,48.04999923706055
2022-05-23,48.650001525878906
2022-05-24,47.54999923706055
2022-05-25,48.279998779296875
2022-05-26,49.560001373291016
2022-05-27,51.060001373291016
2022-05-31,50.77000045776367
2022-06-01,50.310001373291016
2022-06-02,51.58000183105469
2022-06-03,50.439998626708984
2022-06-06,50.68000030517578
2022-06-07,51.11000061035156
2022-06-08,50.7400016784668
2022-06-09,49.47999954223633
2022-06-10,47.90999984741211
2022-06-13,45.70000076293945
2022-06-14,45.61000061035156
2022-06-15,46.529998779296875
2022-06-16,44.630001068115234
2022-06-17,44.970001220703125
2022-06-21,46.06999969482422
2022-06-22,45.959999084472656
2022-06-23,46.40999984741211
2022-06-24,47.93000030517578
2022-06-27,47.75
2022-06-28,46.720001220703125
2022-06-29,46.54999923706055
2022-06-30,45.95000076293945
2022-07-01,46.349998474121094
