Date,VSMPX
2022-02-28,201.92999267578125
2022-03-01,198.75
2022-03-02,202.52999877929688
2022-03-03,201.00999450683594
2022-03-04,199.02000427246094
2022-03-07,192.9199981689453
2022-03-08,191.8800048828125
2022-03-09,197.07000732421875
2022-03-10,196.22000122070312
2022-03-11,193.47000122070312
2022-03-14,191.6199951171875
2022-03-15,195.60000610351562
2022-03-16,200.44000244140625
2022-03-17,203.16000366210938
2022-03-18,205.7100067138672
2022-03-21,205.35000610351562
2022-03-22,207.14999389648438
2022-03-23,204.52000427246094
2022-03-24,207.38999938964844
2022-03-25,208.1699981689453
2022-03-28,209.6199951171875
2022-03-29,212.72000122070312
2022-03-30,211.02000427246094
2022-03-31,207.80999755859375
2022-04-01,208.7100067138672
2022-04-04,210.39999389648438
2022-04-05,207.3800048828125
2022-04-06,205.08999633789062
2022-04-07,205.75999450683594
2022-04-08,205.0800018310547
2022-04-11,201.9600067138672
2022-04-12,201.36000061035156
2022-04-13,203.99000549316406
2022-04-14,201.50999450683594
2022-04-18,201.13999938964844
2022-04-19,204.64999389648438
2022-04-20,204.42999267578125
2022-04-21,201.0500030517578
2022-04-22,195.55999755859375
2022-04-25,196.83999633789062
2022-04-26,191.1300048828125
2022-04-27,191.38999938964844
2022-04-28,196.00999450683594
2022-04-29,189.0800018310547
2022-05-02,190.32000732421875
2022-05-03,191.1999969482422
2022-05-04,196.7899932861328
2022-05-05,189.50999450683594
2022-05-06,187.97000122070312
2022-05-09,181.41000366210938
2022-05-10,181.7100067138672
2022-05-11,178.4600067138672
2022-05-12,178.72000122070312
2022-05-13,183.47000122070312
2022-05-16,182.52000427246094
2022-05-17,186.44000244140625
2022-05-18,179.00999450683594
2022-05-19,178.3300018310547
2022-05-20,178.3300018310547
2022-05-23,181.41000366210938
2022-05-24,179.49000549316406
2022-05-25,181.5399932861328
2022-05-26,185.27999877929688
2022-05-27,190.00999450683594
2022-05-31,188.58999633789062
2022-06-01,187.17999267578125
2022-06-02,190.99000549316406
2022-06-03,187.97000122070312
2022-06-06,188.57000732421875
2022-06-07,190.52999877929688
2022-06-08,188.44000244140625
2022-06-09,183.89999389648438
2022-06-10,178.47000122070312
2022-06-13,171.16000366210938
2022-06-14,170.57000732421875
2022-06-15,173.16000366210938
2022-06-16,167.1199951171875
2022-06-17,167.83999633789062
2022-06-21,171.75999450683594
2022-06-22,170.8699951171875
2022-06-23,172.75
2022-06-24,178.13999938964844
2022-06-27,177.64999389648438
2022-06-28,174.05999755859375
2022-06-29,173.7100067138672
2022-06-30,172.1199951171875
