Date,NPFCX
2022-02-28,54.65999984741211
2022-03-01,53.61000061035156
2022-03-02,54.349998474121094
2022-03-03,53.470001220703125
2022-03-04,52.380001068115234
2022-03-07,50.58000183105469
2022-03-08,50.599998474121094
2022-03-09,52.59000015258789
2022-03-10,52.099998474121094
2022-03-11,51.189998626708984
2022-03-14,50.75
2022-03-15,51.619998931884766
2022-03-16,53.529998779296875
2022-03-17,54.40999984741211
2022-03-18,55.31999969482422
2022-03-21,54.97999954223633
2022-03-22,55.900001525878906
2022-03-23,55.130001068115234
2022-03-24,55.810001373291016
2022-03-25,55.689998626708984
2022-03-28,56.34000015258789
2022-03-29,57.40999984741211
2022-03-30,57.08000183105469
2022-03-31,56.16999816894531
2022-04-01,56.540000915527344
2022-04-04,57.279998779296875
2022-04-05,56.2599983215332
2022-04-06,55.2400016784668
2022-04-07,55.45000076293945
2022-04-08,55.040000915527344
2022-04-11,54.0099983215332
2022-04-12,53.689998626708984
2022-04-13,54.560001373291016
2022-04-14,53.84000015258789
2022-04-18,53.66999816894531
2022-04-19,54.380001068115234
2022-04-20,54.04999923706055
2022-04-21,53.31999969482422
2022-04-22,52.15999984741211
2022-04-25,52.18000030517578
2022-04-26,50.25
2022-04-27,50.40999984741211
2022-04-28,51.43000030517578
2022-04-29,50.31999969482422
2022-05-02,50.65999984741211
2022-05-03,50.77000045776367
2022-05-04,51.959999084472656
2022-05-05,49.88999938964844
2022-05-06,49.130001068115234
2022-05-09,47.040000915527344
2022-05-10,47.400001525878906
2022-05-11,46.619998931884766
2022-05-12,46.68000030517578
2022-05-13,48.130001068115234
2022-05-16,47.79999923706055
2022-05-17,48.959999084472656
2022-05-18,47.220001220703125
2022-05-19,47.369998931884766
2022-05-20,47.40999984741211
2022-05-23,48.060001373291016
2022-05-24,47.29999923706055
2022-05-25,47.70000076293945
2022-05-26,48.70000076293945
2022-05-27,50.0
2022-05-31,49.880001068115234
2022-06-01,49.27000045776367
2022-06-02,50.459999084472656
2022-06-03,49.459999084472656
2022-06-06,49.66999816894531
2022-06-07,49.97999954223633
2022-06-08,49.58000183105469
2022-06-09,48.38999938964844
2022-06-10,47.029998779296875
2022-06-13,45.099998474121094
2022-06-14,44.91999816894531
2022-06-15,45.83000183105469
2022-06-16,44.290000915527344
2022-06-17,44.5099983215332
2022-06-21,45.43000030517578
2022-06-22,45.189998626708984
2022-06-23,45.40999984741211
2022-06-24,46.91999816894531
2022-06-27,46.81999969482422
2022-06-28,45.970001220703125
2022-06-29,45.86000061035156
