Date,VFINX
2022-02-28,404.5299987792969
2022-03-01,398.2799987792969
2022-03-02,405.7099914550781
2022-03-03,403.6300048828125
2022-03-04,400.45001220703125
2022-03-07,388.6300048828125
2022-03-08,385.82000732421875
2022-03-09,395.79998779296875
2022-03-10,394.1300048828125
2022-03-11,389.0400085449219
2022-03-14,386.2300109863281
2022-03-15,394.510009765625
2022-03-16,403.3500061035156
2022-03-17,408.3500061035156
2022-03-18,413.1099853515625
2022-03-21,412.95001220703125
2022-03-22,417.6199951171875
2022-03-23,411.25
2022-03-24,417.19000244140625
2022-03-25,419.29998779296875
2022-03-28,422.2900085449219
2022-03-29,427.4700012207031
2022-03-30,424.82000732421875
2022-03-31,418.20001220703125
2022-04-01,419.6199951171875
2022-04-04,423.0199890136719
2022-04-05,417.7699890136719
2022-04-06,413.7200012207031
2022-04-07,415.5299987792969
2022-04-08,414.42999267578125
2022-04-11,407.42999267578125
2022-04-12,406.04998779296875
2022-04-13,410.6600036621094
2022-04-14,405.6700134277344
2022-04-18,405.5799865722656
2022-04-19,412.1000061035156
2022-04-20,411.8500061035156
2022-04-21,405.80999755859375
2022-04-22,394.54998779296875
2022-04-25,396.79998779296875
2022-04-26,385.6400146484375
2022-04-27,386.45001220703125
2022-04-28,396.0299987792969
2022-04-29,381.69000244140625
2022-05-02,383.8500061035156
2022-05-03,385.7099914550781
2022-05-04,397.2300109863281
2022-05-05,383.1099853515625
2022-05-06,380.989990234375
2022-05-09,368.80999755859375
2022-05-10,369.7099914550781
2022-05-11,363.6400146484375
2022-05-12,363.29998779296875
2022-05-13,372.010009765625
2022-05-16,370.55999755859375
2022-05-17,378.04998779296875
2022-05-18,362.8599853515625
2022-05-19,360.7799987792969
2022-05-20,360.8399963378906
2022-05-23,367.5799865722656
2022-05-24,364.6000061035156
2022-05-25,368.0400085449219
2022-05-26,375.3699951171875
2022-05-27,384.7300109863281
2022-05-31,382.3399963378906
2022-06-01,379.5199890136719
2022-06-02,386.5799865722656
2022-06-03,380.2799987792969
2022-06-06,381.4800109863281
2022-06-07,385.1199951171875
2022-06-08,380.9700012207031
2022-06-09,371.94000244140625
2022-06-10,361.1199951171875
2022-06-13,347.1199951171875
2022-06-14,345.92999267578125
2022-06-15,350.989990234375
2022-06-16,339.6099853515625
2022-06-17,340.3699951171875
2022-06-21,348.7099914550781
2022-06-22,348.260009765625
2022-06-23,351.6000061035156
2022-06-24,362.3500061035156
2022-06-27,361.2799987792969
2022-06-28,352.6700134277344
2022-06-29,352.45001220703125
2022-06-30,349.4200134277344
2022-07-01,353.1099853515625
2022-07-05,353.7300109863281
2022-07-06,355.0
2022-07-07,360.3500061035156
2022-07-08,360.0799865722656
2022-07-11,355.92999267578125
2022-07-12,352.6499938964844
2022-07-13,351.0799865722656
2022-07-14,350.07000732421875
2022-07-15,356.7900085449219
2022-07-18,353.80999755859375
2022-07-19,363.5899963378906
2022-07-20,365.739990234375
2022-07-21,369.3800048828125
2022-07-22,365.92999267578125
2022-07-25,366.4100036621094
2022-07-26,362.17999267578125
2022-07-27,371.6600036621094
2022-07-28,376.2099914550781
2022-07-29,381.6000061035156
2022-08-01,380.5199890136719
2022-08-02,377.9800109863281
2022-08-03,383.8999938964844
2022-08-04,383.6300048828125
2022-08-05,383.05999755859375
2022-08-08,382.5899963378906
2022-08-09,380.9800109863281
2022-08-10,389.1099853515625
2022-08-11,388.94000244140625
2022-08-12,395.7200012207031
2022-08-15,397.29998779296875
2022-08-16,398.07000732421875
2022-08-17,395.260009765625
2022-08-18,396.2099914550781
2022-08-19,391.1099853515625
2022-08-22,382.7799987792969
2022-08-23,381.9200134277344
2022-08-24,383.0400085449219
2022-08-25,388.45001220703125
2022-08-26,375.3699951171875
2022-08-29,372.8800048828125
2022-08-30,368.79998779296875
2022-08-31,365.989990234375
2022-09-01,367.1499938964844
2022-09-02,363.2300109863281
2022-09-06,361.760009765625
2022-09-07,368.3999938964844
2022-09-08,370.8800048828125
2022-09-09,376.5799865722656
2022-09-12,380.55999755859375
2022-09-13,364.1099853515625
2022-09-14,365.45001220703125
2022-09-15,361.3399963378906
2022-09-16,358.75
2022-09-19,361.2099914550781
2022-09-20,357.1400146484375
2022-09-21,351.04998779296875
2022-09-22,348.1000061035156
2022-09-23,342.1099853515625
2022-09-26,338.57000732421875
2022-09-27,336.5
2022-09-28,343.1300048828125
2022-09-29,335.92999267578125
2022-09-30,330.8900146484375
2022-10-03,339.45001220703125
2022-10-04,349.8599853515625
2022-10-05,349.17999267578125
2022-10-06,345.69000244140625
2022-10-07,336.0199890136719
2022-10-10,333.5
2022-10-11,331.3299865722656
2022-10-12,330.25
2022-10-13,338.8699951171875
2022-10-14,330.8599853515625
2022-10-17,339.6199951171875
2022-10-18,343.510009765625
2022-10-19,341.2099914550781
2022-10-20,338.5299987792969
2022-10-21,346.57000732421875
2022-10-24,350.69000244140625
2022-10-25,356.3900146484375
2022-10-26,353.760009765625
2022-10-27,351.6199951171875
2022-10-28,360.30999755859375
2022-10-31,357.6300048828125
2022-11-01,356.1700134277344
2022-11-02,347.260009765625
2022-11-03,343.6300048828125
2022-11-04,348.3800048828125
2022-11-07,351.7300109863281
2022-11-08,353.70001220703125
2022-11-09,346.42999267578125
2022-11-10,365.6499938964844
2022-11-11,369.0299987792969
2022-11-14,365.80999755859375
2022-11-15,369.0299987792969
2022-11-16,366.07000732421875
2022-11-17,365.010009765625
2022-11-18,366.760009765625
2022-11-21,365.3699951171875
2022-11-22,370.3399963378906
2022-11-23,372.54998779296875
2022-11-25,372.45001220703125
2022-11-28,366.70001220703125
2022-11-29,366.1400146484375
2022-11-30,377.57000732421875
2022-12-01,377.29998779296875
